stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-6cade3f7f33048badf28,Connor O'Sullivan,KEY_DEF,2996,2963,-33,-1.1,57,58,1,3.2492,0.45,0.0449
afl-player-v1-225c5c03a81a8580efd3,Sam Flanders,MID,2027,1996,-31,-1.53,106,109,3,10.104,0.5591,0.0987
afl-player-v1-3651e562d369a0c13ec4,Justin McInerney,MID,1884,1854,-30,-1.59,119,124,5,9.4801,0.5246,0.0996
afl-player-v1-286f534d3d1cc573c098,Kane Farrell,GEN_DEF,1598,1569,-29,-1.81,149,157,8,9.3918,0.7423,0.0993
afl-player-v1-970c598ee4fc55acaa39,Caleb Serong,MID,4560,4533,-27,-0.59,19,19,0,24.4491,1.353,0.0997
afl-player-v1-02380b2ddf7c0a01c83c,George Wardlaw,MID,3124,3098,-26,-0.83,55,55,0,2.0638,0.1142,0.0298
afl-player-v1-0161f6e4e64f66732e03,Mark Keane,KEY_DEF,2171,2146,-25,-1.15,88,91,3,9.1897,1.2728,0.0838
afl-player-v1-6bfc71843f2ecd457c94,Daniel Turner,KEY_DEF,1607,1586,-21,-1.31,148,154,6,4.389,0.6079,0.0668
afl-player-v1-87957120b42751e30451,Adam Cerra,MID,1184,1166,-18,-1.52,200,204,4,5.0043,0.2769,0.0834
afl-player-v1-18eaf6797d5fb90f0f52,Jack Lukosius,KEY_FWD,1484,1467,-17,-1.15,160,167,7,3.7798,0.5704,0.0627
afl-player-v1-87c66ca32aae205ac1ce,Kade Chandler,GEN_FWD,1239,1222,-17,-1.37,196,200,4,6.9007,0.9063,0.0972
afl-player-v1-109270d490b83c704afb,Tom McCartin,KEY_DEF,1684,1667,-17,-1.01,137,141,4,9.2202,1.277,0.1
afl-player-v1-b75b9dd65a15a8ffab49,Ben Miller,KEY_DEF,1240,1223,-17,-1.37,195,199,4,5.192,0.7191,0.0847
afl-player-v1-762b0db67968a431f13b,Sam Darcy,KEY_FWD,4840,4824,-16,-0.33,16,15,-1,19.4733,2.9384,0.0839
afl-player-v1-33f13e3f7a2a5dfdd21c,James Peatling,MID,1389,1374,-15,-1.08,176,179,3,3.1282,0.1731,0.0506
afl-player-v1-1e375a8a1f94f8a23dfd,Kysaiah Pickett,GEN_FWD,3867,3853,-14,-0.36,32,29,-3,25.0395,3.2886,0.0998
afl-player-v1-569acef3f5da1997d202,Andrew McGrath,GEN_DEF,1074,1063,-11,-1.02,212,217,5,4.3741,0.3457,0.0729
afl-player-v1-55d24843de9c3958ab7b,Mitch Georgiades,KEY_FWD,1403,1393,-10,-0.71,173,177,4,3.9517,0.5963,0.0651
afl-player-v1-e415df5077f164469cba,Dan Houston,GEN_DEF,1248,1240,-8,-0.64,193,196,3,8.3427,0.6594,0.1
afl-player-v1-8aeac02b34655edd2291,Gryan Miers,GEN_FWD,1909,1904,-5,-0.26,115,116,1,12.5668,1.6505,0.0998
afl-player-v1-289911b71c417a06fb30,Nicholas Martin,MID,3339,3336,-3,-0.09,48,48,0,18.6142,1.0301,0.0973
afl-player-v1-a9f80c63a274e4e1bbb3,Charlie Curnow,KEY_FWD,1250,1247,-3,-0.24,192,194,2,4.2534,0.6418,0.0708
afl-player-v1-9434d7c5b43141a33554,Joel Jeffrey,GEN_DEF,1957,1955,-2,-0.1,112,114,2,2.8449,0.2248,0.0423
