key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
beau-addinsall,Beau Addinsall,MID,18,2025,ND,1081,1468,387,0.3580018501387604,False,1142.297,0.356111,7,18
caleb-windsor,Caleb Windsor,MID,7,2023,ND,1390,1400,10,0.007194244604316547,False,1463.072,0.007037,53,18
phoenix-gothard,Phoenix Gothard,SF,12,2023,ND,1574,1578,4,0.0025412960609911056,False,1657.234,0.002142,15,18
jai-murray,Jai Murray,MID,17,2025,ND,868,1174,306,0.35253456221198154,False,915.72,0.353904,8,18
harry-armstrong,Harry Armstrong,KPF,23,2024,ND,729,833,104,0.14266117969821673,False,765.556,0.144795,11,18
joe-berry,Joe Berry,SF,15,2024,ND,841,853,12,0.014268727705112961,False,885.346,0.014349,32,18
jobe-shanahan,Jobe Shanahan,KPF,30,2024,ND,1404,1452,48,0.03418803418803419,False,1477.536,0.033892,29,18
louis-emmett,Louis Emmett,KPF,27,2025,ND,619,975,356,0.5751211631663974,False,655.842,0.568667,6,18
cooper-hynes,Cooper Hynes,MID,20,2024,ND,1119,1224,105,0.0938337801608579,False,1177.871,0.093684,26,18
will-graham,Will Graham,MID,26,2023,ND,1482,1490,8,0.005398110661268556,False,1559.922,0.00499,36,18
bo-allan,Bo Allan,SD,16,2024,ND,767,792,25,0.03259452411994785,False,807.106,0.033853,23,18
lachy-dovaston,Lachy Dovaston,SF,16,2025,ND,412,536,124,0.30097087378640774,False,436.606,0.300971,6,18
jordan-croft,Jordan Croft,KPF,15,2023,ND,785,788,3,0.003821656050955414,False,825.825,0.003417,17,18
thomas-sims,Thomas Sims,KPF,28,2024,ND,925,983,58,0.0627027027027027,False,993.855,0.060117,11,18
jack-whitlock,Jack Whitlock,KPF,33,2024,ND,911,940,29,0.031833150384193196,False,959.411,0.031269,24,18
jake-rogers,Jake Rogers,SF,14,2023,ND,454,456,2,0.004405286343612335,False,462.498,0.003384,24,18
sam-marshall,Sam Marshall,MID,25,2024,ND,620,818,198,0.3193548387096774,False,647.943,0.320346,13,18
ty-gallop,Ty Gallop,KPF,42,2024,ND,1056,1063,7,0.006628787878787879,False,1110.545,0.007513,23,18
caiden-cleary,Caiden Cleary,SF,24,2023,ND,368,375,7,0.019021739130434784,False,379.723,0.020687,25,18
riley-hardeman,Riley Hardeman,SD,23,2023,ND,243,246,3,0.012345679012345678,False,426.764,0.019364,24,18
lachie-jaques,Lachie Jaques,SD,29,2024,ND,636,730,94,0.14779874213836477,False,660.228,0.151403,8,18
billy-wilson,Billy Wilson,SD,34,2023,ND,768,771,3,0.00390625,False,807.596,0.004372,16,18
angus-clarke,Angus Clarke,SD,39,2024,ND,574,595,21,0.036585365853658534,False,590.743,0.037607,17,18
archer-reid,Archer Reid,KPF,30,2023,ND,671,675,4,0.005961251862891207,False,697.244,0.007334,20,18
mitchell-edwards,Mitchell Edwards,RUCK,32,2023,ND,1875,1881,6,0.0032,False,1972.813,0.003793,16,18
talor-byrne,Talor Byrne,SF,45,2025,ND,620,624,4,0.0064516129032258064,False,652.153,0.007669,14,18
josh-dolan,Josh Dolan,SF,31,2024,ND,359,430,71,0.1977715877437326,False,381.041,0.195529,19,18
max-kondogiannis,Max Kondogiannis,SD,36,2025,ND,355,584,229,0.6450704225352113,False,374.595,0.643494,8,18
christian-moraes,Christian Moraes,MID,38,2024,ND,666,713,47,0.07057057057057058,False,704.366,0.069135,24,18
lance-collard,Lance Collard,SF,28,2023,ND,152,153,1,0.006578947368421052,False,194.938,0.029664,15,18
kane-mcauliffe,Kane McAuliffe,MID,40,2023,ND,1124,1126,2,0.0017793594306049821,False,1169.934,0.001421,23,18
ashton-moir,Ashton Moir,SF,29,2023,ND,201,205,4,0.01990049751243781,False,275.792,0.030941,13,18
hugh-boxshall,Hugh Boxshall,MID,45,2024,ND,654,657,3,0.0045871559633027525,False,685.112,0.004068,18,18
jack-ison,Jack Ison,SF,47,2025,ND,240,241,1,0.004166666666666667,False,255.237,0.00443,7,18
angus-hastie,Angus Hastie,SD,33,2023,ND,174,176,2,0.011494252873563218,False,265.603,0.023439,19,18
liam-fawcett,Liam Fawcett,KPF,43,2023,ND,385,386,1,0.0025974025974025974,False,387.946,0.001833,8,18
tom-gross,Tom Gross,MID,46,2024,ND,344,346,2,0.005813953488372093,False,353.593,0.006795,9,18
