key,player,pos,effpk,draft_year,pathway,old,new,abs,rel,sitout_path,production_e,taught_delta,cum_games,draft_age
jai-murray,Jai Murray,MID,17,2025,ND,868,1073,205,0.23617511520737328,False,915.72,0.235936,8,18
harry-armstrong,Harry Armstrong,KPF,23,2024,ND,729,798,69,0.09465020576131687,False,765.556,0.09653,11,18
joe-berry,Joe Berry,SF,15,2024,ND,841,849,8,0.009512485136741973,False,885.346,0.009566,32,18
jobe-shanahan,Jobe Shanahan,KPF,30,2024,ND,1404,1436,32,0.022792022792022793,False,1477.536,0.022594,29,18
louis-emmett,Louis Emmett,KPF,27,2025,ND,619,856,237,0.38287560581583197,False,655.842,0.379111,6,18
cooper-hynes,Cooper Hynes,MID,20,2024,ND,1119,1189,70,0.06255585344057193,False,1177.871,0.062456,26,18
will-graham,Will Graham,MID,26,2023,ND,1482,1487,5,0.0033738191632928477,False,1559.922,0.003327,36,18
bo-allan,Bo Allan,SD,16,2024,ND,767,784,17,0.02216427640156454,False,807.106,0.022568,23,18
lachy-dovaston,Lachy Dovaston,SF,16,2025,ND,412,494,82,0.19902912621359223,False,436.606,0.200647,6,18
jordan-croft,Jordan Croft,KPF,15,2023,ND,785,787,2,0.0025477707006369425,False,825.825,0.002278,17,18
thomas-sims,Thomas Sims,KPF,28,2024,ND,925,964,39,0.04216216216216216,False,993.855,0.040078,11,18
jack-whitlock,Jack Whitlock,KPF,33,2024,ND,911,930,19,0.020856201975850714,False,959.411,0.020846,24,18
jake-rogers,Jake Rogers,SF,14,2023,ND,454,456,2,0.004405286343612335,False,462.498,0.002256,24,18
sam-marshall,Sam Marshall,MID,25,2024,ND,620,752,132,0.2129032258064516,False,647.943,0.213564,13,18
ty-gallop,Ty Gallop,KPF,42,2024,ND,1056,1060,4,0.003787878787878788,False,1110.545,0.005009,23,18
caiden-cleary,Caiden Cleary,SF,24,2023,ND,368,372,4,0.010869565217391304,False,379.723,0.013791,25,18
riley-hardeman,Riley Hardeman,SD,23,2023,ND,243,245,2,0.00823045267489712,False,426.764,0.012909,24,18
lachie-jaques,Lachie Jaques,SD,29,2024,ND,636,698,62,0.09748427672955975,False,660.228,0.100935,8,18
billy-wilson,Billy Wilson,SD,34,2023,ND,768,770,2,0.0026041666666666665,False,807.596,0.002915,16,18
angus-clarke,Angus Clarke,SD,39,2024,ND,574,588,14,0.024390243902439025,False,590.743,0.025071,17,18
archer-reid,Archer Reid,KPF,30,2023,ND,671,674,3,0.004470938897168405,False,697.244,0.004889,20,18
mitchell-edwards,Mitchell Edwards,RUCK,32,2023,ND,1875,1880,5,0.0026666666666666666,False,1972.813,0.002529,16,18
talor-byrne,Talor Byrne,SF,45,2025,ND,620,622,2,0.0032258064516129032,False,652.153,0.005112,14,18
josh-dolan,Josh Dolan,SF,31,2024,ND,359,407,48,0.13370473537604458,False,381.041,0.130353,19,18
max-kondogiannis,Max Kondogiannis,SD,36,2025,ND,355,507,152,0.428169014084507,False,374.595,0.428996,8,18
christian-moraes,Christian Moraes,MID,38,2024,ND,666,697,31,0.046546546546546545,False,704.366,0.04609,24,18
kane-mcauliffe,Kane McAuliffe,MID,40,2023,ND,1124,1125,1,0.0008896797153024911,False,1169.934,0.000948,23,18
ashton-moir,Ashton Moir,SF,29,2023,ND,201,204,3,0.014925373134328358,False,275.792,0.020627,13,18
hugh-boxshall,Hugh Boxshall,MID,45,2024,ND,654,656,2,0.0030581039755351682,False,685.112,0.002712,18,18
jack-ison,Jack Ison,SF,47,2025,ND,240,241,1,0.004166666666666667,False,255.237,0.002953,7,18
angus-hastie,Angus Hastie,SD,33,2023,ND,174,175,1,0.005747126436781609,False,265.603,0.015626,19,18
liam-fawcett,Liam Fawcett,KPF,43,2023,ND,385,386,1,0.0025974025974025974,False,387.946,0.001222,8,18
tom-gross,Tom Gross,MID,46,2024,ND,344,345,1,0.0029069767441860465,False,353.593,0.00453,9,18
