player,pid,pos,pick,eff,draftyr,typ,by,Y,age,horizon,nqf,pred_fwd,real_fwd,pred_ev,pred_val,real_val,resid_fwd,resid_val,active
Blake Hardwick,140498199162560,GEN_DEF,44,44,2015,ND,1997,2023,26.0,3,4,84.33452237834625,80.56666666666666,1495.0,1514.4800000000002,713.0,3.767855711679587,801.4800000000002,1
Aidyn Johnson,140498199163904,GEN_FWD,45,45,2015,ND,1997,2015,18.0,11,0,54.042805353093,54.0,10.0,478.2800000000001,2.0,0.042805353093001486,476.2800000000001,0
Aidyn Johnson,140498199163904,GEN_FWD,45,45,2015,ND,1997,2016,19.0,10,0,61.521799820822906,54.0,10.0,558.82,2.0,7.521799820822906,556.82,0
Aidyn Johnson,140498199163904,GEN_FWD,45,45,2015,ND,1997,2017,20.0,9,0,56.987215395603016,54.0,10.0,331.40000000000003,2.0,2.987215395603016,329.40000000000003,0
Aidyn Johnson,140498199163904,GEN_FWD,45,45,2015,ND,1997,2018,21.0,8,0,55.7803359248682,54.0,10.0,214.42000000000004,3.0,1.7803359248681971,211.42000000000004,0
Aidyn Johnson,140498199163904,GEN_FWD,45,45,2015,ND,1997,2019,22.0,7,0,56.342845790974586,54.0,10.0,231.08000000000004,3.0,2.342845790974586,228.08000000000004,0
Liam Hulett,140498199164480,KEY_FWD,46,46,2015,ND,1997,2015,18.0,11,0,43.41304367543617,0.0,9.0,430.82000000000005,0.0,43.41304367543617,430.82000000000005,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2015,18.0,11,0,54.77762526714407,62.0,9.0,453.44000000000005,26.0,-7.222374732855933,427.44000000000005,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2016,19.0,10,0,63.809704906222414,62.0,9.0,579.5200000000001,30.0,1.8097049062224144,549.5200000000001,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2017,20.0,9,0,62.59627559635516,62.0,9.0,645.94,34.0,0.5962755963551629,611.94,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2018,21.0,8,0,58.809834454957404,46.5,9.0,418.94000000000005,1.0,12.309834454957404,417.94000000000005,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2019,22.0,7,0,55.57764242611605,46.5,9.0,230.28000000000003,1.0,9.07764242611605,229.28000000000003,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2020,23.0,6,0,53.05143465153665,46.5,9.0,132.20000000000002,1.0,6.551434651536653,131.20000000000002,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2021,24.0,5,0,51.098661286464775,46.5,9.0,69.88000000000001,1.0,4.598661286464775,68.88000000000001,0
Sam Skinner,140498199164864,KEY_DEF,47,47,2015,ND,1997,2022,25.0,4,0,50.12574729204408,46.5,9.0,49.74000000000001,1.0,3.625747292044082,48.74000000000001,0
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2015,18.0,11,11,56.41799450509477,83.63333333333334,443.0,443.82000000000005,377.0,-27.215338828238572,66.82000000000005,0
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2016,19.0,10,11,70.15759306965701,83.63333333333334,535.0,502.0800000000001,425.0,-13.475740263676329,77.0800000000001,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2017,20.0,9,10,75.36536031605317,83.63333333333334,722.0,708.3600000000001,473.0,-8.26797301728017,235.36000000000013,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2018,21.0,8,9,84.25733863476879,83.63333333333334,1515.0,1517.1200000000001,673.0,0.6240053014354459,844.1200000000001,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2019,22.0,7,8,75.96270332809146,83.10000000000001,719.0,664.84,541.0,-7.137296671908544,123.84000000000003,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2020,23.0,6,7,87.11410300880607,83.10000000000001,2023.0,2026.1600000000003,856.0,4.01410300880606,1170.1600000000003,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2021,24.0,5,6,83.63786046259695,80.03333333333332,1343.0,1344.88,398.0,3.60452712926363,946.8800000000001,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2022,25.0,4,5,67.06316516277155,80.03333333333332,108.0,97.98,397.0,-12.970168170561763,-299.02,1
Bailey Williams,140498199165440,GEN_DEF,48,48,2015,ND,1997,2023,26.0,3,4,71.77353170787416,80.03333333333332,269.0,268.9200000000001,374.0,-8.259801625459161,-105.07999999999993,1
