key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
chad-wingard,2017,ND,SF,24.0,126,6,90.93,1417.7,111.95,105.56,92.99,111.95,106.73,0.725,1,0
chad-wingard,2018,ND,SF,25.0,147,7,88.3,1031.5,105.49,101.92,89.39,105.49,100.28,0.676,1,0
chad-wingard,2019,ND,SF,26.0,161,8,84.07,944.2,97.22,89.67,84.42,97.22,91.44,0.548,1,0
brad-crouch,2011,ND,MID,18.0,0,0,100.1,1592.3,115.31,107.69,81.9,115.31,115.31,1.0,1,0
brad-crouch,2012,ND,MID,19.0,0,1,100.1,1815.3,115.31,106.32,79.89,115.31,115.31,1.0,1,0
brad-crouch,2013,ND,MID,20.0,14,2,100.1,1784.0,119.48,113.62,99.21,119.48,119.48,1.0,1,0
brad-crouch,2014,ND,MID,21.0,25,3,100.1,1542.1,122.12,113.86,103.85,122.12,120.37,0.904,1,0
brad-crouch,2015,ND,MID,22.0,25,4,100.1,1758.0,119.61,111.37,97.62,119.61,115.39,0.808,1,0
brad-crouch,2016,ND,MID,23.0,41,5,100.1,1785.6,114.18,108.01,89.43,114.18,106.17,0.676,1,0
brad-crouch,2017,ND,MID,24.0,61,6,100.1,1439.7,118.98,111.0,100.91,118.98,113.51,0.697,1,0
brad-crouch,2018,ND,MID,25.0,61,7,99.2,1641.2,116.39,107.66,92.17,116.39,108.01,0.654,1,0
brad-crouch,2019,ND,MID,26.0,83,8,99.2,1269.4,115.96,109.8,99.98,115.96,110.15,0.637,1,0
nick-haynes,2011,ND,SD,19.0,0,0,90.1,1063.1,106.85,97.42,81.0,106.85,106.85,1.0,1,0
nick-haynes,2012,ND,SD,20.0,8,1,90.1,1211.9,96.29,83.77,67.62,96.29,96.29,1.0,1,0
nick-haynes,2013,ND,SD,21.0,19,2,90.1,1312.4,99.68,86.45,73.97,99.68,96.59,0.88,1,0
nick-haynes,2014,ND,SD,22.0,27,3,90.1,1334.9,96.84,90.73,74.41,96.84,91.46,0.76,1,0
nick-haynes,2015,ND,SD,23.0,44,4,90.1,1408.4,96.65,92.66,79.5,96.65,90.99,0.67,1,0
nick-haynes,2016,ND,SD,24.0,62,5,90.1,1088.6,103.06,100.02,90.99,103.06,97.99,0.58,1,0
nick-haynes,2017,ND,SD,25.0,81,6,88.87,931.0,100.15,98.74,87.84,100.15,94.24,0.52,1,0
nick-haynes,2018,ND,SD,26.0,105,7,88.87,973.4,97.16,95.83,86.75,97.16,91.54,0.46,1,0
nick-haynes,2019,ND,SD,27.0,128,8,88.87,741.5,100.57,97.5,89.78,100.57,94.43,0.431,1,0
billy-longer,2011,ND,RUCK,18.0,0,0,70.57,53.4,108.3,87.39,56.53,108.3,108.3,1.0,1,0
