key,Y,type,pos,age,games,tenure,peak_fwd,dv_fwd,pred_raw,b4,b2,b5_raw,b5_tap,asc,in_trainpool,pickless
lewis-pierce,2013,ND,RUCK,19.0,0,1,62.0,0.3,115.06,104.01,74.36,115.06,115.06,1.0,1,0
lewis-pierce,2014,ND,RUCK,20.0,0,2,62.0,0.3,110.94,99.7,72.41,110.94,110.94,1.0,1,0
lewis-pierce,2015,ND,RUCK,21.0,0,3,62.0,0.4,111.34,94.91,71.64,111.34,106.57,0.88,1,0
lewis-pierce,2016,ND,RUCK,22.0,1,4,62.0,0.4,108.64,93.71,68.77,108.64,99.07,0.76,1,0
lewis-pierce,2017,ND,RUCK,23.0,1,5,62.0,0.5,105.58,92.86,76.15,105.58,95.87,0.67,1,0
lewis-pierce,2018,ND,RUCK,24.0,4,6,62.0,0.0,103.43,91.78,72.5,103.43,90.44,0.58,1,0
lewis-pierce,2019,ND,RUCK,25.0,5,7,55.0,0.0,100.35,89.98,73.39,100.35,87.41,0.52,1,0
bradley-hartman,2012,ND,SF,18.0,0,0,35.0,0.0,97.91,83.99,50.25,97.91,97.91,1.0,1,0
bradley-hartman,2013,ND,SF,19.0,0,1,35.0,0.0,97.91,85.19,61.5,97.91,97.91,1.0,1,0
bradley-hartman,2014,ND,SF,20.0,5,2,35.0,0.0,88.23,77.95,55.29,88.23,88.23,1.0,1,0
rory-atkins,2012,ND,MID,18.0,0,0,76.43,93.0,112.82,94.9,52.22,112.82,112.82,1.0,1,0
rory-atkins,2013,ND,MID,19.0,0,1,76.43,106.0,112.82,94.86,66.85,112.82,112.82,1.0,1,0
rory-atkins,2014,ND,MID,20.0,0,2,76.43,120.9,103.9,91.12,61.06,103.9,103.9,1.0,1,0
rory-atkins,2015,ND,MID,21.0,8,3,76.43,137.8,104.15,88.25,54.55,104.15,98.2,0.88,1,0
rory-atkins,2016,ND,MID,22.0,32,4,76.43,129.8,108.64,103.05,84.68,108.64,102.89,0.76,1,0
rory-atkins,2017,ND,MID,23.0,57,5,76.43,87.8,111.39,102.91,85.07,111.39,102.7,0.67,1,0
rory-atkins,2018,ND,MID,24.0,77,6,74.8,48.1,106.82,101.26,83.51,106.82,97.03,0.58,1,0
rory-atkins,2019,ND,MID,25.0,97,7,64.47,15.7,104.32,93.51,81.21,104.32,93.23,0.52,1,0
sean-gregory,2012,ND,SD,18.0,0,0,0.0,0.0,108.91,98.01,61.68,108.91,108.91,1.0,1,0
bret-thornton,2012,RD,KPD,29.0,0,0,63.0,13.4,74.68,64.85,55.91,74.68,63.41,0.4,1,0
bret-thornton,2013,RD,KPD,30.0,1,1,63.0,0.0,71.43,64.59,53.72,71.43,60.8,0.4,1,0
sam-colquhoun,2012,RD,SD,18.0,0,0,54.75,0.2,108.91,98.01,61.68,108.91,108.91,1.0,1,0
sam-colquhoun,2013,RD,SD,19.0,10,1,54.75,0.2,105.97,93.08,71.13,105.97,105.97,1.0,1,0
sam-colquhoun,2014,RD,SD,20.0,10,2,58.8,0.2,102.52,89.85,63.71,102.52,102.52,1.0,1,0
sam-colquhoun,2015,RD,SD,21.0,16,3,58.8,0.0,101.7,85.86,63.68,101.7,97.14,0.88,1,0
will-hams,2012,RD,SF,18.0,0,0,58.9,2.2,97.91,83.99,50.25,97.91,97.91,1.0,1,0
will-hams,2013,RD,SF,19.0,2,1,58.9,2.5,90.63,80.99,54.55,90.63,90.63,1.0,1,0
will-hams,2014,RD,SF,20.0,2,2,58.9,2.8,90.86,79.69,54.64,90.86,90.86,1.0,1,0
will-hams,2015,RD,SF,21.0,5,3,58.9,3.2,89.52,75.41,53.89,89.52,85.24,0.88,1,0
will-hams,2016,RD,SF,22.0,13,4,58.9,0.0,84.75,73.56,55.22,84.75,77.67,0.76,1,0
jack-hannath,2012,RD,RUCK,21.0,0,0,46.9,2.5,111.34,94.0,71.64,111.34,106.57,0.88,1,0
jack-hannath,2013,RD,RUCK,22.0,12,1,46.9,2.8,111.4,94.43,61.79,111.4,99.5,0.76,1,0
jack-hannath,2014,RD,RUCK,23.0,15,2,56.3,3.2,106.59,89.4,52.08,106.59,88.6,0.67,1,0
jack-hannath,2015,RD,RUCK,24.0,18,3,56.3,0.0,103.89,91.86,52.93,103.89,82.49,0.58,1,0
jack-hannath,2016,RD,RUCK,25.0,20,4,38.5,0.0,99.35,89.61,49.85,99.35,75.59,0.52,1,0
leigh-osborne,2012,RD,SF,22.0,0,0,42.0,0.0,80.77,69.9,53.82,80.77,74.3,0.76,1,0
leigh-osborne,2013,RD,SF,23.0,1,1,42.0,0.0,76.21,67.55,52.72,76.21,68.46,0.67,1,0
nathan-stark,2012,RD,KPF,18.0,0,0,0.0,0.0,105.48,97.39,61.85,105.48,105.48,1.0,1,0
bret-goodes,2012,RD,SD,28.0,0,0,69.65,394.3,75.45,66.83,55.99,75.45,63.77,0.4,1,0
bret-goodes,2013,RD,SD,29.0,13,1,69.65,0.0,93.81,82.62,67.22,93.81,79.49,0.462,1,0
bret-goodes,2014,RD,SD,30.0,15,2,48.1,0.0,87.44,75.37,61.4,87.44,71.82,0.4,1,0
bret-goodes,2015,RD,SD,31.0,22,3,48.1,0.0,77.31,67.07,53.28,77.31,62.89,0.4,1,0
kane-mitchell,2012,RD,MID,23.0,0,0,58.43,10.7,86.27,74.81,47.39,86.27,73.44,0.67,1,0
kane-mitchell,2013,RD,MID,24.0,13,1,58.43,12.2,80.48,74.56,38.68,80.48,62.92,0.58,1,0
kane-mitchell,2014,RD,MID,25.0,23,2,65.4,8.7,84.93,74.48,57.07,84.93,71.56,0.52,1,0
kane-mitchell,2015,RD,MID,26.0,31,3,62.0,0.0,80.29,73.74,56.33,80.29,67.35,0.46,1,0
kane-mitchell,2016,RD,MID,27.0,35,4,53.8,0.0,77.92,69.7,51.24,77.92,61.91,0.4,1,0
nick-hayes,2012,RD,MID,18.0,0,0,0.0,0.0,112.82,94.9,52.22,112.82,112.82,1.0,1,0
tim-mcgenniss,2012,RD,MID,18.0,0,0,0.0,0.0,112.82,94.9,52.22,112.82,112.82,1.0,1,0
matthew-taberner,2012,RD,KPF,19.0,0,0,73.47,372.2,105.48,97.35,76.94,105.48,105.48,1.0,1,0
matthew-taberner,2013,RD,KPF,20.0,4,1,73.47,424.3,97.08,84.4,61.09,97.08,97.08,1.0,1,0
matthew-taberner,2014,RD,KPF,21.0,13,2,73.47,480.4,95.98,80.55,61.88,95.98,91.89,0.88,1,0
matthew-taberner,2015,RD,KPF,22.0,28,3,73.47,547.6,87.05,79.19,60.87,87.05,80.77,0.76,1,0
matthew-taberner,2016,RD,KPF,23.0,45,4,73.47,589.1,84.32,80.15,65.09,84.32,77.97,0.67,1,0
matthew-taberner,2017,RD,KPF,24.0,53,5,73.47,657.2,79.02,75.91,63.5,79.02,72.5,0.58,1,0
matthew-taberner,2018,RD,KPF,25.0,62,6,73.47,672.6,81.13,74.8,64.29,81.13,73.04,0.52,1,0
matthew-taberner,2019,RD,KPF,26.0,71,7,73.47,369.7,86.39,82.0,71.23,86.39,78.31,0.467,1,0
callum-sinclair,2012,RD,RUCK,23.0,0,0,83.73,767.7,106.38,88.74,64.08,106.38,92.42,0.67,1,0
callum-sinclair,2013,RD,RUCK,24.0,5,1,83.73,874.3,101.21,88.8,57.86,101.21,83.0,0.58,1,0
callum-sinclair,2014,RD,RUCK,25.0,9,2,83.73,996.7,95.7,89.27,56.61,95.7,76.93,0.52,1,0
callum-sinclair,2015,RD,RUCK,26.0,29,3,83.73,867.1,98.23,93.89,72.84,98.23,84.52,0.46,1,0
callum-sinclair,2016,RD,RUCK,27.0,45,4,83.73,931.2,99.93,89.65,69.63,99.93,81.75,0.4,1,0
callum-sinclair,2017,RD,RUCK,28.0,64,5,83.73,687.8,97.19,91.62,77.42,97.19,85.33,0.4,1,0
callum-sinclair,2018,RD,RUCK,29.0,87,6,82.4,174.0,109.84,104.33,98.96,109.84,104.91,0.546,1,0
callum-sinclair,2019,RD,RUCK,30.0,101,7,75.05,167.8,102.63,93.36,81.84,102.63,90.16,0.4,1,0
kyle-martin,2012,RD,KPD,22.0,0,0,77.0,31.8,91.29,79.48,65.74,91.29,85.16,0.76,1,0
kyle-martin,2013,RD,KPD,23.0,4,1,77.0,0.0,86.41,80.32,63.61,86.41,78.89,0.67,1,0
kyle-martin,2014,RD,KPD,24.0,6,2,24.5,0.0,78.18,71.26,58.26,78.18,69.82,0.58,1,0
kyle-hartigan,2012,RD,KPD,21.0,0,0,59.47,35.1,98.07,84.5,69.42,98.07,94.64,0.88,1,0
kyle-hartigan,2013,RD,KPD,22.0,3,1,59.47,28.1,89.79,80.12,63.83,89.79,83.56,0.76,1,0
kyle-hartigan,2014,RD,KPD,23.0,10,2,59.47,9.9,84.01,74.2,60.41,84.01,76.23,0.67,1,0
kyle-hartigan,2015,RD,KPD,24.0,28,3,56.6,11.1,75.66,72.51,61.99,75.66,69.92,0.58,1,0
kyle-hartigan,2016,RD,KPD,25.0,51,4,56.6,6.7,72.65,70.78,61.34,72.65,67.22,0.52,1,0
kyle-hartigan,2017,RD,KPD,26.0,69,5,53.63,5.9,69.57,65.55,56.95,69.57,62.75,0.46,1,0
kyle-hartigan,2018,RD,KPD,27.0,82,6,51.7,6.5,70.0,64.86,55.94,70.0,61.57,0.4,1,0
kyle-hartigan,2019,RD,KPD,28.0,101,7,50.37,7.3,65.5,57.59,48.84,65.5,55.5,0.4,1,0
jonathon-ceglar,2012,RD,RUCK,21.0,0,0,82.2,464.1,111.34,94.0,71.64,111.34,106.57,0.88,1,0
jonathon-ceglar,2013,RD,RUCK,22.0,2,1,82.2,529.1,106.84,91.37,65.61,106.84,96.94,0.76,1,0
jonathon-ceglar,2014,RD,RUCK,23.0,17,2,82.2,538.6,113.13,97.34,76.47,113.13,101.03,0.67,1,0
jonathon-ceglar,2015,RD,RUCK,24.0,31,3,82.2,591.7,107.97,100.43,78.53,107.97,95.61,0.58,1,0
jonathon-ceglar,2016,RD,RUCK,25.0,50,4,82.2,664.5,103.31,96.37,76.78,103.31,90.57,0.52,1,0
jonathon-ceglar,2017,RD,RUCK,26.0,50,5,82.2,757.5,98.62,93.49,75.23,98.62,85.99,0.46,1,0
jonathon-ceglar,2018,RD,RUCK,27.0,61,6,82.2,845.4,103.18,94.28,77.64,103.18,87.86,0.4,1,0
jonathon-ceglar,2019,RD,RUCK,28.0,76,7,82.2,595.5,101.0,94.38,82.17,101.0,89.7,0.4,1,0
jake-lloyd,2012,RD,SD,19.0,0,0,113.93,2453.4,108.91,97.97,76.77,108.91,108.91,1.0,1,0
jake-lloyd,2013,RD,SD,20.0,0,1,113.93,2796.9,102.54,91.23,71.23,102.54,102.54,1.0,1,0
jake-lloyd,2014,RD,SD,21.0,21,2,113.93,3188.2,103.29,92.0,68.85,103.29,99.16,0.88,1,0
jake-lloyd,2015,RD,SD,22.0,43,3,113.93,3552.0,99.58,93.17,74.93,99.58,93.67,0.76,1,0
jake-lloyd,2016,RD,SD,23.0,69,4,113.93,3804.4,108.42,103.55,89.96,108.42,102.33,0.67,1,0
jake-lloyd,2017,RD,SD,24.0,92,5,113.93,3996.5,107.81,105.29,92.68,107.81,101.83,0.605,1,0
jake-lloyd,2018,RD,SD,25.0,115,6,113.93,3504.8,126.11,118.92,109.96,126.11,121.81,0.734,1,0
jake-lloyd,2019,RD,SD,26.0,137,7,112.63,3022.6,126.53,119.51,111.59,126.53,122.92,0.758,1,0
mitchell-clisby,2012,RD,SD,23.0,0,0,68.4,6.4,87.52,77.72,60.57,87.52,78.62,0.67,1,0
mitchell-clisby,2013,RD,SD,24.0,8,1,68.4,0.0,86.19,79.23,59.72,86.19,75.07,0.58,1,0
justin-hoskin,2012,RD,SD,21.0,0,0,0.0,0.0,100.4,85.93,66.31,100.4,96.31,0.88,1,0
alex-howson,2012,RD,SD,18.0,0,0,0.0,0.0,108.91,98.01,61.68,108.91,108.91,1.0,1,0
sam-dwyer,2012,RD,SF,26.0,0,0,67.4,85.6,67.36,62.4,50.22,67.36,58.11,0.46,1,0
sam-dwyer,2013,RD,SF,27.0,21,1,67.4,45.6,76.32,69.05,59.43,76.32,66.19,0.4,1,0
sam-dwyer,2014,RD,SF,28.0,34,2,67.4,0.0,76.15,70.68,59.99,76.15,66.45,0.4,1,0
sam-dwyer,2015,RD,SF,29.0,39,3,49.2,0.0,70.74,63.82,53.76,70.74,60.55,0.4,1,0
xavier-richards,2012,RD,KPD,19.0,0,0,65.0,33.0,103.09,97.58,79.88,103.09,103.09,1.0,1,0
xavier-richards,2013,RD,KPD,20.0,1,1,65.0,37.6,95.88,89.2,71.04,95.88,95.88,1.0,1,0
xavier-richards,2014,RD,KPD,21.0,1,2,65.0,42.9,93.74,84.51,66.27,93.74,90.45,0.88,1,0
xavier-richards,2015,RD,KPD,22.0,2,3,65.0,46.7,80.81,73.55,57.33,80.81,75.17,0.76,1,0
xavier-richards,2016,RD,KPD,23.0,12,4,65.0,0.0,88.92,77.52,63.36,88.92,80.49,0.67,1,0
adam-oxley,2012,RD,SD,20.0,0,0,72.05,54.3,102.54,91.23,71.23,102.54,102.54,1.0,1,0
adam-oxley,2013,RD,SD,21.0,2,1,72.05,61.9,96.84,82.3,57.83,96.84,92.16,0.88,1,0
adam-oxley,2014,RD,SD,22.0,2,2,72.05,70.5,86.86,76.51,56.49,86.86,79.57,0.76,1,0
adam-oxley,2015,RD,SD,23.0,19,3,72.05,3.1,100.8,92.01,76.89,100.8,92.91,0.67,1,0
adam-oxley,2016,RD,SD,24.0,31,4,67.6,0.0,93.2,88.9,71.73,93.2,84.18,0.58,1,0
adam-oxley,2017,RD,SD,25.0,31,5,46.3,0.0,90.49,81.72,67.23,90.49,79.33,0.52,1,0
adam-oxley,2018,RD,SD,26.0,34,6,46.3,0.0,77.11,70.09,57.05,77.11,66.28,0.46,1,0
dane-rampe,2012,RD,SD,22.0,0,0,92.33,1518.9,92.12,80.19,62.89,92.12,85.1,0.76,1,0
dane-rampe,2013,RD,SD,23.0,23,1,92.33,1731.2,90.53,82.76,66.29,90.53,82.53,0.67,1,0
dane-rampe,2014,RD,SD,24.0,48,2,92.33,1937.5,93.79,88.37,74.49,93.79,85.68,0.58,1,0
dane-rampe,2015,RD,SD,25.0,72,3,92.33,1928.8,101.3,98.05,82.66,101.3,92.36,0.52,1,0
dane-rampe,2016,RD,SD,26.0,98,4,92.33,1833.4,103.99,101.12,92.03,103.99,98.03,0.502,1,0
dane-rampe,2017,RD,SD,27.0,115,5,89.27,1845.2,100.94,96.33,84.76,100.94,91.23,0.4,1,0
dane-rampe,2018,RD,SD,28.0,138,6,89.27,1760.3,94.58,93.28,81.76,94.58,86.89,0.4,1,0
dane-rampe,2019,RD,SD,29.0,159,7,89.27,1108.6,103.64,100.06,93.16,103.64,98.51,0.511,1,0
cadeyn-williams,2012,RD,MID,18.0,0,0,0.0,0.0,112.82,94.9,52.22,112.82,112.82,1.0,1,0
jack-frost,2012,RD,KPD,20.0,0,0,52.8,5.6,97.65,90.86,74.34,97.65,97.65,1.0,1,0
jack-frost,2013,RD,KPD,21.0,2,1,52.8,5.0,94.29,83.86,67.5,94.29,91.07,0.88,1,0
jack-frost,2014,RD,KPD,22.0,24,2,52.8,4.2,85.02,81.18,65.86,85.02,80.42,0.76,1,0
jack-frost,2015,RD,KPD,23.0,44,3,52.55,4.5,79.07,74.08,60.35,79.07,72.89,0.67,1,0
jack-frost,2016,RD,KPD,24.0,54,4,57.1,0.0,74.52,71.58,58.01,74.52,67.59,0.58,1,0
jack-frost,2017,RD,KPD,25.0,56,5,30.5,0.0,71.88,70.35,55.52,71.88,64.03,0.52,1,0
craig-moller,2012,RD,RUCK,18.0,0,0,26.0,0.0,115.06,103.63,54.35,115.06,115.06,1.0,1,0
craig-moller,2013,RD,RUCK,19.0,1,1,26.0,0.0,113.66,104.3,73.26,113.66,113.66,1.0,1,0
daniel-robinson,2012,RD,MID,18.0,0,0,54.45,3.3,112.82,94.9,52.22,112.82,112.82,1.0,1,0
daniel-robinson,2013,RD,MID,19.0,0,1,54.45,3.8,112.82,94.86,66.85,112.82,112.82,1.0,1,0
daniel-robinson,2014,RD,MID,20.0,0,2,54.45,4.3,103.9,91.12,61.06,103.9,103.9,1.0,1,0
daniel-robinson,2015,RD,MID,21.0,4,3,54.45,4.9,103.32,86.61,56.78,103.32,97.74,0.88,1,0
daniel-robinson,2016,RD,MID,22.0,11,4,54.45,0.2,94.57,82.68,54.92,94.57,85.05,0.76,1,0
daniel-robinson,2017,RD,MID,23.0,16,5,48.6,0.1,93.3,80.58,53.21,93.3,80.07,0.67,1,0
daniel-robinson,2018,RD,MID,24.0,25,6,48.6,0.0,82.38,73.11,46.58,82.38,67.34,0.58,1,0
brandon-jack,2012,RD,SF,18.0,0,0,36.93,0.1,97.91,83.99,50.25,97.91,97.91,1.0,1,0
brandon-jack,2013,RD,SF,19.0,9,1,36.93,0.1,83.12,78.85,50.32,83.12,83.12,1.0,1,0
brandon-jack,2014,RD,SF,20.0,17,2,37.6,0.1,82.42,75.4,49.86,82.42,82.42,1.0,1,0
brandon-jack,2015,RD,SF,21.0,27,3,47.2,0.0,82.61,72.41,49.41,82.61,78.63,0.88,1,0
brandon-jack,2016,RD,SF,22.0,27,4,42.0,0.0,72.88,62.96,46.59,72.88,66.57,0.76,1,0
brandon-jack,2017,RD,SF,23.0,28,5,42.0,0.0,71.29,65.9,39.63,71.29,60.84,0.67,1,0
sam-naismith,2012,RD,RUCK,20.0,0,0,67.65,197.7,110.94,99.7,72.41,110.94,110.94,1.0,1,0
sam-naismith,2013,RD,RUCK,21.0,0,1,67.65,225.4,111.34,94.0,71.64,111.34,106.57,0.88,1,0
sam-naismith,2014,RD,RUCK,22.0,1,2,67.65,256.9,106.84,92.11,65.96,106.84,97.03,0.76,1,0
sam-naismith,2015,RD,RUCK,23.0,1,3,67.65,292.9,106.02,89.45,62.67,106.02,91.71,0.67,1,0
sam-naismith,2016,RD,RUCK,24.0,13,4,67.65,187.4,106.87,93.03,69.08,106.87,91.0,0.58,1,0
sam-naismith,2017,RD,RUCK,25.0,28,5,66.9,209.0,103.01,95.02,72.46,103.01,88.35,0.52,1,0
sam-naismith,2018,RD,RUCK,26.0,28,6,100.0,238.3,97.82,91.02,71.81,97.82,83.77,0.46,1,0
sam-naismith,2019,RD,RUCK,27.0,28,7,100.0,271.6,97.32,87.54,68.07,97.32,79.77,0.4,1,0
zachary-williams,2012,PDA,SF,18.0,0,0,92.9,1112.6,97.91,83.99,50.25,97.91,97.91,1.0,0,1
zachary-williams,2013,PDA,SF,19.0,11,1,92.9,1268.2,97.72,89.02,69.81,97.72,97.72,1.0,0,1
zachary-williams,2014,PDA,SF,20.0,19,2,92.9,1444.5,95.7,89.03,68.34,95.7,95.7,1.0,0,1
zachary-williams,2015,PDA,SF,21.0,31,3,92.9,1634.9,98.03,90.38,75.95,98.03,95.38,0.88,0,1
zachary-williams,2016,PDA,SF,22.0,53,4,92.9,1567.4,110.51,100.53,86.23,110.51,105.71,0.803,0,1
zachary-williams,2017,PDA,SF,23.0,76,5,92.8,1331.8,112.71,105.36,94.57,112.71,108.66,0.776,0,1
zachary-williams,2018,PDA,SF,24.0,78,6,90.57,1244.2,113.15,104.55,90.53,113.15,106.81,0.72,0,1
zachary-williams,2019,PDA,SF,25.0,102,7,90.57,675.6,122.27,114.38,106.79,122.27,119.11,0.796,0,1
andrew-boston,2012,PDA,MID,18.0,0,0,46.35,0.0,112.82,94.9,52.22,112.82,112.82,1.0,0,1
andrew-boston,2013,PDA,MID,19.0,8,1,46.35,0.0,106.99,95.13,62.33,106.99,106.99,1.0,0,1
andrew-boston,2014,PDA,MID,20.0,8,2,54.1,0.0,104.62,88.78,55.03,104.62,104.62,1.0,0,1
andrew-boston,2015,PDA,MID,21.0,16,3,54.1,0.0,103.03,85.46,56.09,103.03,97.39,0.88,0,1
jordan-bourke,2012,PDA,MID,18.0,0,0,0.0,0.0,112.82,94.9,52.22,112.82,112.82,1.0,0,1
joe-redfern,2012,PDA,MID,18.0,0,0,0.0,0.0,112.82,94.9,52.22,112.82,112.82,1.0,0,1
ciaran-kilkenny,2012,IRE,SD,23.0,0,0,0.0,0.0,87.52,77.72,60.57,87.52,78.62,0.67,0,1
gideon-simon,2012,UNR,RUCK,18.0,0,0,0.0,0.0,115.06,103.63,54.35,115.06,115.06,1.0,0,1
eric-wallace,2012,UNR,RUCK,24.0,0,0,0.0,0.0,100.49,88.22,61.3,100.49,84.03,0.58,0,1
ben-richmond,2012,UNR,RUCK,19.0,0,0,0.0,0.0,115.06,104.01,74.36,115.06,115.06,1.0,0,1
tim-klaosen,2012,UNR,RUCK,23.0,0,0,0.0,0.0,106.38,88.74,64.08,106.38,92.42,0.67,0,1
jack-osborn,2012,UNR,RUCK,22.0,0,0,0.0,0.0,106.93,90.76,67.78,106.93,97.54,0.76,0,1
jaeger-o-meara,2011,ND,MID,18.0,0,0,95.97,1345.1,116.37,113.28,101.48,116.37,116.37,1.0,1,0
jaeger-o-meara,2012,ND,MID,19.0,0,1,95.97,1533.4,116.37,111.71,98.48,116.37,116.37,1.0,1,0
jaeger-o-meara,2013,ND,MID,20.0,22,2,95.97,1379.8,116.45,112.59,104.18,116.45,116.45,1.0,1,0
jaeger-o-meara,2014,ND,MID,21.0,44,3,95.97,991.2,115.89,113.95,107.71,115.89,115.18,0.914,1,0
jaeger-o-meara,2015,ND,MID,22.0,44,4,93.67,1129.9,115.2,112.06,99.11,115.2,112.43,0.828,1,0
jaeger-o-meara,2016,ND,MID,23.0,44,5,93.67,1288.1,113.54,108.23,94.69,113.54,109.07,0.763,1,0
jaeger-o-meara,2017,ND,MID,24.0,50,6,93.67,1467.7,91.95,84.0,65.89,91.95,81.0,0.58,1,0
jaeger-o-meara,2018,ND,MID,25.0,71,7,93.67,1220.9,109.28,102.24,90.74,109.28,101.99,0.607,1,0
jaeger-o-meara,2019,ND,MID,26.0,92,8,92.77,1015.2,106.17,100.31,88.98,106.17,98.3,0.542,1,0
jonathon-patton,2011,ND,KPF,18.0,0,0,73.8,431.5,95.31,86.22,53.2,95.31,95.31,1.0,1,0
jonathon-patton,2012,ND,KPF,19.0,7,1,73.8,491.8,92.6,85.52,66.81,92.6,92.6,1.0,1,0
jonathon-patton,2013,ND,KPF,20.0,10,2,73.8,557.3,96.21,89.83,68.43,96.21,96.21,1.0,1,0
jonathon-patton,2014,ND,KPF,21.0,29,3,73.8,591.8,101.0,98.86,81.25,101.0,98.63,0.88,1,0
jonathon-patton,2015,ND,KPF,22.0,32,4,73.8,674.5,93.73,90.2,71.96,93.73,88.5,0.76,1,0
jonathon-patton,2016,ND,KPF,23.0,55,5,73.8,719.5,90.85,86.25,72.39,90.85,84.76,0.67,1,0
jonathon-patton,2017,ND,KPF,24.0,77,6,64.53,342.6,99.15,95.68,83.39,99.15,93.14,0.619,1,0
jonathon-patton,2018,ND,KPF,25.0,89,7,56.45,0.0,99.22,94.21,82.09,99.22,91.98,0.578,1,0
jonathon-patton,2019,ND,KPF,26.0,89,8,35.3,0.0,96.76,90.0,74.33,96.76,86.1,0.525,1,0
stephen-coniglio,2011,ND,MID,18.0,0,0,105.4,2298.3,115.02,110.27,90.57,115.02,115.02,1.0,1,0
stephen-coniglio,2012,ND,MID,19.0,12,1,105.4,2577.7,121.33,120.56,108.35,121.33,121.33,1.0,1,0
stephen-coniglio,2013,ND,MID,20.0,30,2,105.4,2912.0,117.16,117.22,103.66,117.22,117.22,1.0,1,0
stephen-coniglio,2014,ND,MID,21.0,44,3,105.4,3129.4,120.48,114.84,99.79,120.48,118.0,0.88,1,0
stephen-coniglio,2015,ND,MID,22.0,62,4,105.4,3154.6,118.07,114.29,105.04,118.07,115.36,0.791,1,0
stephen-coniglio,2016,ND,MID,23.0,85,5,105.4,2819.6,119.92,120.23,113.45,120.23,118.92,0.807,1,0
stephen-coniglio,2017,ND,MID,24.0,95,6,104.3,2688.9,118.12,116.28,108.6,118.12,115.45,0.72,1,0
stephen-coniglio,2018,ND,MID,25.0,118,7,104.3,2147.2,121.55,119.77,109.62,121.55,118.92,0.78,1,0
stephen-coniglio,2019,ND,MID,26.0,133,8,101.77,1767.2,113.42,110.98,102.88,113.42,110.22,0.697,1,0
dylan-shiel,2011,ND,MID,18.0,0,0,101.23,2026.4,119.56,113.34,89.43,119.56,119.56,1.0,1,0
dylan-shiel,2012,ND,MID,19.0,12,1,101.23,2273.1,126.01,122.54,105.77,126.01,126.01,1.0,1,0
dylan-shiel,2013,ND,MID,20.0,33,2,101.23,2552.2,121.62,118.95,102.38,121.62,121.62,1.0,1,0
dylan-shiel,2014,ND,MID,21.0,50,3,101.23,2409.4,124.34,117.99,109.46,124.34,122.8,0.897,1,0
dylan-shiel,2015,ND,MID,22.0,64,4,101.23,2020.9,128.5,124.65,110.85,128.5,125.75,0.844,1,0
dylan-shiel,2016,ND,MID,23.0,87,5,99.53,1688.1,126.93,122.61,110.25,126.93,123.31,0.783,1,0
dylan-shiel,2017,ND,MID,24.0,112,6,97.7,1463.7,120.6,116.49,104.69,120.6,115.52,0.68,1,0
dylan-shiel,2018,ND,MID,25.0,135,7,97.4,1361.3,119.14,109.72,96.99,119.14,109.82,0.579,1,0
dylan-shiel,2019,ND,MID,26.0,157,8,97.4,970.1,116.58,109.26,99.7,116.58,109.92,0.605,1,0
dom-tyson,2011,ND,MID,18.0,0,0,88.7,665.3,118.89,109.43,88.04,118.89,118.89,1.0,1,0
dom-tyson,2012,ND,MID,19.0,10,1,88.7,758.3,119.14,107.19,88.25,119.14,119.14,1.0,1,0
dom-tyson,2013,ND,MID,20.0,13,2,88.7,864.5,112.51,99.06,77.67,112.51,112.51,1.0,1,0
dom-tyson,2014,ND,MID,21.0,35,3,88.7,502.3,125.22,115.96,106.51,125.22,123.43,0.904,1,0
dom-tyson,2015,ND,MID,22.0,50,4,83.93,465.4,119.11,109.43,95.52,119.11,113.45,0.76,1,0
dom-tyson,2016,ND,MID,23.0,71,5,81.47,148.4,119.94,113.27,103.72,119.94,115.24,0.71,1,0
dom-tyson,2017,ND,MID,24.0,90,6,76.9,31.9,109.86,102.76,92.72,109.86,102.66,0.58,1,0
dom-tyson,2018,ND,MID,25.0,107,7,72.5,19.8,103.55,92.86,79.28,103.55,91.9,0.52,1,0
dom-tyson,2019,ND,MID,26.0,110,8,75.7,0.0,100.94,89.69,75.32,100.94,87.11,0.46,1,0
will-hoskin-elliott,2011,ND,SF,18.0,0,0,73.9,228.5,100.63,92.93,74.92,100.63,100.63,1.0,1,0
will-hoskin-elliott,2012,ND,SF,19.0,10,1,73.9,260.4,93.23,86.49,69.55,93.23,93.23,1.0,1,0
will-hoskin-elliott,2013,ND,SF,20.0,19,2,73.9,296.8,90.48,79.34,68.42,90.48,90.48,1.0,1,0
will-hoskin-elliott,2014,ND,SF,21.0,39,3,73.9,335.2,99.89,90.4,79.82,99.89,97.48,0.88,1,0
will-hoskin-elliott,2015,ND,SF,22.0,50,4,73.9,382.2,87.42,80.68,66.03,87.42,82.29,0.76,1,0
will-hoskin-elliott,2016,ND,SF,23.0,52,5,73.9,435.6,79.46,69.06,58.3,79.46,72.47,0.67,1,0
will-hoskin-elliott,2017,ND,SF,24.0,74,6,73.9,117.2,100.19,93.71,82.81,100.19,93.49,0.615,1,0
will-hoskin-elliott,2018,ND,SF,25.0,100,7,69.5,123.5,88.2,80.99,75.87,88.2,82.28,0.52,1,0
will-hoskin-elliott,2019,ND,SF,26.0,119,8,67.73,79.2,82.36,77.57,69.79,82.36,75.57,0.46,1,0
matthew-buntine,2011,ND,SD,18.0,0,0,61.73,14.3,104.8,96.12,77.94,104.8,104.8,1.0,1,0
