==============================================================================================================
Max Kondogiannis
   sc      avg         v    price6    raw_ev      prod   lvl_eff | bb (6 quantiles)
   74   52.481    287.69    280.04    316.46    316.46   49.8137 |  45.52  53.22  59.11  64.85  74.41  83.88
   76   52.681    288.27    281.12    317.54    317.54   49.8933 |  45.52  53.22  59.11  64.85  74.47  83.88
   78   52.881    288.20    281.12    317.54    317.54   49.9729 |  45.52  53.22  59.11  64.85  74.47  83.88
   80   53.081    286.26    278.32    314.24    314.24   50.0526 |  45.52  53.22  59.11  64.85  74.47  83.71
   82   53.281    286.36    278.32    314.42    314.42   50.1322 |  45.52  53.22  59.11  64.85  74.47  83.71
   84   53.481    292.22    287.86    325.02    325.02   50.2118 |  45.52  53.22  59.11  64.85  74.71  84.04
   86   53.681    317.02    285.52    322.86    322.86   50.2914 |  45.52  53.22  59.11  63.92  74.71  84.04
   88   53.881    317.12    285.52    323.04    323.04   50.3710 |  45.52  53.22  59.11  63.92  74.71  84.04
   90   54.081    328.47    303.88    343.56    343.56   50.4506 |  45.59  53.22  59.66  65.90  75.42  84.04
   92   54.281    337.81    318.88    360.46    360.46   50.5302 |  45.59  53.48  59.66  65.90  75.42  84.91
   94   54.481    358.63    352.00    398.08    398.08   50.6098 |  45.59  53.93  60.25  65.90  77.13  84.91
   96   54.681    360.32    354.52    401.14    401.14   50.6894 |  45.59  53.93  61.62  66.23  77.13  84.91
   98   54.881    364.41    361.18    408.52    408.52   50.7690 |  45.59  53.39  61.75  66.88  77.31  84.91
  100   55.081    374.56    377.20    426.88    426.88   50.8487 |  45.59  55.10  62.86  68.33  77.62  84.91
  102   55.281    392.18    405.46    458.74    458.74   50.9283 |  47.75  55.52  63.26  68.33  78.86  84.91
  104   55.481    391.78    404.92    458.02    458.02   51.0079 |  47.75  55.52  62.87  68.33  78.86  84.91
  106   55.681    392.58    406.00    459.46    459.46   51.0875 |  47.75  55.52  63.47  68.33  78.86  84.91
  108   55.881    390.29    402.22    455.32    455.32   51.1671 |  47.90  55.52  63.87  68.79  78.52  84.91
  110   56.081    404.39    425.26    480.82    480.82   51.2467 |  47.90  55.52  63.87  68.79  78.41  86.32
  112   56.281    404.52    425.26    480.82    480.82   51.3263 |  47.90  55.52  63.87  68.79  78.41  86.32
  114   56.481    405.82    427.24    483.16    483.16   51.4059 |  47.90  55.40  63.87  69.07  78.41  86.32
  116   56.681    406.01    427.06    483.52    483.52   51.4855 |  47.90  53.76  63.87  69.07  78.41  86.32
  118   56.881    405.33    426.06    482.30    482.30   51.5651 |  47.90  53.76  63.87  69.07  78.49  86.16
  120   57.081    406.06    427.14    483.56    483.56   51.6448 |  47.90  57.99  64.04  69.07  78.49  86.16
  122   57.281    400.78    418.32    474.02    474.02   51.7244 |  47.90  58.71  63.52  67.85  78.49  86.16
  124   57.481    399.98    417.06    472.58    472.58   51.8040 |  47.90  56.90  63.15  67.85  78.49  86.16
  126   57.681    441.88    483.66    548.36    548.36   51.8836 |  47.90  56.90  64.41  70.00  80.49  86.16
  128   57.881    414.90    440.46    499.40    499.40   51.9632 |  47.90  57.32  64.41  69.75  78.80  86.16
  130   58.081    405.67    425.70    482.48    482.48   52.0428 |  47.90  57.32  64.41  69.75  78.14  86.16
  132   58.281    422.10    451.62    512.18    512.18   52.1224 |  47.98  57.32  64.41  69.74  79.26  86.16
  134   58.481    425.47    457.06    518.26    518.26   52.2020 |  47.98  57.32  63.81  69.50  79.26  86.62
  136   58.681    424.19    454.34    515.82    515.82   52.2816 |  47.98  57.32  63.81  69.50  79.46  86.22
  138   58.881    391.72    402.32    456.96    456.96   52.3612 |  47.98  57.32  63.70  69.16  77.28  86.22
  140   59.081    391.92    402.32    457.32    457.32   52.4408 |  47.98  57.32  63.70  69.16  77.28  86.22
  142   59.281    425.76    455.78    518.52    518.52   52.5205 |  47.98  57.32  63.35  69.25  79.64  86.22
  144   59.481    425.45    455.06    517.98    517.98   52.6001 |  47.98  57.32  63.91  69.25  79.57  86.22
  146   59.681    425.68    455.24    518.34    518.34   52.6797 |  48.14  57.40  63.91  69.25  79.57  86.22
  148   59.881    412.74    434.18    494.76    494.76   52.7593 |  48.95  57.40  63.75  69.25  78.68  86.22
  150   60.081    419.17    444.42    506.36    506.36   52.8389 |  49.07  57.40  64.38  69.25  78.68  86.70
