key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
tim-membrey,Tim Membrey,St Kilda,Port Adelaide Power,Key Fwd,the-sheet-recut-20-8,23,PLAYED,46.0,130,107,-23,-17.69,573,604,-31,95,100,-5
tim-taranto,Tim Taranto,Richmond,West Coast Eagles,Mid,the-sheet-recut-20-8,23,PLAYED,94.0,2385,2359,-26,-1.09,79,80,-1,30,29,1
timothy-english,Timothy English,Western Bulldogs,Western Bulldogs,Ruck,the-sheet-recut-20-8,23,DNP,DNP,3334,3336,2,0.06,48,48,0,4,4,0
tobie-travaglia,Tobie Travaglia,St Kilda,Melbourne Demons,Def,the-sheet-recut-20-8,23,PLAYED,57.0,403,438,35,8.68,360,347,13,88,86,2
toby-bedford,Toby Bedford,GWS,Western Bulldogs,Fwd,the-sheet-recut-20-8,23,DNP,DNP,319,318,-1,-0.31,403,405,-2,93,93,0
toby-conway,Toby Conway,Geelong,Essendon Bombers,Ruck,the-sheet-recut-20-8,23,DNP,DNP,460,460,0,0.0,337,335,2,23,23,0
toby-greene,Toby Greene,GWS,North Melbourne Kangaroos,Fwd,the-sheet-recut-20-8,23,PLAYED,107.0,810,874,64,7.9,240,232,8,59,57,2
toby-mcmullin,Toby McMullin,GWS,Melbourne Demons,Mid,the-sheet-recut-20-8,23,PLAYED,51.0,79,81,2,2.53,646,638,8,131,129,2
toby-murray,Toby Murray,Adelaide,Adelaide Crows,Key Fwd,the-sheet-recut-20-8,23,PLAYED,19.0,276,265,-11,-3.99,426,436,-10,63,66,-3
toby-nankervis,Toby Nankervis,Richmond,West Coast Eagles,Ruck,the-sheet-recut-20-8,23,PLAYED,79.0,1930,1809,-121,-6.27,114,119,-5,7,9,-2
toby-pink,Toby Pink,North Melbourne,Free agents,Key Def,the-sheet-recut-20-8,23,DNP,DNP,67,68,1,1.49,669,664,5,63,62,1
toby-whan,Toby Whan,Fremantle,Richmond Tigers,Mid,the-sheet-recut-20-8,23,DNP,DNP,25,24,-1,-4.0,749,748,1,144,144,0
tobyn-murray,Tobyn Murray,Fremantle,St Kilda Saints,Fwd,the-sheet-recut-20-8,23,DNP,DNP,204,198,-6,-2.94,499,502,-3,121,123,-2
todd-marshall,Todd Marshall,Port Adelaide,Adelaide Crows,Key Fwd,the-sheet-recut-20-8,23,PLAYED,76.0,96,96,0,0.0,615,616,-1,104,103,1
tom-atkins,Tom Atkins,Geelong,Port Adelaide Power,Mid,the-sheet-recut-20-8,23,PLAYED,89.0,376,389,13,3.46,371,365,6,88,86,2
tom-barrass,Tom Barrass,Hawthorn,Brisbane Lions,Key Def,the-sheet-recut-20-8,23,PLAYED,51.0,39,36,-3,-7.69,713,722,-9,70,71,-1
tom-blamires,Tom Blamires,North Melbourne,Richmond Tigers,Def,the-sheet-recut-20-8,23,PLAYED,63.0,187,189,2,1.07,514,510,4,112,112,0
tom-brown,Tom Brown,Richmond,Carlton Blues,Def,the-sheet-recut-20-8,23,PLAYED,58.0,533,528,-5,-0.94,313,310,3,77,76,1
tom-cochrane,Tom Cochrane,Port Adelaide,Essendon Bombers,Fwd,the-sheet-recut-20-8,23,DNP,DNP,140,137,-3,-2.14,562,564,-2,140,140,0
tom-cole,Tom Cole,West Coast,Port Adelaide Power,Fwd,the-sheet-recut-20-8,23,PLAYED,81.0,68,70,2,2.94,666,659,7,175,173,2
tom-de-koning,Tom De Koning,St Kilda,Essendon Bombers,Ruck,the-sheet-recut-20-8,23,PLAYED,55.0,1874,1847,-27,-1.44,116,117,-1,9,8,1
tom-doedee,Tom Doedee,Brisbane,Free agents,Def,the-sheet-recut-20-8,23,DNP,DNP,36,33,-3,-8.33,727,733,-6,158,161,-3
tom-edwards,Tom Edwards,Essendon,Free agents,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,102,100,-2,-1.96,607,610,-3,102,102,0
tom-green,Tom Green,GWS,Essendon Bombers,Mid,the-sheet-recut-20-8,23,DNP,DNP,5637,5575,-62,-1.1,12,14,-2,7,7,0
tom-gross,Tom Gross,West Coast,Melbourne Demons,Fwd,the-sheet-recut-20-8,23,PLAYED,47.0,418,398,-20,-4.78,352,359,-7,79,82,-3
tom-hanily,Tom Hanily,Sydney,Richmond Tigers,Fwd,the-sheet-recut-20-8,23,DNP,DNP,157,155,-2,-1.27,542,544,-2,134,134,0
tom-lynch-1,Tom Lynch,Richmond,Adelaide Crows,Key Fwd,the-sheet-recut-20-8,23,PLAYED,34.0,12,9,-3,-25.0,778,786,-8,119,119,0
tom-mccarthy,Tom McCarthy,West Coast,Melbourne Demons,Def,the-sheet-recut-20-8,23,PLAYED,98.0,1333,1356,23,1.73,165,160,5,41,39,2
tom-mccartin,Tom McCartin,Sydney,West Coast Eagles,Key Def,the-sheet-recut-20-8,23,PLAYED,66.0,1668,1632,-36,-2.16,132,133,-1,6,6,0
tom-mcdonald,Tom McDonald,Melbourne,Free agents,Key Def,the-sheet-recut-20-8,23,PLAYED,72.0,77,72,-5,-6.49,647,656,-9,60,61,-1
tom-papley,Tom Papley,Sydney,Geelong Cats,Fwd,the-sheet-recut-20-8,23,PLAYED,42.0,399,320,-79,-19.8,363,404,-41,83,92,-9
tom-powell,Tom Powell,North Melbourne,Carlton Blues,Fwd,the-sheet-recut-20-8,23,DNP,DNP,2017,2000,-17,-0.84,107,107,0,31,28,3
tom-sparrow,Tom Sparrow,Melbourne,West Coast Eagles,Fwd,the-sheet-recut-20-8,23,PLAYED,80.0,1609,1539,-70,-4.35,136,141,-5,37,38,-1
touk-miller,Touk Miller,Gold Coast,North Melbourne Kangaroos,Fwd,the-sheet-recut-20-8,23,PLAYED,55.0,2271,2109,-162,-7.13,86,99,-13,22,25,-3
trent-rivers,Trent Rivers,Melbourne,Brisbane Lions,Def,the-sheet-recut-20-8,23,PLAYED,69.0,1764,1748,-16,-0.91,125,128,-3,27,29,-2
tristan-xerri,Tristan Xerri,North Melbourne,Sydney Swans,Ruck,the-sheet-recut-20-8,23,PLAYED,101.0,7031,7024,-7,-0.1,6,7,-1,2,2,0
ty-gallop,Ty Gallop,Brisbane,Adelaide Crows,Key Fwd,the-sheet-recut-20-8,23,DNP,DNP,933,932,-1,-0.11,223,222,1,28,26,2
tyan-prindable,Tyan Prindable,Collingwood,Fremantle Dockers,Mid,the-sheet-recut-20-8,23,DNP,DNP,375,366,-9,-2.4,372,382,-10,89,91,-2
tylah-williams,Tylah Williams,West Coast,Melbourne Demons,Fwd,the-sheet-recut-20-8,23,DNP,DNP,217,211,-6,-2.76,485,492,-7,113,119,-6
tylar-young,Tylar Young,West Coast,Richmond Tigers,Key Def,the-sheet-recut-20-8,23,PLAYED,78.0,311,294,-17,-5.47,407,418,-11,32,33,-1
tyler-brockman,Tyler Brockman,West Coast,Free Agents,Fwd,the-sheet-recut-20-8,23,DNP,DNP,54,53,-1,-1.85,691,692,-1,182,182,0
tyler-sonsie,Tyler Sonsie,Richmond,Essendon Bombers,Fwd,the-sheet-recut-20-8,23,DNP,DNP,988,985,-3,-0.3,208,211,-3,52,52,0
