# 270a2c5f (ACT-2 baseline) -> 01c3645d (unpl_eq on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 01c3645d
# unpl_eq consumer -> _PVC2M; reorders via proj_value sort; displayed v (ev) unchanged
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 469 of 804 active

casc  Harrison Himmelberg        #431 -> #471 ( +40)  v=443  ty=ND  pk=16  unpl=False
REAL  Sam Allen                  #263 -> #224 ( -39)  v=837  ty=ND  pk=29  unpl=True
REAL  Beau Addinsall             #203 -> #165 ( -38)  v=1115 ty=ND  pk=18  unpl=True
REAL  Zane Peucker               #267 -> #229 ( -38)  v=573  ty=ND  pk=31  unpl=True
REAL  Tobyn Murray               #294 -> #256 ( -38)  v=461  ty=ND  pk=40  unpl=True
REAL  Jacob Molier               #374 -> #336 ( -38)  v=494  ty=ND  pk=52  unpl=True
REAL  Tylah Williams             #289 -> #252 ( -37)  v=480  ty=ND  pk=39  unpl=True
REAL  Josh Sinn                  #435 -> #472 ( +37)  v=260  ty=ND  pk=12  unpl=False
REAL  Tyan Prindable             #268 -> #232 ( -36)  v=755  ty=ND  pk=32  unpl=True
REAL  Koby Evans                 #283 -> #247 ( -36)  v=491  ty=ND  pk=38  unpl=True
REAL  Charlie Nicholls           #284 -> #248 ( -36)  v=379  ty=ND  pk=34  unpl=True
REAL  Hunter Holmes              #269 -> #234 ( -35)  v=732  ty=ND  pk=33  unpl=True
REAL  James Barrat               #277 -> #243 ( -34)  v=423  ty=ND  pk=32  unpl=True
REAL  Samuel Swadling            #279 -> #245 ( -34)  v=655  ty=ND  pk=37  unpl=True
REAL  Kayle Gerreyn              #296 -> #262 ( -34)  v=347  ty=ND  pk=37  unpl=True
REAL  Harrison Oliver            #230 -> #197 ( -33)  v=610  ty=ND  pk=19  unpl=False
REAL  Jevan Phillipou            #272 -> #239 ( -33)  v=526  ty=ND  pk=35  unpl=True
REAL  Noah Mraz                  #287 -> #254 ( -33)  v=412  ty=ND  pk=35  unpl=True
REAL  Cooper Bell                #357 -> #325 ( -32)  v=367  ty=ND  pk=49  unpl=True
casc  Marc Pittonet              #442 -> #473 ( +31)  v=505  ty=ND  pk=50  unpl=False
casc  Ned Long                   #443 -> #474 ( +31)  v=1233 ty=RD  pk=4   unpl=False
REAL  Talor Byrne                #444 -> #475 ( +31)  v=441  ty=ND  pk=45  unpl=False
REAL  Jed Adams                  #354 -> #384 ( +30)  v=273  ty=ND  pk=38  unpl=False
casc  Jarrod Witts               #446 -> #476 ( +30)  v=466  ty=ND  pk=81  unpl=False
REAL  Jai Murray                 #180 -> #152 ( -28)  v=1184 ty=ND  pk=17  unpl=False
REAL  Jack Ison                  #450 -> #477 ( +27)  v=492  ty=ND  pk=47  unpl=False
REAL  Oliver Hannaford           #250 -> #276 ( +26)  v=432  ty=ND  pk=18  unpl=False
REAL  Clay Hall                  #457 -> #483 ( +26)  v=613  ty=ND  pk=38  unpl=False
REAL  Will Green                 #196 -> #171 ( -25)  v=651  ty=ND  pk=16  unpl=False
casc  Jy Simpkin                 #274 -> #299 ( +25)  v=945  ty=ND  pk=12  unpl=False
casc  Ben King                   #459 -> #484 ( +25)  v=428  ty=ND  pk=6   unpl=False
casc  Jarrod Berry               #460 -> #485 ( +25)  v=559  ty=ND  pk=17  unpl=False
REAL  Liam Fawcett               #461 -> #486 ( +25)  v=548  ty=ND  pk=43  unpl=False
REAL  Jedd Busslinger            #229 -> #253 ( +24)  v=742  ty=ND  pk=13  unpl=False
casc  Brennan Cox                #239 -> #263 ( +24)  v=452  ty=ND  pk=41  unpl=False
casc  Daniel Turner              #240 -> #264 ( +24)  v=1585 ty=MSD pk=22  unpl=False
REAL  Will Graham                #247 -> #271 ( +24)  v=1561 ty=ND  pk=26  unpl=False
casc  Reilly O'Brien             #248 -> #272 ( +24)  v=1194 ty=RD  pk=8   unpl=False
REAL  Harry Armstrong            #249 -> #273 ( +24)  v=877  ty=ND  pk=23  unpl=False
casc  Adam Treloar               #273 -> #297 ( +24)  v=723  ty=ND  pk=15  unpl=False
REAL  Ben Camporeale             #352 -> #376 ( +24)  v=359  ty=ND  pk=43  unpl=True
casc  Liam Baker                 #454 -> #478 ( +24)  v=655  ty=RD  pk=16  unpl=False
casc  Hayden McLean              #463 -> #487 ( +24)  v=586  ty=SSP pk=None unpl=False
casc  Andrew McGrath             #234 -> #257 ( +23)  v=1061 ty=ND  pk=1   unpl=False
REAL  Joe Richards               #235 -> #258 ( +23)  v=857  ty=ND  pk=48  unpl=False
