# 270a2c5f (ACT-2 baseline) -> 06d8af60 (all consumers on v2)  (RL_PVC2=1 board)
# board md5: 270a2c5f -> 06d8af60
# CUMULATIVE value()/rank/pick-equiv umbrella; real=own proj_value moved, casc=displaced
# V-PARITY (displayed v, keyed): 0 movers  => HOLDS (no shipped v moved)
# RANK movers: 697 of 804 active

REAL  Joe Pike                   #452 -> #391 ( -61)  v=480  ty=RD  pk=11  unpl=True
casc  Liam Baker                 #454 -> #515 ( +61)  v=655  ty=RD  pk=16  unpl=False
casc  Sam Powell-Pepper          #529 -> #590 ( +61)  v=301  ty=ND  pk=18  unpl=False
casc  Darcy Byrne-Jones          #478 -> #538 ( +60)  v=346  ty=ND  pk=50  unpl=False
casc  Rory Lobb                  #483 -> #543 ( +60)  v=391  ty=ND  pk=29  unpl=False
REAL  Logan Evans                #409 -> #350 ( -59)  v=1264 ty=MSD pk=12  unpl=False
REAL  Cody Anderson              #488 -> #429 ( -59)  v=196  ty=ND  pk=64  unpl=True
REAL  Logan Smith                #455 -> #397 ( -58)  v=477  ty=ND  pk=71  unpl=False
REAL  Xavier Walsh               #462 -> #404 ( -58)  v=230  ty=RD  pk=7   unpl=False
casc  Zach Guthrie               #536 -> #594 ( +58)  v=534  ty=RD  pk=25  unpl=False
REAL  Mitch Zadow                #406 -> #349 ( -57)  v=145  ty=SSP pk=None unpl=False
REAL  Aiden Riddle               #453 -> #396 ( -57)  v=480  ty=RD  pk=3   unpl=True
REAL  Ben Jepson                 #464 -> #407 ( -57)  v=16   ty=SSP pk=None unpl=False
REAL  Luke Kennedy               #470 -> #413 ( -57)  v=433  ty=ND  pk=62  unpl=False
casc  Elijah Hollands            #535 -> #592 ( +57)  v=872  ty=ND  pk=7   unpl=False
casc  Charlie Cameron            #545 -> #602 ( +57)  v=267  ty=RD  pk=6   unpl=False
casc  Liam Duggan                #489 -> #545 ( +56)  v=437  ty=ND  pk=12  unpl=False
casc  Ben Keays                  #541 -> #597 ( +56)  v=412  ty=ND  pk=24  unpl=False
casc  Heath Chapman              #544 -> #600 ( +56)  v=607  ty=ND  pk=14  unpl=False
REAL  Luker Kentfield            #414 -> #359 ( -55)  v=380  ty=MSD pk=11  unpl=False
REAL  Kalani White               #415 -> #360 ( -55)  v=291  ty=PDN pk=None unpl=False
REAL  Riley Hamilton             #416 -> #361 ( -55)  v=334  ty=PDA pk=None unpl=False
REAL  Noah Chamberlain           #417 -> #362 ( -55)  v=157  ty=PDA pk=None unpl=False
REAL  Liam Hetherton             #418 -> #363 ( -55)  v=221  ty=PDA pk=None unpl=False
REAL  Jai Saxena                 #419 -> #364 ( -55)  v=229  ty=PDN pk=None unpl=False
REAL  Ryda Luke                  #420 -> #365 ( -55)  v=229  ty=PDN pk=None unpl=False
REAL  Toby Whan                  #421 -> #366 ( -55)  v=229  ty=PDN pk=None unpl=False
REAL  Jesse Mellor               #422 -> #367 ( -55)  v=304  ty=PDN pk=None unpl=False
REAL  Balyn O'Brien              #423 -> #368 ( -55)  v=277  ty=SSP pk=None unpl=False
REAL  Lennox Hoffman             #486 -> #431 ( -55)  v=275  ty=ND  pk=66  unpl=True
REAL  Angus Anderson             #510 -> #455 ( -55)  v=253  ty=ND  pk=57  unpl=False
REAL  Angus Hastie               #347 -> #401 ( +54)  v=303  ty=ND  pk=33  unpl=False
