key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
liam-puncher,Liam Puncher,Collingwood,North Melbourne Kangaroos,Key Def,17,18,PLAYED,47.0,172,169,-3,-1.74,596,598,-2,62,62,0
liam-reidy,Liam Reidy,Carlton,Western Bulldogs,Ruck,17,18,DNP,DNP,268,263,-5,-1.87,515,520,-5,50,50,0
liam-ryan,Liam Ryan,St Kilda,Melbourne Demons,Fwd,17,18,PLAYED,38.0,29,29,0,0.0,766,767,-1,173,174,-1
liam-stocker,Liam Stocker,St Kilda,Free Agents,Def,17,18,PLAYED,71.0,40,40,0,0.0,744,743,1,160,160,0
lincoln-mccarthy,Lincoln McCarthy,Brisbane,Essendon Bombers,Fwd,17,18,DNP,DNP,25,25,0,0.0,772,773,-1,175,176,-1
lloyd-meek,Lloyd Meek,Hawthorn,Carlton Blues,Ruck,17,18,PLAYED,150.0,1127,1291,164,14.55,210,188,22,18,15,3
logan-evans,Logan Evans,Port Adelaide,Sydney Swans,Def,17,18,PLAYED,69.0,1347,1326,-21,-1.56,183,186,-3,39,39,0
logan-mcdonald,Logan McDonald,Sydney,Essendon Bombers,Key Fwd,17,18,DNP,DNP,810,813,3,0.37,272,267,5,38,35,3
logan-morris,Logan Morris,Brisbane,Sydney Swans,Key Fwd,17,18,PLAYED,53.0,3054,3028,-26,-0.85,56,56,0,4,4,0
logan-smith,Logan Smith,GWS,Fremantle Dockers,Ruck,17,18,DNP,DNP,457,450,-7,-1.53,395,395,0,42,42,0
louis-emmett,Louis Emmett,Western Bulldogs,Adelaide Crows,Ruck,17,18,DNP,DNP,906,907,1,0.11,248,245,3,22,22,0
lucas-camporeale,Lucas Camporeale,Carlton,Fremantle Dockers,Mid,17,18,DNP,DNP,286,280,-6,-2.1,498,502,-4,152,150,2
lucca-grego,Lucca Grego,West Coast,Melbourne Demons,Def,17,18,DNP,DNP,265,260,-5,-1.89,518,522,-4,108,109,-1
lukas-cooke,Lukas Cooke,Melbourne,Adelaide Crows,Key Def,17,18,DNP,DNP,164,160,-4,-2.44,601,607,-6,64,64,0
luke-beecken,Luke Beecken,Brisbane,Port Adelaide Power,Mid,17,18,DNP,DNP,34,34,0,0.0,754,754,0,189,188,1
luke-cleary,Luke Cleary,Western Bulldogs,Sydney Swans,Def,17,18,PLAYED,36.0,81,81,0,0.0,690,689,1,148,149,-1
luke-davies-uniacke,Luke Davies-Uniacke,North Melbourne,Richmond Tigers,Mid,17,18,PLAYED,83.0,3733,3718,-15,-0.4,37,38,-1,22,22,0
luke-jackson,Luke Jackson,Fremantle,St Kilda Saints,Ruck,17,18,PLAYED,92.0,8743,8724,-19,-0.22,2,2,0,1,1,0
luke-kennedy,Luke Kennedy,Western Bulldogs,North Melbourne Kangaroos,Mid,17,18,PLAYED,22.0,503,557,54,10.74,367,349,18,124,120,4
luke-lloyd,Luke Lloyd,Brisbane,Free agents,Key Fwd,17,18,DNP,DNP,280,278,-2,-0.71,504,504,0,68,67,1
