key,name,club,affl_team,pos,previous_round,current_round,played,score,prev_value,cur_value,value_change,value_change_pct,prev_rank,cur_rank,rank_change,prev_pos_rank,cur_pos_rank,pos_rank_change
zachary-merrett,Zachary Merrett,Essendon,West Coast Eagles,Mid,18,19,PLAYED,145.0,2562,2772,210,8.2,74,69,5,42,40,2
chad-warner,Chad Warner,Sydney,North Melbourne Kangaroos,Mid,18,19,PLAYED,103.0,3187,3236,49,1.54,52,53,-1,31,31,0
jordon-sweet,Jordon Sweet,Port Adelaide,St Kilda Saints,Ruck,18,19,PLAYED,94.0,2668,2698,30,1.12,69,72,-3,6,6,0
tom-mccartin,Tom McCartin,Sydney,Sydney Swans,Key Def,18,19,PLAYED,132.0,1877,2073,196,10.44,130,116,14,8,8,0
hugo-garcia,Hugo Garcia,St Kilda,West Coast Eagles,Mid,18,19,PLAYED,85.0,2948,2952,4,0.14,59,62,-3,35,36,-1
ed-richards,Ed Richards,Western Bulldogs,St Kilda Saints,Mid,18,19,PLAYED,97.0,3520,3515,-5,-0.14,47,45,2,28,26,2
connor-rozee,Connor Rozee,Port Adelaide,Adelaide Crows,Mid,18,19,DNP,DNP,3081,3096,15,0.49,55,57,-2,33,34,-1
zac-bailey,Zac Bailey,Brisbane,North Melbourne Kangaroos,Fwd,18,19,PLAYED,114.0,2975,3000,25,0.84,58,60,-2,4,4,0
connor-o-sullivan,Connor O'Sullivan,Geelong,Western Bulldogs,Key Def,18,19,PLAYED,60.0,2906,2894,-12,-0.41,61,65,-4,3,4,-1
clayton-oliver,Clayton Oliver,GWS,North Melbourne Kangaroos,Mid,18,19,PLAYED,83.0,2603,2536,-67,-2.57,73,78,-5,41,43,-2
jaspa-fletcher,Jaspa Fletcher,Brisbane,Adelaide Crows,Def,18,19,PLAYED,61.0,2396,2314,-82,-3.42,83,90,-7,12,15,-3
will-day,Will Day,Hawthorn,Richmond Tigers,Mid,18,19,DNP,DNP,2892,2906,14,0.48,62,64,-2,37,37,0
