key,player,pos,sitout_class,entry,effpk,draft_year,pathway,pool,old,new,abs,rel,ev_this_build,tau,career_games_cumulative,games_2026,games_at_pace,games_at_pace_clamped,G_at_his_cell,entry_anchor,retention_R,anchor_leg_before,anchor_leg_after,lam_before,lam_after,e_full,q_pedigree,engine_price_before,engine_price_after,career_by_season,on_sitout_path
riley-hamilton,Riley Hamilton,SF,nonKPP,"PDA (pool, effpk 65)",65,2025,PDA,True,221,227,6,0.027149321266968326,239,0.825513,5,5,5.6818,5.6818,1.525452,204.17,0.627694,128.15,195.49,0.911881,0.914274,241.57,0.072319,231.576,237.62,2026:5g@36.0,True
samuel-swadling,Samuel Swadling,MID,nonKPP,ND pick 37,37,2025,ND,False,637,654,17,0.026687598116169546,688,0.825513,5,5,5.6818,5.6818,1.476497,669.29,0.676353,452.67,668.37,0.916494,0.918712,695.56,0.19754,675.275,693.348,2026:5g@59.0,True
tew-jiath,Tew Jiath,SD,nonKPP,ND pick 37,37,2023,ND,False,159,163,4,0.025157232704402517,172,2.825513,1,0,0.0,0.0,1.030984,423.0,0.394908,167.05,172.22,0.0,0.0,226.41,0.115339,167.045,172.221,2024:1g@24.0; 2026:0g@0.0,True
mitchell-marsh,Mitchell Marsh,KPF,KPP,ND pick 22,22,2025,ND,False,497,509,12,0.02414486921529175,536,0.825513,0,0,0.0,0.0,1.024506,715.17,0.731669,523.27,536.09,0.0,0.0,840.3,0.313073,523.268,536.091,2026:0g@0.0,True
william-mccabe,William McCabe,KPF,KPP,ND pick 19,19,2023,ND,False,516,525,9,0.01744186046511628,552,2.825513,4,4,4.5455,4.5455,1.040906,778.44,0.460394,358.39,373.05,0.519768,0.524177,713.5,0.214528,542.965,551.506,2026:4g@31.8,True
oscar-ryan,Oscar Ryan,SD,nonKPP,ND pick 27,27,2023,ND,False,242,245,3,0.012396694214876033,258,2.825513,1,1,1.1364,1.1364,1.011707,587.05,0.432736,254.04,257.01,0.007941,0.008542,384.06,0.161365,255.071,258.097,2026:1g@96.0,True
dylan-patterson,Dylan Patterson,SD,nonKPP,ND pick 5,5,2025,ND,False,1419,1435,16,0.01127554615926709,1510,0.825513,5,5,5.6818,5.6818,1.306113,1189.99,0.626043,744.99,973.04,0.927098,0.928635,1558.1,0.642332,1498.826,1516.35,2026:5g@35.6,True
charlie-edwards,Charlie Edwards,MID,nonKPP,ND pick 21,21,2023,ND,False,553,559,6,0.0108499095840868,588,2.825513,2,2,2.2727,2.2727,1.012811,1186.98,0.452516,537.13,544.01,0.244915,0.25006,710.82,0.199146,579.668,585.723,2026:2g@47.5,True
oliver-hannaford,Oliver Hannaford,SF,nonKPP,ND pick 18,18,2024,ND,False,309,312,3,0.009708737864077669,328,1.825513,5,5,5.6818,5.6818,1.078173,791.82,0.506784,401.28,432.65,0.918768,0.918339,312.0,0.243129,319.252,321.852,2026:5g@28.2,True
jack-ough,Jack Ough,MID,nonKPP,ND pick 36,36,2024,ND,False,497,501,4,0.008048289738430584,527,1.825513,5,5,5.6818,5.6818,1.147931,686.79,0.452795,310.97,356.98,0.913903,0.914686,557.54,0.135436,536.314,540.431,2026:5g@46.0,True
harrison-oliver,Harrison Oliver,SD,nonKPP,ND pick 19,19,2024,ND,False,440,443,3,0.006818181818181818,466,1.825513,5,5,5.6818,5.6818,1.079472,827.04,0.503226,416.19,449.26,0.919411,0.919847,458.57,0.234487,455.155,457.825,2026:5g@39.0,True
toby-conway,Toby Conway,RUCK,RUCK,ND pick 24,24,2021,ND,False,483,486,3,0.006211180124223602,511,5.0,6,0,0.0,0.0,1.005352,952.79,0.533561,508.37,511.09,0.0,0.0,1152.07,0.187301,508.371,511.092,2023:1g@46.0; 2024:5g@79.6; 2026:0g@0.0,True
josh-smillie,Josh Smillie,MID,nonKPP,ND pick 7,7,2024,ND,False,948,953,5,0.005274261603375527,1003,1.825513,0,0,0.0,0.0,1.004426,2077.25,0.480517,998.15,1002.57,0.0,0.0,1316.12,0.409186,998.154,1002.572,2026:0g@0.0,True
charlie-nicholls,Charlie Nicholls,KPF,KPP,ND pick 34,34,2024,ND,False,193,194,1,0.0051813471502590676,204,1.825513,0,0,0.0,0.0,1.004434,439.98,0.460918,202.79,203.69,0.0,0.0,679.0,0.142805,202.793,203.692,2026:0g@0.0,True
james-barrat,James Barrat,KPD,KPP,ND pick 32,32,2024,ND,False,220,221,1,0.004545454545454545,233,1.825513,0,0,0.0,0.0,1.004891,498.51,0.465955,232.28,233.42,0.0,0.0,695.72,0.153009,232.283,233.419,2026:0g@0.0,True
jayden-nguyen,Jayden Nguyen,SD,nonKPP,"PDN (pool, effpk 65)",65,2024,PDN,True,259,260,1,0.003861003861003861,274,1.825513,10,5,5.6818,5.6818,1.249104,129.45,0.416092,53.86,67.28,0.90523,0.90648,293.49,0.04794,270.783,272.337,2025:5g@39.2; 2026:5g@42.6,True
