key,name,age,pos,b4,b5,inversion
max-michalanney,"Max Michalanney",22,SD,85.943397,94.527541,0
toby-conway,"Toby Conway",23,RUCK,101.598198,116.118686,0
ollie-murphy,"Ollie Murphy",21,KPD,78.420289,94.407433,0
bailey-williams-wb,"Bailey Williams",29,SD,88.493784,95.791022,0
hugh-davies,"Hugh Davies",22,KPD,72.449188,80.372442,0
sean-darcy,"Sean Darcy",28,RUCK,89.694160,97.458696,0
archer-reid,"Archer Reid",21,KPF,73.716985,84.082463,0
jeremy-cameron,"Jeremy Cameron",33,KPF,81.796868,90.826840,0
lachlan-schultz,"Lachlan Schultz",29,SF,89.261796,89.261796,0
mitchell-edwards,"Mitchell Edwards",21,RUCK,112.087319,124.030571,0
max-kondogiannis,"Max Kondogiannis",19,SD,86.529244,96.149871,0
lachlan-cowan,"Lachlan Cowan",22,SD,90.752882,97.718454,0
luke-lloyd,"Luke Lloyd",21,KPD,78.202620,93.875826,0
logan-evans,"Logan Evans",21,SD,100.195643,107.983380,0
christian-moraes,"Christian Moraes",20,MID,93.987665,99.818446,0
talor-byrne,"Talor Byrne",19,SF,88.068756,94.349988,0
josh-dolan,"Josh Dolan",20,SF,75.170063,82.412439,0
charlie-banfield,"Charlie Banfield",19,MID,92.721117,106.855213,0
keidean-coleman,"Keidean Coleman",26,SD,92.462175,97.315298,0
jack-graham,"Jack Graham",28,MID,89.293344,100.746637,0
oscar-ryan,"Oscar Ryan",21,SD,83.132138,96.865750,0
tai-hayes,"Tai Hayes",22,SF,62.120467,76.980661,0
darcy-parish,"Darcy Parish",29,MID,91.275644,101.183675,0
jack-silvagni,"Jack Silvagni",29,KPD,77.581531,80.207517,0
elijah-hewett,"Elijah Hewett",22,MID,90.189279,97.324287,0
harry-demattia,"Harry DeMattia",21,MID,92.877943,107.371960,0
jed-adams,"Jed Adams",22,KPD,72.159468,80.239959,0
jack-ough,"Jack Ough",20,MID,88.143145,104.224955,0
matthew-jefferson,"Matthew Jefferson",22,KPF,68.760084,80.045450,0
kane-mcauliffe,"Kane McAuliffe",21,MID,100.216915,111.300553,0
billy-cootee,"Billy Cootee",24,MID,65.243038,77.897179,0
jacob-konstanty,"Jacob Konstanty",22,SF,65.833062,72.824264,0
max-gruzewski,"Max Gruzewski",22,KPF,74.642126,85.939948,0
josh-sinn,"Josh Sinn",23,SD,76.743008,86.307100,0
kade-chandler,"Kade Chandler",26,SF,82.127124,87.418115,0
jack-viney,"Jack Viney",32,MID,87.818656,100.403714,0
brayden-maynard,"Brayden Maynard",30,SD,85.204994,93.450910,0
edward-allan,"Edward Allan",22,MID,96.023203,102.878406,0
jack-buckley,"Jack Buckley",29,KPD,75.872515,79.317307,0
lance-collard,"Lance Collard",21,SF,69.437363,82.119201,0
daniel-rioli,"Daniel Rioli",29,SD,92.730947,96.264733,0
willem-drew,"Willem Drew",28,MID,93.070818,100.162937,0
ben-camporeale,"Ben Camporeale",20,MID,90.578335,105.437062,0
will-brodie,"Will Brodie",28,MID,83.086007,95.176094,0
ashton-moir,"Ashton Moir",21,SF,70.278058,86.714135,0
will-setterfield,"Will Setterfield",28,MID,91.271258,103.788618,0
koby-coulson,"Koby Coulson",19,MID,89.446226,106.379855,0
blake-hardwick,"Blake Hardwick",29,SD,83.712387,93.595928,0
matt-johnson-1,"Matt Johnson",23,MID,100.001049,104.040639,0
lachlan-smith,"Lachlan Smith",21,RUCK,94.535731,110.530014,0
francis-evans,"Francis Evans",25,SF,79.320926,83.239203,0
neil-erasmus,"Neil Erasmus",23,MID,99.733307,101.282789,0
cameron-rayner,"Cameron Rayner",27,SF,77.432254,83.456039,0
kyle-langford,"Kyle Langford",30,KPF,71.963126,81.128292,0
joel-cochran,"Joel Cochran",20,KPD,81.385023,92.540180,0
max-knobel,"Max Knobel",22,RUCK,92.219809,107.134238,0
tew-jiath,"Tew Jiath",21,SD,79.974698,97.365558,0
hugo-mikunda,"Hugo Mikunda",19,SF,80.864774,90.251989,0
archie-ludowyke,"Archie Ludowyke",19,KPF,76.810799,92.454314,0
jai-serong,"Jai Serong",23,SD,94.058196,98.838883,0
