Player,2026 R22
Jack Crisp,70
Jaspa Fletcher,70
Ben King,69
Alex Van Wyk,69
Charlie Spargo,69
Harry Rowston,69
Cooper Duff-Tytler,68
Kye Annand,68
Jordon Sweet,68
Harrison Himmelberg,68
Joshua Weddle,68
Sam Durham,67
Josh Lindsay,67
Taj Hotton,67
Hugo Garcia,67
Mattaes Phillipou,67
Jack Ginnivan,67
Tom Cole,67
Will Setterfield,67
Jake Stringer,67
Ryan Byrnes,67
Hugo Hall-Kahan,66
Will Lorenz,65
Zac Banch,65
Beau McCreery,65
Billy Frampton,65
Talor Byrne,65
Hugh Boxshall,65
James Sicily,65
Timothy English,65
Noah Answerth,64
Connor MacDonald,64
Kieren Briggs,64
Charlie Cameron,64
Charlie Ballard,63
Judson Clarke,63
Gryan Miers,63
Karl Amon,63
Peter Wright,63
Isaiah Dudley,63
Mitch McGovern,63
Josh Battle,62
Isaac Quaynor,62
Michael Sellwood,62
Corey Durdin,62
Mitchell Lewis,62
Kyle Langford,62
Conor McKenna,62
Daniel Turner,62
Aaron Cadman,62
Angus Anderson,62
Liam Duggan,62
Harry Dean,61
Joel Fitzgerald,61
Billy Dowling,61
Lachie Sullivan,61
Darcy Fort,60
Harvey Harrison,60
Eric Hipwood,60
Oliver Wiltshire,60
Cooper Hynes,60
Charlie Comben,60
Brennan Cox,59
Ben Ainsworth,59
Oliver Wines,59
Jack Higgins,59
Callum Ah Chee,58
Jordan Croft,58
Ryan Lester,58
Jaxon Artemis,58
Cody Weightman,58
Billy Cootee,58
Aaron Naughton,58
Zach Guthrie,58
Jack Williams,57
Bradley Close,57
Brodie Kemp,57
Murphy Reid,57
Tom McCartin,56
Jagga Smith,56
Max Gruzewski,56
Rory Lobb,56
Dion Prestia,56
Jacob Wehr,56
Liam Baker,56
Nate Caddy,55
Wil Dawson,55
Connor O'Sullivan,55
Tom Anastasopoulos,55
Nicholas Coffield,55
Thomas Liberatore,55
Jarman Impey,55
Roan Steele,54
Neil Erasmus,54
Zac Taylor,54
Jack Whitlock,53
Sam Draper,53
Jackson Mead,53
Nathan O'Driscoll,52
Jack Gunston,52
Lachie Jaques,52
Jy Simpkin,52
Jed Walter,52
Riley Thilthorpe,51
Hunter Clark,51
Samuel Grlj,51
Joseph Fonti,51
Max Michalanney,51
Will Day,50
Jobe Shanahan,50
Tom Blamires,50
Mason Redman,49
Liam O'Connell,48
Tom McDonald,48
Samuel Swadling,48
Caleb Windsor,48
Milan Murdock,47
Oisin Mullin,47
Nick Madden,46
Christian Petracca,46
Cooper Sharman,46
Kade Chandler,46
Max Kondogiannis,45
Dante Visentini,45
Josh Rachele,45
Ned Reeves,45
Sam Butler,45
Lachlan Gulbin,45
Nick Larkey,45
Riley Hardeman,45
Harrison Ramm,44
Sam Switkowski,44
Harry Kyle,44
James Peatling,44
Lewis Young,44
Isaac Kako,44
Bo Allan,43
Buku Khamis,43
Zak Johnson,43
Tom Lynch,43
Daniel Curtin,43
Nick Watson,42
Mark O'Connor,42
Zach Reid,42
Willem Duursma,42
Sam Banks,42
Ben Keays,42
Ed Langdon,41
Will Hayes,41
Hayden McLean,41
Sam Taylor,41
Steele Sidebottom,40
Anthony Caminiti,40
Steely Green,40
Aliir Aliir,40
Callum Wilkie,39
Mason Cox,39
Jake Lever,37
Hussien El Achkar,37
Josh Dolan,37
Judd McVee,37
Christian Moraes,36
Todd Marshall,36
Campbell Lake,36
Daniel Annable,36
Oscar McDonald,36
Jack Silvagni,36
Ben Long,35
Liam Ryan,35
Riley Hamilton,34
Finn O'Sullivan,34
Liam Puncher,34
Jake Rogers,34
Samson Ryan,34
Arthur Jones,34
Lewis Melican,33
Oscar Allen,33
Noah Howes,32
Christian Salem,32
Brandon Starcevich,32
Jacob Van Rooyen,32
Ethan Read,31
Cooper Trembath,31
Archer Day-Wicks,31
Sam Wicks,30
Mitch Zadow,29
Zeke Uwland,29
Michael Frederick,28
Tyler Sonsie,27
Sam Lalor,26
Josh Lai,26
Tom Barrass,25
Balyn O'Brien,24
Darcy Gardiner,24
Archie Ludowyke,23
Tom De Koning,23
Charlie West,23
Jay Polkinghorne,20
Mabior Chol,17
Rhys Unwin,17
Matthew Jefferson,15
Jy Farrar,9
