key,name,pk,games,shipped,b0,landed,stage1_storelag_engine,stage2_curve_surface,total,stage2_channel
daniel-turner,"Daniel Turner",20,48,1767,1582,1586,-185,4,-181,ruled_curve
jack-buckley,"Jack Buckley",,94,740,558,559,-182,1,-181,pool_levels
lachlan-schultz,"Lachlan Schultz",57,138,850,667,669,-183,2,-181,ruled_curve
tyler-welsh,"Tyler Welsh",59,0,266,94,85,-172,-9,-181,year_zero_lens
gryan-miers,"Gryan Miers",57,163,1964,1780,1784,-184,4,-180,ruled_curve
cooper-duff-tytler,"Cooper Duff-Tytler",4,10,1638,1455,1459,-183,4,-179,year_zero_lens
daniel-curtin,"Daniel Curtin",8,37,2609,2424,2430,-185,6,-179,ruled_curve
lloyd-meek,"Lloyd Meek",68,89,1476,1293,1297,-183,4,-179,pool_levels
tylah-williams,"Tylah Williams",39,0,447,277,268,-170,-9,-179,year_zero_lens
bailey-dale,"Bailey Dale",45,191,2439,2255,2261,-184,6,-178,ruled_curve
rowan-marshall,"Rowan Marshall",8,168,2291,2108,2113,-183,5,-178,ruled_curve
sam-cumming,"Sam Cumming",7,7,3047,2861,2869,-186,8,-178,year_zero_lens
shai-bolton,"Shai Bolton",29,170,2444,2261,2266,-183,5,-178,ruled_curve
andrew-mcgrath,"Andrew McGrath",1,191,1160,981,983,-179,2,-177,ruled_curve
adam-sweid,"Adam Sweid",25,0,598,429,422,-169,-7,-176,year_zero_lens
archer-reid,"Archer Reid",30,20,872,694,696,-178,2,-176,year_zero_lens
bailey-williams-wb,"Bailey Williams",48,184,791,613,615,-178,2,-176,ruled_curve
cameron-rayner,"Cameron Rayner",1,180,882,704,706,-178,2,-176,ruled_curve
jack-graham,"Jack Graham",53,154,727,550,551,-177,1,-176,ruled_curve
kyle-langford,"Kyle Langford",18,175,727,550,551,-177,1,-176,ruled_curve
jye-amiss,"Jye Amiss",8,83,1753,1574,1578,-179,4,-175,ruled_curve
oliver-florent,"Oliver Florent",11,196,767,590,592,-177,2,-175,ruled_curve
daniel-rioli,"Daniel Rioli",15,215,808,631,634,-177,3,-174,ruled_curve
will-setterfield,"Will Setterfield",5,87,806,631,632,-175,1,-174,ruled_curve
matthew-kennedy-1,"Matthew Kennedy",13,154,771,596,598,-175,2,-173,ruled_curve
tim-taranto,"Tim Taranto",2,184,2465,2286,2292,-179,6,-173,ruled_curve
mitchell-marsh,"Mitchell Marsh",22,0,705,540,533,-165,-7,-172,year_zero_lens
shaun-mannagh,"Shaun Mannagh",36,48,716,543,544,-173,1,-172,ruled_curve
brodie-kemp,"Brodie Kemp",17,61,753,582,582,-171,0,-171,
