name,grp,pick,age,n0,boundary,v0,v1_at_nplus1,delta_SCAR,lvl0,lvl1,par,lvlcurr,proximity,live,on_board
Bodie Ryan,GEN_DEF,46,21.0,0,0->1,340,322,-18,58.168,56.895,62.69,39.5,not-live,False,True
Kye Annand,KEY_DEF,60,23.0,0,0->1,125,142,17,54.633,56.726,53.63,66.0,not-live,False,True
Bailey Laurie,GEN_FWD,23,24.0,0,0->1,73,90,17,48.234,57.27,67.52,45.94,inprog9,True,True
Jayden Nguyen,GEN_DEF,92,20.0,0,0->1,425,441,16,51.843,54.753,59.1,41.72,not-live,False,True
Max Ramsden,KEY_FWD,60,23.0,0,0->1,180,196,16,56.164,58.075,61.46,47.93,not-live,False,True
Wil Parker,GEN_DEF,92,24.0,0,0->1,35,51,16,51.476,57.217,62.69,40.79,not-live,False,True
Hugo Hall-Kahan,GEN_DEF,60,23.0,0,0->1,89,104,15,59.265,60.575,57.43,70.0,not-live,False,True
Charlie Comben,KEY_DEF,31,25.0,3,3->4,728,713,-15,64.819,64.821,64.38,64.96,not-live,False,True
James Leake,GEN_DEF,17,21.0,0,0->1,348,362,14,59.562,61.334,64.76,51.07,not-live,False,True
Bailey Macdonald,GEN_DEF,51,22.0,0,0->1,123,137,14,52.931,57.407,65.85,41.6,not-live,False,True
Liam Reidy,RUC,63,26.0,0,0->1,290,276,-14,60.17,60.877,63.54,52.88,not-live,False,True
Hayden Young,MID,7,25.0,3,3->4,2612,2626,14,88.655,89.558,85.94,89.56,completed9,True,True
Harry Edwards,KEY_DEF,91,26.0,3,3->4,97,83,-14,52.023,50.793,64.38,50.58,completed9,True,True
Darragh Joyce,KEY_DEF,92,29.0,0,0->1,9,23,14,55.32,59.364,64.38,52.16,not-live,False,True
Jordan Croft,KEY_FWD,15,21.0,0,0->1,1079,1092,13,52.07,54.415,58.95,44.94,inprog9,True,True
Angus Hastie,GEN_DEF,33,21.0,0,0->1,304,317,13,46.159,54.408,62.69,39.49,completed9,True,True
Ned Reeves,RUC,92,28.0,3,3->4,373,386,13,70.224,67.957,72.82,69.9,not-live,False,True
Jackson Mead,GEN_FWD,25,25.0,3,3->4,60,48,-12,55.106,53.303,67.02,54.51,not-live,False,True
Will Lorenz,MID,57,21.0,0,0->1,409,420,11,59.768,61.319,64.51,54.23,not-live,False,True
Saad El-Hawli,GEN_DEF,60,25.0,0,0->1,19,30,11,53.697,58.512,62.69,50.99,completed9,True,True
Hudson O'Keeffe,KEY_FWD,92,22.0,0,0->1,387,398,11,54.653,55.426,61.46,37.34,not-live,False,True
Mitch Zadow,GEN_FWD,92,22.0,0,0->1,151,141,-10,53.088,48.468,55.29,28.0,not-live,False,True
Harrison Jones,KEY_FWD,30,25.0,3,3->4,113,103,-10,48.972,48.615,64.98,47.8,not-live,False,True
Lachlan Gulbin,GEN_FWD,92,20.0,0,0->1,320,328,8,51.329,52.76,55.29,45.17,proj_to_clear,True,True
Zane Duursma,GEN_FWD,4,21.0,3,3->4,746,738,-8,43.557,36.822,67.04,38.14,not-live,False,True
Liam O'Connell,GEN_DEF,92,23.0,0,0->1,96,104,8,51.877,56.548,62.69,44.09,not-live,False,True
Oisin Mullin,GEN_DEF,92,26.0,3,3->4,11,3,-8,54.254,48.741,67.68,53.36,not-live,False,True
Flynn Young,GEN_FWD,60,24.0,0,0->1,9,16,7,48.991,51.841,55.29,41.49,not-live,False,True
Jamarra Ugle-Hagan,KEY_FWD,1,24.0,3,3->4,187,194,7,48.751,46.339,66.18,48.75,not-live,False,True
George Stevens,MID,58,21.0,0,0->1,359,353,-6,63.416,61.122,64.51,50.97,not-live,False,True
Will McLachlan,GEN_FWD,60,21.0,0,0->1,150,144,-6,50.247,51.107,61.39,24.82,not-live,False,True
Jeremy Sharp,MID,27,25.0,3,3->4,109,103,-6,56.86,55.983,79.24,55.29,completed9,True,True
Buku Khamis,KEY_DEF,92,26.0,3,3->4,75,69,-6,55.497,52.912,64.38,54.4,not-live,False,True
Joel Fitzgerald,MID,60,23.0,0,0->1,66,71,5,57.104,60.031,55.71,73.0,not-live,False,True
Mitch Podhajski,KEY_FWD,60,27.0,0,0->1,5,10,5,50.649,50.898,50.53,52.0,not-live,False,True
Taylor Goad,RUC,20,21.0,0,0->1,873,868,-5,54.446,52.338,55.45,43.0,not-live,False,True
Andy Moniz-Wakefield,GEN_DEF,92,23.0,0,0->1,61,56,-5,59.04,57.218,67.68,36.0,not-live,False,True
Charlie Banfield,MID,41,19.0,0,0->1,792,788,-4,55.433,55.356,55.71,54.3,not-live,False,True
Jack Ison,GEN_FWD,47,19.0,0,0->1,520,516,-4,54.883,54.768,55.29,53.2,not-live,False,True
Campbell Lake,GEN_FWD,60,22.0,0,0->1,124,120,-4,54.38,52.468,55.29,44.0,not-live,False,True
Lukas Cooke,KEY_DEF,60,23.0,0,0->1,111,115,4,51.404,46.726,53.63,26.0,not-live,False,True
Marcus Herbert,GEN_DEF,60,24.0,0,0->1,24,28,4,58.852,61.825,57.43,75.0,not-live,False,True
Sullivan Robey,MID,9,19.0,0,0->1,2182,2185,3,63.195,63.195,64.66,58.8,inprog9,True,True
Zane Zakostelsky,KEY_DEF,51,21.0,0,0->1,633,630,-3,57.154,56.598,59.13,49.0,not-live,False,True
Conor Stone,GEN_DEF,15,24.0,0,0->1,84,87,3,50.458,59.084,70.47,47.53,not-live,False,True
Liam McMahon,KEY_FWD,33,24.0,0,0->1,225,228,3,57.214,57.544,64.98,42.1,not-live,False,True
Lachy Dovaston,GEN_FWD,16,19.0,0,0->1,918,916,-2,52.872,52.872,57.66,38.5,proj_to_clear,True,True
Max Kondogiannis,GEN_DEF,36,19.0,0,0->1,552,554,2,53.81,53.475,57.43,41.6,not-live,False,True
Will Lewis,KEY_FWD,92,27.0,0,0->1,14,12,-2,49.598,49.598,50.53,46.8,inprog9,True,True
Ben Jepson,MID,92,25.0,0,0->1,17,19,2,57.367,54.95,60.07,39.6,not-live,False,True
Mani Liddy,MID,60,24.0,0,0->1,33,31,-2,57.001,57.826,60.07,51.1,completed9,True,True
Lachlan Smith,RUC,47,21.0,0,0->1,722,720,-2,54.06,53.931,54.24,53.0,not-live,False,True
Tom Hanily,GEN_FWD,60,21.0,0,0->1,149,147,-2,50.51,53.906,61.39,37.77,not-live,False,True
Nick Madden,RUC,92,22.0,0,0->1,1490,1492,2,68.777,68.748,63.54,84.37,not-live,False,True
Thomas Burton,GEN_FWD,92,19.0,0,0->1,345,346,1,51.368,51.318,55.29,39.4,not-live,False,True
Kaleb Smith,GEN_DEF,49,22.0,0,0->1,123,124,1,51.27,55.821,65.85,37.77,not-live,False,True
Callum M. Brown,GEN_FWD,92,26.0,3,3->4,16,17,1,54.456,54.019,67.02,53.42,proj_to_clear,True,True
Sam Cumming,MID,7,19.0,0,0->1,2146,2146,0,63.907,63.907,64.78,61.3,proj_to_clear,True,True
Dyson Sharp,MID,13,19.0,0,0->1,1671,1671,0,57.314,57.314,60.65,47.3,proj_to_clear,True,True
Talor Byrne,GEN_FWD,45,19.0,0,0->1,544,544,0,51.418,51.418,55.29,39.8,proj_to_clear,True,True
Angus Anderson,MID,57,23.0,0,0->1,122,122,0,55.906,55.906,55.71,56.5,proj_to_clear,True,True
Jack Watkins,MID,61,26.0,0,0->1,1,1,0,51.681,51.681,55.71,39.6,inprog9,True,True
Paddy Cross,GEN_FWD,92,23.0,0,0->1,62,62,0,54.443,54.443,55.29,51.9,proj_to_clear,True,True
Chris Scerri,GEN_FWD,92,20.0,0,0->1,352,352,0,53.368,53.368,55.29,47.6,proj_to_clear,True,True
Lachie Jaques,GEN_DEF,29,20.0,0,0->1,801,801,0,59.273,59.273,59.1,59.8,proj_to_clear,True,True
Patrick Retschko,MID,80,20.0,0,0->1,830,830,0,61.576,61.576,60.07,66.1,proj_to_clear,True,True
Josh Lai,GEN_DEF,92,21.0,0,0->1,352,352,0,58.098,58.098,59.1,55.1,proj_to_clear,True,True
Oliver Wiltshire,GEN_FWD,61,24.0,0,0->1,104,104,0,53.252,55.213,61.39,41.04,proj_to_clear,True,True
Oliver Hayes-Brown,RUC,92,26.0,0,0->1,338,338,0,52.863,52.863,54.24,49.6,proj_to_clear,True,True
Toby Murray,KEY_FWD,60,23.0,0,0->1,203,203,0,55.327,55.327,58.36,47.8,proj_to_clear,True,True
Billy Dowling,GEN_FWD,43,22.0,0,0->1,127,127,0,63.824,63.441,63.27,63.96,completed9,True,True
Shadeau Brain,GEN_DEF,92,22.0,0,0->1,82,82,0,59.098,60.897,65.85,51.62,completed9,True,True
Will Edwards,KEY_DEF,92,23.0,0,0->1,260,260,0,59.17,59.17,62.57,51.7,proj_to_clear,True,True
Ted Clohesy,GEN_FWD,92,22.0,0,0->1,6,6,0,48.692,53.19,63.27,35.05,completed9,True,False
Oscar Steene,RUC,92,23.0,0,0->1,261,261,0,59.704,59.704,63.54,51.6,proj_to_clear,True,True
Hugh Jackson,MID,55,23.0,0,0->1,12,12,0,60.397,63.124,74.59,40.9,completed9,True,False
Jai Culley,MID,60,23.0,0,0->1,85,85,0,63.913,69.079,74.59,63.13,proj_to_clear,True,True
Finlay Macrae,MID,20,24.0,0,0->1,108,108,0,58.423,62.797,80.16,43.61,completed9,True,True
Reef McInnes,KEY_DEF,24,24.0,0,0->1,78,78,0,43.416,49.758,64.38,34.92,completed9,True,True
Max Heath,RUC,60,24.0,0,0->1,155,155,0,61.902,65.33,72.82,51.85,proj_to_clear,True,True
Noah Cumberland,GEN_FWD,43,25.0,0,0->1,10,10,0,48.457,52.208,67.02,35.72,completed9,True,False
Callum Jamieson,RUC,49,26.0,0,0->1,13,13,0,63.553,65.834,72.82,55.43,completed9,True,False
Trey Ruscoe,GEN_DEF,55,25.0,0,0->1,11,11,0,62.587,63.232,68.41,55.8,completed9,True,False
Riley Collier-Dawkins,MID,20,26.0,0,0->1,24,24,0,74.085,70.391,80.16,50.94,completed9,True,False
Curtis Taylor,GEN_FWD,46,26.0,3,3->4,10,10,0,55.905,55.398,67.02,55.24,completed9,True,False
Atu Bosenavulagi,MID,77,26.0,0,0->1,11,11,0,62.382,61.548,76.88,38.85,completed9,True,False
James Madden,GEN_DEF,92,26.0,0,0->1,7,7,0,61.29,57.717,68.41,37.82,completed9,True,False
Nicholas Coffield,GEN_DEF,8,27.0,3,3->4,52,52,0,60.863,58.701,70.47,59.9,proj_to_clear,True,True
Brayden Ainsworth,MID,32,28.0,0,0->1,13,13,0,66.254,59.159,76.97,26.15,completed9,True,False
Flynn Appleby,GEN_DEF,80,27.0,0,0->1,11,11,0,65.746,62.311,68.41,49.57,completed9,True,False
Myles Poholke,MID,44,28.0,0,0->1,14,14,0,71.714,68.319,76.88,52.09,completed9,True,False
Mitchell Hannan,GEN_FWD,46,32.0,3,3->4,5,5,0,47.072,30.646,67.02,45.07,completed9,True,False
Lewis Young,KEY_DEF,49,28.0,3,3->4,175,175,0,60.397,60.189,64.38,60.05,completed9,True,True
Sam Simpson,MID,99,28.0,0,0->1,10,10,0,67.506,65.937,76.88,49.45,completed9,True,False
Jake Stein,KEY_DEF,92,32.0,0,0->1,4,4,0,55.754,54.564,64.38,37.78,completed9,True,False
Ryan Gardner,KEY_DEF,58,29.0,3,3->4,33,33,0,44.15,30.803,64.38,40.53,completed9,True,True
Rupert Wills,MID,62,33.0,0,0->1,5,5,0,75.382,74.687,76.88,71.01,completed9,True,False
Bradley Lynch,GEN_DEF,75,29.0,0,0->1,12,12,0,66.721,63.187,68.41,50.9,completed9,True,False
Matthew Hammelmann,KEY_FWD,92,30.0,0,0->1,7,7,0,61.426,55.28,64.39,34.85,completed9,True,False
Ben Lennon,GEN_FWD,12,31.0,0,0->1,29,29,0,68.167,64.242,71.38,50.62,completed9,True,False
Sam Lloyd,GEN_FWD,58,36.0,3,3->4,4,4,0,64.589,65.603,67.02,64.26,completed9,True,False
Brodie Murdoch,GEN_FWD,43,32.0,0,0->1,10,10,0,63.061,57.51,67.02,39.1,completed9,True,False
Harrison Marsh,GEN_DEF,47,32.0,0,0->1,11,11,0,65.957,64.339,68.41,56.88,completed9,True,False
Matt Jones,GEN_FWD,55,39.0,3,3->4,3,3,0,67.643,66.989,67.02,67.85,completed9,True,False
Clay Cameron,KEY_DEF,60,32.0,0,0->1,13,13,0,62.196,59.824,64.38,51.16,completed9,True,False
Daniel Robinson,MID,99,32.0,0,0->1,10,10,0,71.499,67.004,76.88,48.91,completed9,True,False
Josh Bootsma,GEN_DEF,28,33.0,0,0->1,13,13,0,66.178,59.944,68.41,40.53,completed9,True,False
Shane Kersten,KEY_FWD,46,33.0,3,3->4,10,10,0,58.163,46.865,64.39,56.92,completed9,True,False
