key,player,pos,base,fix1,absence,both
corey-warner,Corey Warner,GEN_FWD,147,151,147,151
jack-carroll,Jack Carroll,MID,177,181,177,181
ollie-lord,Ollie Lord,KEY_FWD,166,162,166,162
sam-flanders,Sam Flanders,MID,1710,1706,1710,1706
jack-ross,Jack Ross,MID,1608,1604,1608,1604
toby-bedford,Toby Bedford,GEN_FWD,235,231,235,231
lachlan-fogarty,Lachlan Fogarty,GEN_FWD,78,82,78,82
griffin-logue,Griffin Logue,KEY_DEF,135,139,135,139
josh-battle,Josh Battle,KEY_DEF,2009,2005,2009,2005
oscar-mcdonald,Oscar McDonald,KEY_DEF,48,48,44,44
nic-newman,Nic Newman,GEN_DEF,876,880,876,880
bo-allan,Bo Allan,GEN_DEF,1210,1213,1210,1213
ewan-mackinlay,Ewan Mackinlay,GEN_FWD,41,38,41,38
jed-walter,Jed Walter,KEY_FWD,1553,1556,1553,1556
caiden-cleary,Caiden Cleary,GEN_FWD,740,743,740,743
jack-hutchinson,Jack Hutchinson,MID,52,55,52,55
tyrell-dewar,Tyrell Dewar,GEN_DEF,305,308,305,308
james-trezise,James Trezise,GEN_DEF,176,173,176,173
josh-sinn,Josh Sinn,GEN_DEF,344,347,344,347
campbell-chesser,Campbell Chesser,MID,552,549,552,549
arthur-jones,Arthur Jones,GEN_FWD,236,239,236,239
jack-williams,Jack Williams,KEY_FWD,558,561,558,561
jackson-archer,Jackson Archer,GEN_DEF,87,90,87,90
jackson-mead,Jackson Mead,GEN_FWD,60,63,60,63
buku-khamis,Buku Khamis,KEY_DEF,75,78,75,78
jack-higgins,Jack Higgins,GEN_FWD,199,196,199,196
callum-coleman-jones,Callum Coleman-Jones,KEY_FWD,51,59,51,54
brandon-zerk-thatcher,Brandon Zerk-Thatcher,KEY_DEF,244,241,244,241
andrew-mcgrath,Andrew McGrath,GEN_DEF,1085,1088,1085,1088
harry-perryman,Harry Perryman,GEN_DEF,175,172,175,172
jack-silvagni,Jack Silvagni,KEY_DEF,609,609,606,606
jayden-short,Jayden Short,GEN_DEF,1507,1504,1507,1504
karl-amon,Karl Amon,GEN_DEF,776,779,776,779
lachie-whitfield,Lachie Whitfield,GEN_DEF,2152,2155,2152,2155
hamish-davis,Hamish Davis,MID,937,939,937,939
archie-may,Archie May,KEY_FWD,382,384,382,384
cooper-trembath,Cooper Trembath,KEY_FWD,1506,1508,1506,1508
isaac-keeler,Isaac Keeler,KEY_FWD,438,440,438,440
sam-banks,Sam Banks,GEN_DEF,928,926,928,926
bodhi-uwland,Bodhi Uwland,GEN_DEF,3072,3074,3072,3074
riley-thilthorpe,Riley Thilthorpe,KEY_FWD,3657,3659,3657,3659
tom-powell,Tom Powell,GEN_FWD,1898,1900,1898,1900
alex-davies,Alex Davies,MID,599,601,599,601
daniel-turner,Daniel Turner,KEY_DEF,1615,1617,1615,1617
deven-robertson,Deven Robertson,MID,294,292,294,292
josh-worrell,Josh Worrell,GEN_DEF,3010,3008,3010,3008
riley-garcia,Riley Garcia,GEN_FWD,161,163,161,163
nick-blakey,Nick Blakey,GEN_DEF,3330,3328,3330,3328
zac-bailey,Zac Bailey,GEN_FWD,2317,2319,2317,2319
joel-amartey,Joel Amartey,KEY_FWD,143,145,143,145
thomas-stewart,Thomas Stewart,GEN_DEF,1013,1015,1013,1015
darragh-joyce,Darragh Joyce,KEY_DEF,9,10,7,7
darcy-parish,Darcy Parish,MID,1403,1405,1403,1405
mason-redman,Mason Redman,GEN_DEF,1412,1414,1412,1414
jordan-de-goey,Jordan De Goey,GEN_FWD,1574,1576,1574,1576
patrick-cripps,Patrick Cripps,MID,1365,1367,1365,1367
luke-parker,Luke Parker,GEN_DEF,1393,1391,1393,1391
taylor-walker,Taylor Walker,KEY_FWD,227,229,227,229
jonty-faull,Jonty Faull,KEY_FWD,1193,1194,1193,1194
