key,player,pos,base,fix1,absence,both
logan-smith,Logan Smith,RUC,429,429,429,429
aiden-riddle,Aiden Riddle,RUC,318,318,318,318
harry-charleson,Harry Charleson,GEN_DEF,273,273,273,273
xavier-ivisic,Xavier Ivisic,MID,10,10,10,10
tom-cochrane,Tom Cochrane,GEN_FWD,262,262,262,262
blake-leidler,Blake Leidler,GEN_DEF,11,11,11,11
asher-eastham,Asher Eastham,GEN_FWD,213,213,213,213
patrick-retschko,Patrick Retschko,MID,830,830,830,830
joe-pike,Joe Pike,RUC,318,318,318,318
eamonn-armstrong,Eamonn Armstrong,GEN_DEF,168,168,168,168
cillian-burke,Cillian Burke,GEN_DEF,119,119,119,119
matt-duffy,Matt Duffy,GEN_DEF,190,190,190,190
zak-evans,Zak Evans,MID,8,8,8,8
matt-hill,Matt Hill,GEN_FWD,139,139,139,139
jacob-moss,Jacob Moss,KEY_FWD,285,285,285,285
jaime-uhr-henry,Jaime Uhr-Henry,RUC,318,318,318,318
josaia-delana,Josaia Delana,GEN_FWD,212,212,212,212
lachlan-gulbin,Lachlan Gulbin,GEN_FWD,320,320,320,320
jayden-nguyen,Jayden Nguyen,GEN_DEF,425,425,425,425
ricky-mentha,Ricky Mentha,GEN_FWD,143,143,143,143
benny-barrett,Benny Barrett,GEN_FWD,143,143,143,143
malakai-champion,Malakai Champion,GEN_FWD,338,338,338,338
harry-boyd,Harry Boyd,RUC,6,6,6,6
tom-edwards,Tom Edwards,KEY_FWD,58,58,58,58
jack-henderson,Jack Henderson,GEN_FWD,5,5,5,5
ben-jepson,Ben Jepson,MID,17,17,17,17
josh-lai,Josh Lai,GEN_DEF,352,352,352,352
will-white,Will White,GEN_FWD,6,6,6,6
tom-mccarthy,Tom McCarthy,GEN_DEF,1535,1535,1535,1535
zac-banch,Zac Banch,GEN_FWD,54,54,54,54
harrison-ramm,Harrison Ramm,KEY_DEF,310,310,310,310
flynn-young,Flynn Young,GEN_FWD,9,9,9,9
michael-sellwood,Michael Sellwood,GEN_DEF,73,73,73,73
jacob-newton,Jacob Newton,GEN_FWD,150,150,150,150
zac-walker,Zac Walker,GEN_DEF,184,184,184,184
lachlan-blakiston,Lachlan Blakiston,KEY_DEF,22,22,22,22
caleb-lewis,Caleb Lewis,KEY_FWD,136,136,136,136
noah-howes,Noah Howes,KEY_FWD,225,225,225,225
mani-liddy,Mani Liddy,MID,33,33,33,33
oskar-smartt,Oskar Smartt,GEN_FWD,9,9,9,9
colby-mckercher,Colby McKercher,MID,3672,3672,3672,3672
zane-duursma,Zane Duursma,GEN_FWD,746,746,746,746
ethan-read,Ethan Read,KEY_FWD,1466,1466,1466,1466
phoenix-gothard,Phoenix Gothard,GEN_FWD,415,415,415,415
koltyn-tholstrup,Koltyn Tholstrup,GEN_DEF,1378,1378,1378,1378
jake-rogers,Jake Rogers,GEN_FWD,601,601,601,601
jordan-croft,Jordan Croft,KEY_FWD,1079,1079,1079,1079
will-green,Will Green,RUC,655,655,655,655
james-leake,James Leake,GEN_DEF,348,348,348,348
william-mccabe,William McCabe,KEY_FWD,569,569,569,569
taylor-goad,Taylor Goad,RUC,873,873,873,873
charlie-edwards,Charlie Edwards,MID,716,716,716,716
wil-dawson,Wil Dawson,KEY_DEF,502,502,502,502
harry-demattia,Harry DeMattia,MID,478,478,478,478
will-graham,Will Graham,GEN_FWD,1151,1151,1151,1151
oscar-ryan,Oscar Ryan,GEN_DEF,289,289,289,289
ashton-moir,Ashton Moir,GEN_FWD,260,260,260,260
mitchell-edwards,Mitchell Edwards,RUC,1550,1550,1550,1550
angus-hastie,Angus Hastie,GEN_DEF,304,304,304,304
billy-wilson,Billy Wilson,GEN_DEF,279,279,279,279
cooper-simpson,Cooper Simpson,GEN_DEF,252,252,252,252
shaun-mannagh,Shaun Mannagh,GEN_FWD,519,519,519,519
tew-jiath,Tew Jiath,GEN_DEF,244,244,244,244
luamon-lual,Luamon Lual,GEN_DEF,12,12,12,12
kane-mcauliffe,Kane McAuliffe,MID,1243,1243,1243,1243
ollie-murphy,Ollie Murphy,KEY_DEF,290,290,290,290
luke-lloyd,Luke Lloyd,KEY_FWD,218,218,218,218
liam-fawcett,Liam Fawcett,KEY_FWD,554,554,554,554
joseph-fonti,Joseph Fonti,GEN_DEF,719,719,719,719
bodie-ryan,Bodie Ryan,GEN_DEF,340,340,340,340
lachlan-smith,Lachlan Smith,RUC,722,722,722,722
thomas-anastasopoulos,Tom Anastasopoulos,GEN_FWD,309,309,309,309
harvey-johnston,Harvey Johnston,GEN_DEF,287,287,287,287
hugo-garcia,Hugo Garcia,MID,2107,2107,2107,2107
zane-zakostelsky,Zane Zakostelsky,KEY_DEF,633,633,633,633
lachlan-charleson,Lachlan Charleson,GEN_FWD,10,10,10,10
patrick-snell,Patrick Snell,KEY_DEF,258,258,258,258
aiden-o-driscoll,Aiden O'Driscoll,GEN_DEF,11,11,11,11
will-lorenz,Will Lorenz,MID,409,409,409,409
george-stevens,George Stevens,MID,359,359,359,359
jack-delean,Jack Delean,GEN_FWD,9,9,9,9
oliver-wiltshire,Oliver Wiltshire,GEN_FWD,104,104,104,104
arie-schoenmaker,Arie Schoenmaker,GEN_DEF,11,11,11,11
reece-torrent,Reece Torrent,MID,218,218,218,218
loch-rawlinson,Loch Rawlinson,GEN_FWD,10,10,10,10
finnbar-maley,Finnbar Maley,KEY_FWD,259,259,259,259
sam-clohesy,Sam Clohesy,MID,233,233,233,233
odin-jones,Odin Jones,KEY_FWD,10,10,10,10
vigo-visentini,Vigo Visentini,RUC,271,271,271,271
xavier-walsh,Xavier Walsh,KEY_DEF,235,235,235,235
will-rowlands,Will Rowlands,GEN_FWD,9,9,9,9
kynan-brown,Kynan Brown,MID,10,10,10,10
karl-gallagher,Karl Gallagher,GEN_FWD,4,4,4,4
rob-monahan,Rob Monahan,GEN_DEF,178,178,178,178
joe-furphy,Joe Furphy,RUC,10,10,10,10
oliver-hayes-brown,Oliver Hayes-Brown,RUC,338,338,338,338
bruce-reville,Bruce Reville,MID,64,64,64,64
nathan-wardius,Nathan Wardius,GEN_FWD,150,150,150,150
indhi-kirk,Indhi Kirk,MID,8,8,8,8
coen-livingstone,Coen Livingstone,RUC,10,10,10,10
ethan-phillips,Ethan Phillips,KEY_DEF,2,2,2,2
tyler-sellers,Tyler Sellers,KEY_FWD,9,9,9,9
geordie-payne,Geordie Payne,GEN_FWD,7,7,7,7
jacob-blight,Jacob Blight,KEY_DEF,3,3,3,3
jasper-scaife,Jasper Scaife,KEY_DEF,10,10,10,10
will-mclachlan,Will McLachlan,GEN_FWD,150,150,150,150
toby-murray,Toby Murray,KEY_FWD,203,203,203,203
kelsey-rypstra,Kelsey Rypstra,GEN_FWD,5,5,5,5
cooper-lord,Cooper Lord,MID,392,392,392,392
iliro-smit,Iliro Smit,RUC,280,280,280,280
luker-kentfield,Luker Kentfield,KEY_FWD,322,322,322,322
saad-el-hawli,Saad El-Hawli,GEN_DEF,19,19,19,19
tom-hanily,Tom Hanily,GEN_FWD,149,149,149,149
campbell-gray,Campbell Gray,KEY_DEF,239,239,239,239
luke-beecken,Luke Beecken,MID,15,15,15,15
darcy-craven,Darcy Craven,GEN_FWD,9,9,9,9
harry-sheezel,Harry Sheezel,MID,7796,7796,7796,7796
elijah-tsatas,Elijah Tsatas,MID,1181,1181,1181,1181
bailey-humphrey,Bailey Humphrey,GEN_FWD,1437,1437,1437,1437
reuben-ginbey,Reuben Ginbey,KEY_DEF,2908,2908,2908,2908
jaspa-fletcher,Jaspa Fletcher,GEN_DEF,1944,1944,1944,1944
matthew-jefferson,Matthew Jefferson,KEY_FWD,575,575,575,575
max-michalanney,Max Michalanney,GEN_DEF,574,574,574,574
joshua-weddle,Joshua Weddle,GEN_DEF,1578,1578,1578,1578
max-gruzewski,Max Gruzewski,KEY_FWD,437,437,437,437
harry-barnett,Harry Barnett,RUC,634,634,634,634
charlie-clarke,Charlie Clarke,GEN_FWD,16,16,16,16
lewis-hayes,Lewis Hayes,KEY_DEF,365,365,365,365
brayden-george,Brayden George,GEN_FWD,321,321,321,321
cooper-vickery,Cooper Vickery,GEN_DEF,13,13,13,13
jakob-ryan,Jakob Ryan,GEN_DEF,277,277,277,277
coby-burgiel,Coby Burgiel,GEN_FWD,14,14,14,14
lachlan-cowan,Lachlan Cowan,GEN_DEF,635,635,635,635
james-van-es,James Van Es,KEY_DEF,15,15,15,15
jaxon-binns,Jaxon Binns,MID,17,17,17,17
hugh-davies,Hugh Davies,KEY_DEF,306,306,306,306
olli-hotton,Olli Hotton,GEN_DEF,12,12,12,12
tom-mccallum,Tom McCallum,KEY_DEF,15,15,15,15
henry-hustwaite,Henry Hustwaite,MID,346,346,346,346
jed-adams,Jed Adams,KEY_DEF,273,273,273,273
harvey-gallagher,Harvey Gallagher,GEN_DEF,135,135,135,135
caleb-mitchell,Caleb Mitchell,MID,15,15,15,15
tom-emmett,Tom Emmett,GEN_FWD,8,8,8,8
max-knobel,Max Knobel,RUC,494,494,494,494
billy-dowling,Billy Dowling,GEN_FWD,127,127,127,127
alwyn-davey-1,Alwyn Davey,GEN_FWD,10,10,10,10
jack-o-sullivan,Jack O'Sullivan,GEN_FWD,10,10,10,10
harry-lemmey,Harry Lemmey,KEY_FWD,10,10,10,10
joe-richards,Joe Richards,GEN_FWD,832,832,832,832
kaleb-smith,Kaleb Smith,GEN_DEF,123,123,123,123
hugh-bond,Hugh Bond,GEN_DEF,225,225,225,225
bailey-macdonald,Bailey Macdonald,GEN_DEF,123,123,123,123
phoenix-foster,Phoenix Foster,KEY_FWD,10,10,10,10
thomas-scully,Thomas Scully,KEY_FWD,10,10,10,10
jayden-davey,Jayden Davey,GEN_FWD,9,9,9,9
cooper-harvey,Cooper Harvey,GEN_FWD,103,103,103,103
noah-long,Noah Long,GEN_FWD,278,278,278,278
kyle-marshall,Kyle Marshall,KEY_DEF,13,13,13,13
blake-drury,Blake Drury,GEN_FWD,8,8,8,8
rhett-montgomerie,Rhett Montgomerie,GEN_DEF,2,2,2,2
liam-reidy,Liam Reidy,RUC,290,290,290,290
will-verrall,Will Verrall,RUC,10,10,10,10
cameron-owen,Cameron Owen,RUC,10,10,10,10
oscar-murdoch,Oscar Murdoch,GEN_DEF,14,14,14,14
hamish-free,Hamish Free,RUC,9,9,9,9
tylar-young,Tylar Young,KEY_DEF,91,91,91,91
oliver-sestan,Oliver Sestan,GEN_FWD,8,8,8,8
jaiden-magor,Jaiden Magor,GEN_FWD,8,8,8,8
osca-ricciardi,Osca Ricciardi,GEN_FWD,9,9,9,9
darryl-mcdowell-white,Darryl McDowell-White,RUC,8,8,8,8
kyah-farris-white,Kyah Farris-White,GEN_FWD,6,6,6,6
james-o-donnell,James O'Donnell,KEY_DEF,401,401,401,401
shadeau-brain,Shadeau Brain,GEN_DEF,82,82,82,82
jason-gillbee,Jason Gillbee,GEN_DEF,7,7,7,7
nick-madden,Nick Madden,RUC,1490,1490,1490,1490
lloyd-johnston,Lloyd Johnston,GEN_DEF,7,7,7,7
will-edwards,Will Edwards,KEY_DEF,260,260,260,260
anthony-munkara,Anthony Munkara,GEN_FWD,6,6,6,6
josh-draper,Josh Draper,KEY_DEF,640,640,640,640
conrad-williams,Conrad Williams,KEY_FWD,7,7,7,7
ted-clohesy,Ted Clohesy,GEN_FWD,6,6,6,6
joshua-bennetts,Joshua Bennetts,KEY_DEF,8,8,8,8
nathan-barkla,Nathan Barkla,GEN_DEF,7,7,7,7
angus-mclennan,Angus McLennan,GEN_DEF,7,7,7,7
jordyn-baker,Jordyn Baker,GEN_DEF,7,7,7,7
jed-anderson,Jed Anderson,MID,29,29,29,29
kaelen-bradtke,Kaelen Bradtke,RUC,10,10,10,10
anthony-caminiti,Anthony Caminiti,KEY_FWD,694,694,694,694
alex-cincotta,Alex Cincotta,GEN_DEF,0,0,0,0
brodie-mclaughlin,Brodie McLaughlin,KEY_FWD,1,1,1,1
hudson-o-keeffe,Hudson O'Keeffe,KEY_FWD,387,387,387,387
oscar-steene,Oscar Steene,RUC,261,261,261,261
clay-tucker,Clay Tucker,RUC,10,10,10,10
matt-coulthard,Matt Coulthard,GEN_FWD,1,1,1,1
harry-arnold,Harry Arnold,KEY_DEF,1,1,1,1
mitch-hardie,Mitch Hardie,MID,0,0,0,0
ethan-stanley,Ethan Stanley,MID,10,10,10,10
jaiden-hunter,Jaiden Hunter,KEY_FWD,5,5,5,5
brandon-ryan,Brandon Ryan,KEY_FWD,0,0,0,0
jason-horne-francis,Jason Horne-Francis,MID,3964,3964,3964,3964
nick-daicos,Nick Daicos,MID,7667,7667,7667,7667
mac-andrew,Mac Andrew,KEY_DEF,3545,3545,3545,3545
josh-rachele,Josh Rachele,GEN_FWD,1793,1793,1793,1793
josh-ward,Josh Ward,MID,1649,1649,1649,1649
jye-amiss,Jye Amiss,KEY_FWD,1209,1209,1209,1209
ben-hobbs,Ben Hobbs,MID,34,34,34,34
jacob-van-rooyen,Jacob Van Rooyen,KEY_FWD,1048,1048,1048,1048
matt-johnson-1,Matt Johnson,MID,615,615,615,615
josh-goater,Josh Goater,GEN_DEF,104,104,104,104
sam-butler-1,Sam Butler,GEN_FWD,105,105,105,105
toby-conway,Toby Conway,RUC,565,565,565,565
james-willis,James Willis,MID,17,17,17,17
mitchito-owens,Mitchito Owens,KEY_FWD,2229,2229,2229,2229
miller-bergman,Miller Bergman,GEN_DEF,12,12,12,12
josh-fahey,Josh Fahey,GEN_DEF,11,11,11,11
arlo-draper,Arlo Draper,MID,14,14,14,14
alistair-lord,Alistair Lord,GEN_DEF,11,11,11,11
flynn-kroeger,Flynn Kroeger,MID,13,13,13,13
cooper-murley,Cooper Murley,MID,13,13,13,13
garrett-mcdonagh,Garrett McDonagh,GEN_DEF,3,3,3,3
oscar-adams,Oscar Adams,GEN_DEF,106,106,106,106
jai-serong,Jai Serong,GEN_DEF,117,117,117,117
eric-benning,Eric Benning,KEY_FWD,10,10,10,10
hugh-jackson,Hugh Jackson,MID,12,12,12,12
dante-visentini,Dante Visentini,RUC,752,752,752,752
lachie-rankin,Lachie Rankin,GEN_FWD,9,9,9,9
jase-burgoyne,Jase Burgoyne,GEN_DEF,1994,1994,1994,1994
greg-clark,Greg Clark,MID,3,3,3,3
cooper-whyte,Cooper Whyte,GEN_DEF,11,11,11,11
taj-woewodin,Taj Woewodin,GEN_FWD,9,9,9,9
charlie-dean,Charlie Dean,KEY_DEF,14,14,14,14
karl-worner,Karl Worner,GEN_DEF,589,589,589,589
patrick-voss,Patrick Voss,KEY_FWD,1649,1649,1649,1649
cooper-hamilton,Cooper Hamilton,MID,10,10,10,10
ollie-dempsey,Ollie Dempsey,MID,1740,1740,1740,1740
charlie-parker,Charlie Parker,MID,0,0,0,0
judd-mcvee,Judd McVee,GEN_DEF,268,268,268,268
robbie-mccomb,Robbie McComb,GEN_FWD,0,0,0,0
oisin-mullin,Oisin Mullin,GEN_DEF,11,11,11,11
fionn-o-hara,Fionn O'Hara,GEN_DEF,10,10,10,10
dom-akuei,Dom Akuei,GEN_DEF,10,10,10,10
josiah-kyle,Josiah Kyle,GEN_FWD,6,6,6,6
jack-peris,Jack Peris,GEN_FWD,6,6,6,6
cody-raak,Cody Raak,GEN_DEF,10,10,10,10
mitchell-cox,Mitchell Cox,MID,0,0,0,0
jack-hayes,Jack Hayes,KEY_FWD,1,1,1,1
james-tsitas,James Tsitas,GEN_FWD,0,0,0,0
tex-wanganeen,Tex Wanganeen,GEN_FWD,6,6,6,6
jai-culley,Jai Culley,MID,85,85,85,85
kallan-dawson,Kallan Dawson,KEY_DEF,2,2,2,2
brett-turner,Brett Turner,MID,0,0,0,0
wade-derksen,Wade Derksen,KEY_DEF,81,81,81,81
max-ramsden,Max Ramsden,KEY_FWD,180,180,180,180
oskar-faulkhead,Oskar Faulkhead,MID,10,10,10,10
brynn-teakle,Brynn Teakle,RUC,9,9,9,9
josh-carmichael,Josh Carmichael,MID,1,1,1,1
jacob-bauer,Jacob Bauer,KEY_FWD,8,8,8,8
hugo-hall-kahan,Hugo Hall-Kahan,GEN_DEF,89,89,89,89
zane-williams,Zane Williams,GEN_FWD,3,3,3,3
sebit-kuek,Sebit Kuek,KEY_FWD,5,5,5,5
jye-menzie,Jye Menzie,GEN_FWD,9,9,9,9
james-blanck,James Blanck,KEY_DEF,8,8,8,8
will-hayes-1,Will Hayes,GEN_FWD,0,0,0,0
will-phillips,Will Phillips,MID,65,65,65,65
braeden-campbell,Braeden Campbell,GEN_DEF,200,200,200,200
denver-grainger-barras,Denver Grainger-Barras,KEY_DEF,26,26,26,26
archie-perkins,Archie Perkins,GEN_FWD,302,302,302,302
zach-reid,Zach Reid,KEY_DEF,1633,1633,1633,1633
luke-pedlar,Luke Pedlar,GEN_FWD,140,140,140,140
heath-chapman,Heath Chapman,GEN_DEF,625,625,625,625
conor-stone,Conor Stone,GEN_DEF,84,84,84,84
lachlan-jones,Lachlan Jones,GEN_DEF,94,94,94,94
oliver-henry,Oliver Henry,GEN_FWD,92,92,92,92
finlay-macrae,Finlay Macrae,MID,108,108,108,108
max-holmes,Max Holmes,MID,6150,6150,6150,6150
bailey-laurie,Bailey Laurie,GEN_FWD,73,73,73,73
reef-mcinnes,Reef McInnes,KEY_DEF,78,78,78,78
blake-coleman,Blake Coleman,GEN_FWD,15,15,15,15
matt-allison,Matt Allison,KEY_FWD,16,16,16,16
seamus-mitchell,Seamus Mitchell,GEN_DEF,12,12,12,12
caleb-poulter,Caleb Poulter,MID,17,17,17,17
liam-mcmahon,Liam McMahon,KEY_FWD,225,225,225,225
fraser-rosman,Fraser Rosman,MID,16,16,16,16
connor-downie,Connor Downie,MID,15,15,15,15
charlie-lazzaro,Charlie Lazzaro,MID,15,15,15,15
corey-durdin,Corey Durdin,GEN_FWD,53,53,53,53
james-rowe,James Rowe,GEN_FWD,8,8,8,8
josh-eyre,Josh Eyre,KEY_DEF,15,15,15,15
phoenix-spicer,Phoenix Spicer,GEN_FWD,10,10,10,10
tom-highmore,Tom Highmore,GEN_DEF,5,5,5,5
tyler-brockman,Tyler Brockman,GEN_FWD,55,55,55,55
nick-stevens,Nick Stevens,GEN_DEF,11,11,11,11
henry-smith,Henry Smith,KEY_FWD,160,160,160,160
luke-edwards,Luke Edwards,MID,12,12,12,12
cody-brand,Cody Brand,KEY_DEF,13,13,13,13
joel-western,Joel Western,GEN_FWD,9,9,9,9
dominic-bedendo,Dominic Bedendo,GEN_FWD,9,9,9,9
eddie-ford,Eddie Ford,GEN_FWD,9,9,9,9
isiah-winder,Isiah Winder,GEN_DEF,11,11,11,11
cameron-fleeton,Cameron Fleeton,GEN_DEF,11,11,11,11
jacob-wehr,Jacob Wehr,GEN_DEF,21,21,21,21
patrick-walker,Patrick Walker,KEY_DEF,11,11,11,11
malachy-carruthers,Malachy Carruthers,GEN_DEF,13,13,13,13
jack-saunders,Jack Saunders,GEN_FWD,10,10,10,10
luke-parks,Luke Parks,GEN_DEF,18,18,18,18
lachlan-mcneil,Lachlan McNeil,GEN_FWD,20,20,20,20
zane-trew,Zane Trew,MID,10,10,10,10
jack-ginnivan,Jack Ginnivan,GEN_FWD,1844,1844,1844,1844
isaac-chugg,Isaac Chugg,GEN_DEF,13,13,13,13
taj-schofield,Taj Schofield,MID,10,10,10,10
aiden-fyfe,Aiden Fyfe,KEY_FWD,10,10,10,10
rhys-nicholls,Rhys Nicholls,GEN_DEF,13,13,13,13
deividas-uosis,Deividas Uosis,GEN_DEF,8,8,8,8
mate-colina,Mate Colina,RUC,10,10,10,10
paul-tsapatolis,Paul Tsapatolis,RUC,10,10,10,10
hewago-oea,Hewago Paul Oea,GEN_FWD,9,9,9,9
carter-michael,Carter Michael,GEN_DEF,7,7,7,7
will-shaw,Will Shaw,GEN_DEF,10,10,10,10
marc-sheather,Marc Sheather,MID,8,8,8,8
tariek-newchurch,Tariek Newchurch,GEN_FWD,6,6,6,6
kaine-baldwin,Kaine Baldwin,KEY_FWD,7,7,7,7
rhyan-mansell,Rhyan Mansell,GEN_FWD,58,58,58,58
nick-murray,Nick Murray,KEY_DEF,216,216,216,216
anthony-scott,Anthony Scott,GEN_FWD,0,0,0,0
deakyn-smith,Deakyn Smith,GEN_DEF,7,7,7,7
jacob-edwards,Jacob Edwards,KEY_FWD,7,7,7,7
ash-johnson,Ash Johnson,KEY_FWD,1,1,1,1
patrick-parnell,Patrick Parnell,GEN_DEF,10,10,10,10
ned-moyle,Ned Moyle,RUC,1630,1630,1630,1630
alex-mirkov,Alex Mirkov,RUC,10,10,10,10
max-heath,Max Heath,RUC,155,155,155,155
sam-durham,Sam Durham,MID,1519,1519,1519,1519
will-collins,Will Collins,KEY_DEF,10,10,10,10
lachlan-mcandrew,Lachlan McAndrew,RUC,1122,1122,1122,1122
jed-mcentee,Jed McEntee,GEN_FWD,5,5,5,5
kalin-lane,Kalin Lane,RUC,10,10,10,10
kye-declase,Kye Declase,GEN_DEF,0,0,0,0
charlie-ham,Charlie Ham,MID,9,9,9,9
jackson-callow,Jackson Callow,KEY_FWD,7,7,7,7
aiden-begg,Aiden Begg,RUC,10,10,10,10
jordan-boyd,Jordan Boyd,GEN_DEF,10,10,10,10
cooper-sharman,Cooper Sharman,KEY_FWD,516,516,516,516
connor-west,Connor West,MID,1,1,1,1
fischer-mcasey,Fischer McAsey,KEY_DEF,26,26,26,26
caleb-serong,Caleb Serong,MID,4493,4493,4493,4493
liam-henry,Liam Henry,GEN_FWD,83,83,83,83
miles-bergman,Miles Bergman,GEN_DEF,670,670,670,670
cooper-stephens,Cooper Stephens,MID,29,29,29,29
mitch-georgiades,Mitch Georgiades,KEY_FWD,1285,1285,1285,1285
sam-de-koning,Sam De Koning,KEY_DEF,1003,1003,1003,1003
sam-philp,Sam Philp,MID,24,24,24,24
thomson-dow,Thomson Dow,MID,24,24,24,24
dylan-williams,Dylan Williams,GEN_DEF,14,14,14,14
harry-schoenberg,Harry Schoenberg,MID,55,55,55,55
will-gould,Will Gould,GEN_DEF,13,13,13,13
finn-maginness,Finn Maginness,GEN_FWD,35,35,35,35
trent-rivers,Trent Rivers,GEN_DEF,1708,1708,1708,1708
brock-smith,Brock Smith,GEN_DEF,12,12,12,12
jack-mahony,Jack Mahony,GEN_FWD,13,13,13,13
flynn-perez,Flynn Perez,GEN_DEF,13,13,13,13
elijah-taylor,Elijah Taylor,GEN_FWD,12,12,12,12
keidean-coleman,Keidean Coleman,GEN_DEF,618,618,618,618
jay-rantall,Jay Rantall,MID,15,15,15,15
francis-evans,Francis Evans,GEN_FWD,63,63,63,63
ronin-o-connor,Ronin O'Connor,MID,14,14,14,14
noah-cumberland,Noah Cumberland,GEN_FWD,10,10,10,10
will-martyn,Will Martyn,MID,14,14,14,14
trent-bianco,Trent Bianco,MID,14,14,14,14
hugo-ralphsmith,Hugo Ralphsmith,MID,56,56,56,56
sam-ramsay,Sam Ramsay,MID,13,13,13,13
lachlan-gollant,Lachlan Gollant,GEN_FWD,10,10,10,10
callum-jamieson,Callum Jamieson,RUC,13,13,13,13
cameron-taheny,Cameron Taheny,GEN_FWD,10,10,10,10
jake-riccardi,Jake Riccardi,KEY_FWD,293,293,293,293
ryan-byrnes,Ryan Byrnes,GEN_DEF,93,93,93,93
louis-butler,Louis Butler,GEN_DEF,11,11,11,11
bigoa-nyuon,Bigoa Nyuon,KEY_DEF,13,13,13,13
trey-ruscoe,Trey Ruscoe,GEN_DEF,11,11,11,11
ned-cahill,Ned Cahill,GEN_FWD,9,9,9,9
josh-morris,Josh Morris,GEN_FWD,9,9,9,9
jy-farrar,Jy Farrar,KEY_FWD,28,34,27,28
michael-frederick,Michael Frederick,GEN_FWD,97,97,97,97
lachlan-johnson,Lachlan Johnson,GEN_DEF,11,11,11,11
leo-connolly,Leo Connolly,GEN_DEF,11,11,11,11
thomas-hutchesson,Tom Hutchesson,MID,3,3,3,3
josh-honey,Josh Honey,GEN_FWD,10,10,10,10
brady-rowles,Brady Rowles,MID,10,10,10,10
jack-bell,Jack Bell,GEN_FWD,8,8,8,8
jarvis-pina,Jarvis Pina,GEN_DEF,17,17,17,17
jake-pasini,Jake Pasini,KEY_DEF,13,13,13,13
emerson-jeka,Emerson Jeka,KEY_FWD,10,10,10,10
anthony-treacy,Anthony Treacy,GEN_FWD,2,2,2,2
bradley-close,Bradley Close,GEN_FWD,24,24,24,24
fraser-phillips,Fraser Phillips,KEY_FWD,10,10,10,10
trent-burgoyne,Trent Burgoyne,MID,10,10,10,10
mitch-o-neill,Mitch O'Neill,KEY_DEF,15,15,15,15
matt-conroy,Matt Conroy,GEN_DEF,17,17,17,17
cian-mcbride,Cian McBride,KEY_DEF,8,8,8,8
ross-mcquillan,Ross McQuillan,GEN_DEF,8,8,8,8
barry-o-connor,Barry O'Connor,GEN_DEF,5,5,5,5
luke-towey,Luke Towey,KEY_DEF,10,10,10,10
patrick-murtagh,Patrick Murtagh,KEY_FWD,10,10,10,10
isaiah-butters,Isaiah Butters,GEN_FWD,6,6,6,6
leno-thomas,Leno Thomas,GEN_FWD,6,6,6,6
harrison-pepper,Harrison Pepper,GEN_FWD,6,6,6,6
matt-mcguinness,Matt McGuinness,GEN_DEF,10,10,10,10
henry-crauford,Henry Crauford,RUC,10,10,10,10
tom-hird,Tom Hird,MID,8,8,8,8
nic-reid,Nic Reid,KEY_FWD,2,2,2,2
ayce-taylor,Ayce Taylor,KEY_DEF,11,11,11,11
ben-king,Ben King,KEY_FWD,364,364,364,364
tarryn-thomas,Tarryn Thomas,GEN_FWD,34,34,34,34
chayce-jones,Chayce Jones,MID,109,109,109,109
zak-butters,Zak Butters,MID,5688,5688,5688,5688
isaac-quaynor,Isaac Quaynor,GEN_DEF,489,489,489,489
jackson-hately,Jackson Hately,MID,32,32,32,32
edward-mchenry,Edward McHenry,GEN_FWD,23,23,23,23
sam-sturt,Sam Sturt,GEN_FWD,54,54,54,54
xavier-duursma,Xavier Duursma,MID,264,264,264,264
liam-stocker,Liam Stocker,GEN_DEF,41,41,41,41
riley-collier-dawkins,Riley Collier-Dawkins,MID,24,24,24,24
ely-smith,Ely Smith,MID,24,24,24,24
xavier-o-halloran,Xavier O'Halloran,GEN_FWD,42,42,42,42
jez-mclennan,Jez McLennan,GEN_DEF,14,14,14,14
bobby-hill,Bobby Hill,GEN_FWD,74,74,74,74
rhylee-west,Rhylee West,GEN_FWD,149,149,149,149
tom-sparrow,Tom Sparrow,MID,473,473,473,473
xavier-o-neill,Xavier O'Neill,MID,20,20,20,20
will-kelly,Will Kelly,KEY_DEF,16,16,16,16
will-hamill,Will Hamill,GEN_DEF,12,12,12,12
luke-foley,Luke Foley,MID,13,13,13,13
luke-valente,Luke Valente,MID,17,17,17,17
james-jordon,James Jordon,MID,43,43,43,43
kieren-briggs,Kieren Briggs,RUC,2105,2105,2105,2105
bailey-williams-wc,Bailey J. Williams,RUC,1659,1659,1659,1659
thomas-berry,Thomas Berry,GEN_FWD,12,12,12,12
laitham-vandermeer,Laitham Vandermeer,GEN_FWD,32,32,32,32
irving-mosquito,Irving Mosquito,GEN_FWD,12,12,12,12
jarrod-cameron,Jarrod Cameron,GEN_FWD,11,11,11,11
tom-joyce,Tom Joyce,MID,15,15,15,15
jack-bytel,Jack Bytel,MID,14,14,14,14
connor-mcfadyen,Connor McFadyen,MID,14,14,14,14
ben-cavarra,Ben Cavarra,GEN_FWD,5,5,5,5
curtis-taylor,Curtis Taylor,GEN_FWD,10,10,10,10
matthew-parker,Matthew Parker,GEN_FWD,5,5,5,5
ben-jarvis,Ben Jarvis,GEN_FWD,10,10,10,10
bailey-scott,Bailey Scott,MID,33,33,33,33
jacob-kennerly,Jacob Kennerly,GEN_DEF,11,11,11,11
