cell,position,draft_age,pick_1,pick_2,pick_3,pick_4,pick_5,pick_6,pick_7,pick_8,pick_9,pick_10,pick_11,pick_12,pick_13,pick_14,pick_15,pick_16,pick_17,pick_18,pick_19,pick_20,pick_21,pick_22,pick_23,pick_24,pick_25,pick_26,pick_27,pick_28,pick_29,pick_30,pick_31,pick_32,pick_33,pick_34,pick_35,pick_36,pick_37,pick_38,pick_39,pick_40,pick_41,pick_42,pick_43,pick_44,pick_45,pick_46,pick_47,pick_48,pick_49,pick_50,pick_51,pick_52,pick_53,pick_54,pick_55,pick_56,pick_57,pick_58,pick_59,pick_60,pick_61,pick_62,pick_63,pick_64
KPD|25,KPD,25,2494.929,2479.333,2338.097,1984.009,1594.693,1326.145,1319.159,1302.119,1225.604,1220.158,1220.158,1220.158,1163.239,1024.157,918.905,914.206,914.206,914.206,914.206,908.421,862.511,810.732,763.936,727.618,700.564,681.529,666.562,654.551,641.652,625.898,609.126,591.336,574.465,560.498,549.515,542.578,537.786,535.17,532.717,529.35,522.889,513.161,501.045,485.318,467.982,451.149,434.812,420.098,407.051,396.868,390.782,380.738,371.352,362.654,352.311,341.515,329.108,315.121,299.596,282.587,265.342,247.92,231.556,216.29
KPD|26,KPD,26,2494.929,2479.364,2339.964,2023.242,1606.177,1327.552,1320.685,1303.483,1226.985,1223.489,1223.489,1223.489,1170.516,1033.246,929.052,917.995,917.995,917.359,910.764,894.046,845.498,793.339,747.2,711.78,685.554,667.161,652.687,641.033,628.437,612.986,596.492,578.967,562.319,548.499,537.59,530.633,525.772,523.039,520.47,517.016,510.555,500.921,488.982,473.545,456.569,440.116,424.178,409.856,397.192,387.353,381.546,371.907,362.938,354.669,344.813,334.531,322.681,309.284,294.371,277.983,261.338,244.487,228.646,213.852
KPD|27,KPD,27,2494.928,2479.416,2347.901,2060.852,1604.268,1327.774,1321.164,1304.193,1228.369,1228.369,1228.369,1228.369,1181.192,1045.156,939.52,922.196,918.609,909.212,898.286,879.941,831.851,780.865,735.941,701.51,676.021,658.142,644.032,632.625,620.227,604.962,588.632,571.259,554.731,540.98,530.091,523.091,518.149,515.298,512.604,509.033,502.502,492.85,480.937,465.593,448.749,432.433,416.64,402.45,389.905,380.15,374.368,364.842,355.994,347.852,338.173,328.097,316.503,303.411,288.847,272.85,256.61,240.174,224.732,210.319
KPD|28,KPD,28,2494.946,2479.895,2381.556,2057.74,1603.42,1327.787,1321.457,1305.09,1234.519,1234.519,1234.519,1234.519,1195.141,1057.114,945.289,920.364,910.638,898.251,886.732,869.033,822.27,772.565,728.673,694.99,670.027,652.501,638.633,627.387,615.115,599.966,583.736,566.454,549.999,536.287,525.404,518.37,513.369,510.434,507.648,503.989,497.395,487.711,475.788,460.476,443.684,427.421,411.681,397.532,385.015,375.259,369.43,359.912,351.07,342.931,333.286,323.261,311.751,298.778,284.37,268.565,252.536,236.329,221.113,206.921
KPD|29,KPD,29,2505.94,2505.94,2394.742,2054.531,1603.052,1327.807,1322.0,1306.687,1243.443,1243.443,1243.443,1243.443,1209.131,1063.383,942.953,912.531,900.786,888.578,878.037,861.479,815.928,767.206,724.043,690.87,666.256,648.96,635.248,624.106,611.913,596.838,580.67,563.446,547.035,533.347,522.468,515.411,510.372,507.383,504.537,500.82,494.182,484.473,472.54,457.24,440.474,424.235,408.518,394.383,381.87,372.098,366.219,356.686,347.824,339.662,330.011,319.987,308.5,295.57,281.23,265.517,249.593,233.503,218.404,204.326
KPD|30,KPD,30,2512.668,2512.668,2342.332,2052.4,1602.311,1328.067,1323.021,1309.454,1254.806,1254.806,1254.806,1254.806,1216.541,1060.535,935.065,903.471,892.411,881.445,872.071,856.491,811.825,763.779,721.102,688.262,663.873,646.725,633.114,622.037,609.895,594.866,578.739,561.551,545.168,531.495,520.619,513.549,508.486,505.462,502.578,498.824,492.159,482.433,470.492,455.199,438.447,422.222,406.518,392.389,379.875,370.088,364.174,354.625,345.745,337.561,327.898,317.867,306.384,293.472,279.163,263.498,247.63,231.605,216.568,202.553
KPF|19,KPF,19,2225.131,2225.131,1934.332,1574.294,1244.11,1093.85,1093.85,1093.85,1067.574,1067.574,1067.574,1067.574,1023.196,904.322,825.08,825.08,825.08,825.08,825.08,825.08,809.642,771.338,734.512,704.301,679.882,660.496,642.748,625.98,606.929,584.215,560.027,534.753,510.442,489.011,470.56,455.968,443.576,433.384,423.754,413.877,402.142,388.539,373.83,357.166,340.069,324.051,309.041,295.771,284.192,275.059,269.145,260.85,253.333,246.578,238.969,231.293,222.736,213.291,202.955,191.731,180.429,169.06,158.438,148.574
KPF|20,KPF,20,2225.207,2225.207,1935.955,1576.02,1245.393,1097.042,1097.042,1097.042,1077.273,1077.273,1077.273,1077.273,1040.472,922.998,852.935,852.935,852.935,852.935,852.935,852.935,846.606,808.97,772.603,742.958,719.239,700.699,683.773,667.767,649.197,626.549,602.142,576.371,551.439,529.424,510.457,495.514,482.811,472.365,462.4,452.041,439.532,424.869,408.894,390.689,371.934,354.297,337.713,322.992,310.088,299.83,293.057,283.677,275.135,267.417,258.773,250.064,240.417,229.831,218.314,205.874,193.39,180.874,169.2,158.374
KPF|21,KPF,21,2225.255,2225.255,1937.105,1577.805,1246.875,1099.525,1099.525,1099.525,1088.056,1088.056,1088.056,1088.056,1062.543,947.527,891.218,891.218,891.218,891.218,891.218,891.218,891.218,860.521,825.195,796.664,774.103,756.722,740.675,725.195,706.482,682.879,656.926,629.098,601.855,577.527,556.311,539.312,524.621,512.283,500.397,488.04,473.349,456.358,438.004,417.332,396.163,376.28,357.613,341.011,326.41,314.667,306.636,295.929,286.156,277.295,267.53,257.756,247.077,235.502,223.044,209.723,196.437,183.198,170.888,159.505
KPF|22,KPF,22,2225.287,2225.287,1937.887,1579.235,1248.114,1101.773,1101.773,1101.773,1101.773,1101.773,1101.773,1101.773,1092.324,980.094,938.215,938.215,938.215,938.215,938.215,938.215,938.215,918.766,882.426,851.613,825.254,802.516,779.542,755.962,728.373,695.713,661.136,625.494,591.434,561.266,535.084,513.809,495.473,480.001,465.512,451.089,434.97,417.167,398.512,378.107,357.574,338.482,320.717,305.0,291.235,280.152,272.476,262.511,253.456,245.276,236.356,227.482,217.855,207.481,196.368,184.526,172.745,161.03,150.152,140.105
