Player,2026 R17
Jake Kolodjashnij,49
Jarrod Berry,49
Leo Lombard,48
Connor O'Sullivan,48
Harvey Harrison,48
Luke Kennedy,48
Jack Darling,48
Nick Larkey,48
Judd McVee,47
Ben Ainsworth,47
Patrick Voss,47
Cameron Zurhaar,47
Tobie Travaglia,47
Cooper Trembath,47
Wil Powell,47
Nick Vlastuin,47
Nicholas Holman,47
Nikolas Cox,47
Jordan Croft,46
Angus Anderson,46
Steely Green,46
Jack Dalton,46
Jack Ough,46
Sam Switkowski,46
Callum Brown,46
Saad El-Hawli,46
Nick Bryan,45
Dylan Patterson,45
Massimo D'Ambrosio,45
Jackson Mead,45
Harry Kyle,45
Hamish Davis,45
Jordan De Goey,45
Bailey Laurie,44
Harry Rowston,44
Jordan Ridley,43
Heath Chapman,43
Isaiah Dudley,43
Caleb Windsor,43
Milan Murdock,42
Archer Day-Wicks,42
Rhyan Mansell,41
Sam Taylor,40
Will Lewis,40
Oliver Henry,40
Tom Cole,40
Sean Darcy,40
James O'Donnell,39
Jye Amiss,39
Jai Murray,39
Liam Ryan,39
Charlie Spargo,39
Jasper Alger,38
Tom Lynch,38
Brady Hough,36
Taylor Walker,36
Corey Durdin,34
Jed Walter,34
Cameron Mackenzie,33
Ben Miller,33
Ethan Read,33
Bodie Ryan,33
Jack Gunston,33
James Tunstill,33
Brayden Cook,32
Lewis Young ,31
Lachlan McNeil,31
Harvey Langford,31
Matt Hill,30
Eric Hipwood,30
Jack Henry,30
William McCabe,29
Liam Puncher,29
Will Setterfield,28
Campbell Lake,28
Darcy Parish,26
Riley Hamilton,25
Harrison Oliver,25
Liam Stocker,24
Joel Hamling,23
Jacob Konstanty,23
Mitch Zadow,22
Jack Buller,22
Wil Dawson,22
Brandon Zerk-Thatcher,20
Dante Visentini,19
Ben McKay,17
Billy Frampton,16
Josaia Delana,13
Xavier Bamert,12
Elliot Yeo,11
Isaac Kako,9
Jeremy Cameron,7
Joe Berry,5
