Player,2026 R16
Josh Treacy,64
Blake Acres,64
Taylor Walker,64
Jasper Alger,64
Dyson Sharp,63
Sullivan Robey,62
Kieren Briggs,62
Beau Addinsall,62
Brady Hough,61
Jake Soligo,61
Nick Larkey,61
Hugo Hall-Kahan,61
Jai Serong,60
Matt Johnson,60
Mabior Chol,59
John Noble,59
Logan Evans,59
Christian Petracca,59
Luke Nankervis,58
Sam Wicks ,58
Dion Prestia,58
Karl Amon,58
Ben Keays,58
Lachlan Blakiston,58
Tom Blamires,57
Harry Perryman,57
Stephen Coniglio,57
Riley Bice,57
Ned Moyle,56
Patrick Voss,56
Matt Cottrell,56
Jake Lloyd,55
Leek Aleer ,55
Ryan Maric,55
Milan Murdock,55
Noah Answerth,55
Hamish Davis,54
Jack Buller,54
Archer Day-Wicks,54
Cameron Zurhaar,54
Ned Long,54
Elliot Yeo,53
Jack Ison,53
Jacob Konstanty,53
Tylar Young,53
Jake Stringer,53
Aidan Corr,52
Sam Banks,52
Darcy Byrne-Jones,52
James Peatling,52
Wade Derksen,52
Josh Goater,52
Isaac Cumming,52
Eric Hipwood,52
Jaxon Prior,51
Jack Lukosius,51
Dante Visentini,51
Elijah Hewett,51
Toby Bedford,51
Joel Hamling,51
Zac Taylor,50
Xavier Duursma,49
Steely Green,49
Isaac Quaynor ,49
Mitchell Lewis,49
Jackson Mead,48
Dylan Moore,47
Ben King,47
Harrison Jones,47
Peter Ladhams ,47
Darcy Gardiner ,46
Jed Walter,46
Josh Rachele,46
Daniel McStay,45
Brandon Zerk-Thatcher,45
Ben McKay,45
Joel Jeffrey,45
Nate Caddy,45
Jeremy Howe,45
Max Michalanney,44
Samuel Grlj,43
Hayden Young ,43
Mark Keane,43
Bailey Macdonald,42
Calsher Dear,42
Samuel Collins,41
Archie Perkins,41
Willem Duursma,41
Jai Murray,41
Kye Annand,40
Rhett Bazzo,40
Brandon Starcevich,40
Zane Duursma,40
Ben Jepson,39
Ben Long ,39
Wil Dawson,39
Jobe Shanahan,39
Izak Rankine,38
Harrison Oliver,38
Samuel Swadling,38
Jake Waterman,38
Cooper Duff-Tytler ,38
Roan Steele,36
Flynn Perez,36
James Tunstill,36
Sean Darcy,36
Jye Caldwell,35
Jye Amiss,35
Alex Pearce,35
Daniel Curtin,35
Jacob Wehr,31
Bruce Reville,31
Tom Cole,31
Bailey Humphrey,31
Hussien El Achkar,30
Ryan Lester,30
Harvey Harrison,29
Harry Cunningham,28
Logan McDonald ,28
Conor Stone,26
Mitch Zadow,26
Xavier Bamert,25
Charlie Ballard,25
Malcolm Rosas,24
Tom Barrass,24
Jack Hutchinson,24
Mykelti Lefau,21
Brayden Cook,20
Maurice Rioli,19
Caiden Cleary,18
Callum Coleman-Jones,13
Joel Amartey ,12
Isaac Kako,11
