Player,2026 R19
Rhett Bazzo,64
Joe Berry,64
Nick Madden,64
Eric Hipwood,64
Jack Higgins,64
Hamish Davis,64
Ben Keays,63
Liam Ryan,63
Arthur Jones,63
Dante Visentini,63
Taj Hotton,63
Cooper Trembath,63
Riley Thilthorpe,62
Jedd Busslinger,62
Jaspa Fletcher,61
Changkuoth Jiath,61
Bailey Macdonald,61
Seth Campbell,61
Jai Serong,61
Aidan Corr,60
Mabior Chol,60
Connor O'Sullivan,60
Samuel Swadling,60
Alex Neal-Bullen,59
Harrison Himmelberg,59
Beau Addinsall,59
Judd McVee,59
Tom Cole,59
George Hewett,59
Alex Pearce,59
Cooper Hynes,58
Jai Murray,58
Bradley Close,58
Kane McAuliffe,58
Dylan Stephens,58
Hunter Clark,58
Max Gruzewski,57
Isaac Kako,57
Blake Acres,57
Darcy Fort,57
Jaeger O'Meara,57
Nasiah Wanganeen-Milera,57
Ollie Greeves,57
Oliver Henry,56
Joel Jeffrey,56
Oscar Adams,56
Willem Drew,56
Xavier Bamert,56
Sam Draper,56
Jack Gunston,56
Caleb Windsor,55
Scott Pendlebury,55
Kye Annand,55
Patrick Dangerfield,55
Patrick Voss,55
Brandon Zerk-Thatcher,54
Bailey Humphrey,54
Tobie Travaglia,54
Billy Frampton,54
Oisin Mullin,54
Zach Reid,53
Joel Freijah,53
Jack Whitlock,53
Isaac Quaynor,53
Daniel Curtin,52
Daniel McStay,52
Jake Lloyd,52
Steele Sidebottom,52
Zach Guthrie,51
Brodie Kemp,51
Toby Bedford,51
Brennan Cox,51
Hugo Ralphsmith,51
Cameron Mackenzie,51
Ty Gallop,49
Liam Baker,49
Jack Darling,49
James Borlase,48
Nathan O'Driscoll,48
Hussien El Achkar,48
Brandon Starcevich,47
Wade Derksen,47
Aaron Naughton,47
Jay Polkinghorne,46
Zac Taylor,46
William McCabe,46
Ben Long,46
Ryan Byrnes,46
Harry Sharp,46
Shannon Neale,45
Jayden Laverde,45
Nick Larkey,45
Xavier Duursma,45
Rhylee West,45
Levi Ashcroft,45
Sam Banks,45
Brady Hough,44
Liam O'Connell,44
Riley Hardeman,43
Jackson Mead,43
Max Heath,43
Charlie West,43
Corey Durdin,42
Josh Goater,42
Dylan Patterson,42
Rhyan Mansell,41
Sam Switkowski,41
Liam Puncher,41
Mitchell Edwards,41
Will Edwards,41
Max Kondogiannis,41
James Jordon,40
Oliver Wiltshire,40
Cooper Sharman,40
Josh Dolan,40
Noah Balta,40
Cody Weightman,40
Toby Murray,39
Jack Williams,39
Tom Lynch,39
Latrelle Pickett,38
Kyle Langford,37
Christian Moraes,37
Lachlan Bramble,35
Lachlan McNeil,35
Bo Allan,35
Logan McDonald,34
Mason Cox,34
Murphy Reid,34
Josh Lai,34
Matt Whitlock,33
Sam Davidson,33
Mitchito Owens,32
James Trezise,32
Dane Rampe,32
James O'Donnell,32
Aaron Cadman,31
Jaxon Artemis,31
Riley Hamilton,31
Samuel Grlj,31
Charlie Curnow,30
Balyn O'Brien,30
Will Hayward,30
Conor McKenna,28
Todd Marshall,27
Nicholas Coffield,26
Luke McDonald,25
Joel Fitzgerald,24
Malcolm Rosas,24
Caleb Lewis,24
Jacob Wehr,24
Hugh McCluggage,23
Nick Vlastuin,22
Liam Henry,21
Elliot Yeo,20
Jake Melksham,16
Jed Walter,13
Hayden McLean,12
Anthony Caminiti,9
Steely Green,7
Jordan Croft,0
