player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Samson Ryan,Richmond,RUCK,403,425,-22,349,300,-49,-14.04,samson-ryan
Jake Lever,Melbourne,SD,506,564,-58,192,144,-48,-25.0,jake-lever
Tom McDonald,Melbourne,KPD,596,662,-66,124,76,-48,-38.71,tom-mcdonald
Dylan Patterson,Gold Coast,SD,141,146,-5,1719,1672,-47,-2.734,dylan-patterson
Marc Pittonet,Carlton,RUCK,377,357,20,425,472,47,11.059,marc-pittonet
Aaron Cadman,GWS,KPF,135,136,-1,1802,1756,-46,-2.553,aaron-cadman
Jordan Croft,Western Bulldogs,KPF,227,225,2,975,1021,46,4.718,jordan-croft
Marcus Windhager,St Kilda,SD,130,125,5,1844,1890,46,2.495,marcus-windhager
Rhys Unwin,Essendon,SF,611,547,64,112,158,46,41.071,rhys-unwin
Riley Bice,Sydney,SD,471,432,39,237,283,46,19.409,riley-bice
Zac Taylor,Adelaide,SF,458,496,-38,254,208,-46,-18.11,zac-taylor
Bayley Fritsch,Melbourne,SF,549,498,51,156,201,45,28.846,bayley-fritsch
Sam Taylor,GWS,KPD,191,193,-2,1272,1227,-45,-3.538,sam-taylor
Marcus Bontempelli,Western Bulldogs,MID,37,40,-3,3974,3930,-44,-1.107,marcus-bontempelli
Tom McCarthy,West Coast,SD,166,164,2,1437,1481,44,3.062,tom-mccarthy
Tom Papley,Sydney,SF,418,407,11,313,357,44,14.058,tom-papley
Harry Dean,Carlton,KPD,76,74,2,2660,2703,43,1.617,harry-dean
Hussien El Achkar,Essendon,SF,365,389,-24,444,401,-43,-9.685,hussien-el-achkar
Charlie Curnow,Carlton,KPF,171,170,1,1389,1431,42,3.024,charlie-curnow
George Wardlaw,North Melbourne,MID,56,57,-1,3308,3266,-42,-1.27,george-wardlaw
Josh Rachele,Adelaide,SF,124,119,5,1990,2032,42,2.111,josh-rachele
Clay Hall,West Coast,MID,432,461,-29,286,245,-41,-14.336,clay-hall
Dion Prestia,Richmond,SF,425,451,-26,296,255,-41,-13.851,dion-prestia
Elliot Yeo,West Coast,SF,428,413,15,294,335,41,13.946,elliot-yeo
Ethan Read,Gold Coast,KPF,232,228,4,957,998,41,4.284,ethan-read
Isaac Kako,Essendon,SF,180,176,4,1337,1378,41,3.067,isaac-kako
Patrick Cripps,Carlton,MID,158,162,-4,1550,1509,-41,-2.645,patrick-cripps
Blake Hardwick,Hawthorn,SD,352,335,17,491,531,40,8.147,blake-hardwick
Jy Simpkin,North Melbourne,SF,200,204,-4,1220,1180,-40,-3.279,jy-simpkin
Mark Keane,Adelaide,KPD,154,160,-6,1569,1529,-40,-2.549,mark-keane
Matthew Jefferson,Melbourne,KPF,376,359,17,426,466,40,9.39,matthew-jefferson
Matthew Kennedy,Western Bulldogs,MID,356,376,-20,469,429,-40,-8.529,matthew-kennedy-1
Billy Wilson,Carlton,SD,243,236,7,923,962,39,4.225,billy-wilson
Samuel Swadling,Collingwood,MID,279,271,8,732,771,39,5.328,samuel-swadling
Wade Derksen,Carlton,KPD,647,596,51,84,123,39,46.429,wade-derksen
Ollie Dempsey,Geelong,MID,84,83,1,2432,2470,38,1.562,ollie-dempsey
Trent Rivers,Melbourne,SD,131,126,5,1841,1879,38,2.064,trent-rivers
Jacob Farrow,Essendon,SD,78,75,3,2651,2688,37,1.396,jacob-farrow
Caleb Windsor,Melbourne,SD,146,144,2,1647,1683,36,2.186,caleb-windsor
Campbell Lake,St Kilda,SF,553,600,-47,153,117,-36,-23.529,campbell-lake
Daniel Curtin,Adelaide,MID,80,85,-5,2487,2451,-36,-1.448,daniel-curtin
Hugh Boxshall,St Kilda,MID,242,235,7,929,965,36,3.875,hugh-boxshall
Jack Crisp,Collingwood,MID,360,381,-21,453,417,-36,-7.947,jack-crisp
Sam Banks,Richmond,SD,223,241,-18,983,947,-36,-3.662,sam-banks
Caleb Serong,Fremantle,MID,17,17,0,5132,5097,-35,-0.682,caleb-serong
Joseph Fonti,GWS,SD,300,318,-18,636,601,-35,-5.503,joseph-fonti
Jonty Faull,Richmond,KPF,237,232,5,948,982,34,3.586,jonty-faull
Billy Dowling,Adelaide,SF,487,508,-21,219,186,-33,-15.068,billy-dowling
