player,afl_club,pos,rank_r21,rank_r22,rank_change,value_r21,value_r22,delta,pct,key
Will McLachlan,Brisbane,SF,592,595,-3,125,124,-1,-0.8,will-mclachlan
Xavier Walsh,Port Adelaide,KPF,613,613,0,108,107,-1,-0.926,xavier-walsh
Zachary Williams,Carlton,SF,397,402,-5,374,373,-1,-0.267,zachary-williams
Zak Evans,Gold Coast,MID,730,733,-3,43,42,-1,-2.326,zak-evans
Aidan Corr,North Melbourne,KPD,743,743,0,38,38,0,0.0,aidan-corr
Alex Pearce,Fremantle,KPD,767,765,2,23,23,0,0.0,alex-pearce
Arthur Jones,Western Bulldogs,SF,635,635,0,92,92,0,0.0,arthur-jones
Bailey Banfield,Fremantle,SD,789,789,0,11,11,0,0.0,bailey-banfield
Bailey Laurie,Melbourne,SF,695,698,-3,56,56,0,0.0,bailey-laurie
Bailey Scott,North Melbourne,MID,768,766,2,23,23,0,0.0,bailey-scott
Beau Addinsall,Gold Coast,MID,160,161,-1,1517,1517,0,0.0,beau-addinsall
Ben Jepson,Gold Coast,MID,637,638,-1,88,88,0,0.0,ben-jepson
Ben Long,Gold Coast,SF,758,755,3,28,28,0,0.0,ben-long
Ben McKay,Essendon,KPD,747,746,1,35,35,0,0.0,ben-mckay
Billy Cootee,Sydney,MID,446,446,0,264,264,0,0.0,billy-cootee
Blake Thredgold,North Melbourne,KPD,398,401,-3,373,373,0,0.0,blake-thredgold
Bobby Hill,Collingwood,SF,753,751,2,29,29,0,0.0,bobby-hill
Brandon Starcevich,Brisbane,SD,734,734,0,41,41,0,0.0,brandon-starcevich
Brayden George,North Melbourne,SF,478,469,9,234,234,0,0.0,brayden-george
Brody Mihocek,Melbourne,KPF,791,790,1,10,10,0,0.0,brody-mihocek
Bruce Reville,Brisbane,MID,703,699,4,54,54,0,0.0,bruce-reville
Caleb Graham,Gold Coast,KPD,736,737,-1,40,40,0,0.0,caleb-graham
Callum Ah Chee,Adelaide,SF,683,681,2,66,66,0,0.0,callum-ah-chee
Callum Coleman-Jones,North Melbourne,RUCK,739,740,-1,39,39,0,0.0,callum-coleman-jones
Charlie Spargo,Melbourne,SF,763,761,2,26,26,0,0.0,charlie-spargo
Chayce Jones,Adelaide,SD,718,719,-1,48,48,0,0.0,chayce-jones
Connor Budarick,Western Bulldogs,SF,434,430,4,284,284,0,0.0,connor-budarick
Conor McKenna,Brisbane,SF,800,800,0,7,7,0,0.0,conor-mckenna
Conor Nash,Hawthorn,MID,467,464,3,239,239,0,0.0,conor-nash
Conor Stone,GWS,SD,666,661,5,76,76,0,0.0,conor-stone
Corey Wagner,Fremantle,SD,773,771,2,20,20,0,0.0,corey-wagner
Corey Warner,Sydney,SF,714,715,-1,49,49,0,0.0,corey-warner
Dane Rampe,Sydney,SD,786,786,0,12,12,0,0.0,dane-rampe
Daniel Butler,St Kilda,SF,793,791,2,10,10,0,0.0,daniel-butler
Darcy Gardiner,Brisbane,KPD,750,749,1,33,33,0,0.0,darcy-gardiner
Darcy Parish,Essendon,MID,318,322,-4,569,569,0,0.0,darcy-parish
Darragh Joyce,Brisbane,KPD,801,801,0,7,7,0,0.0,darragh-joyce
Eric Hipwood,Brisbane,KPF,732,732,0,42,42,0,0.0,eric-hipwood
Ewan Mackinlay,Port Adelaide,SF,581,583,-2,128,128,0,0.0,ewan-mackinlay
Finlay Macrae,West Coast,SF,612,611,1,110,110,0,0.0,finlay-macrae
Finn Maginness,Hawthorn,SF,764,762,2,26,26,0,0.0,finn-maginness
Flynn Perez,Hawthorn,SD,604,604,0,113,113,0,0.0,flynn-perez
Flynn Young,Carlton,SF,582,584,-2,128,128,0,0.0,flynn-young
Harley Barker,Geelong,MID,291,291,0,677,677,0,0.0,harley-barker
Harry Cunningham,Sydney,SD,794,792,2,10,10,0,0.0,harry-cunningham
Harry DeMattia,Collingwood,MID,372,374,-2,430,430,0,0.0,harry-demattia
Harry Perryman,Collingwood,SD,676,676,0,69,69,0,0.0,harry-perryman
Harry Schoenberg,Adelaide,SF,711,708,3,50,50,0,0.0,harry-schoenberg
Harvey Gallagher,Western Bulldogs,SD,639,641,-2,87,87,0,0.0,harvey-gallagher
Henry Smith,Brisbane,KPF,649,648,1,82,82,0,0.0,henry-smith
Hunter Clark,St Kilda,MID,721,720,1,48,48,0,0.0,hunter-clark
Iliro Smit,Collingwood,RUCK,531,529,2,170,170,0,0.0,iliro-smit
Isaac Cumming,Adelaide,MID,737,738,-1,40,40,0,0.0,isaac-cumming
Jack Bowes,Geelong,MID,629,629,0,97,97,0,0.0,jack-bowes
Jack Buller,Collingwood,KPF,655,653,2,80,80,0,0.0,jack-buller
Jack Hutchinson,West Coast,MID,626,625,1,100,100,0,0.0,jack-hutchinson
Jack Ison,Carlton,MID,331,329,2,544,544,0,0.0,jack-ison
Jack Martin,Geelong,SF,614,612,2,107,107,0,0.0,jack-martin
Jack Watkins,Port Adelaide,SF,578,581,-3,132,132,0,0.0,jack-watkins
Jackson Archer,North Melbourne,SD,762,759,3,27,27,0,0.0,jackson-archer
Jackson Macrae,St Kilda,MID,619,616,3,104,104,0,0.0,jackson-macrae
Jackson Mead,Port Adelaide,MID,754,753,1,29,29,0,0.0,jackson-mead
Jacob Hopper,Richmond,MID,623,620,3,102,102,0,0.0,jacob-hopper
Jacob Wehr,Port Adelaide,SD,782,781,1,14,14,0,0.0,jacob-wehr
Jade Gresham,Essendon,SF,740,741,-1,39,39,0,0.0,jade-gresham
Jaeger O'Meara,Fremantle,MID,536,536,0,165,165,0,0.0,jaeger-o-meara
Jake Kolodjashnij,Geelong,KPD,769,767,2,22,22,0,0.0,jake-kolodjashnij
Jake Melksham,Melbourne,KPF,715,716,-1,49,49,0,0.0,jake-melksham
Jakob Ryan,Collingwood,SD,468,466,2,239,239,0,0.0,jakob-ryan
James Blanck,Hawthorn,KPD,694,695,-1,60,60,0,0.0,james-blanck
James Borlase,Adelaide,KPD,367,370,-3,438,438,0,0.0,james-borlase
James Tunstill,Brisbane,MID,650,649,1,82,82,0,0.0,james-tunstill
Jamie Cripps,West Coast,SF,759,756,3,28,28,0,0.0,jamie-cripps
Jamie Elliott,Collingwood,SF,775,774,1,19,19,0,0.0,jamie-elliott
Jarrod Witts,Gold Coast,RUCK,573,570,3,142,142,0,0.0,jarrod-witts
Jayden Laverde,Essendon,KPD,502,503,-1,196,196,0,0.0,jayden-laverde
Jed Bews,Geelong,SD,795,793,2,10,10,0,0.0,jed-bews
Joel Amartey,Sydney,KPF,751,750,1,32,32,0,0.0,joel-amartey
Joel Hamling,Sydney,KPD,776,775,1,18,18,0,0.0,joel-hamling
Jordan Boyd,Carlton,SD,744,744,0,37,37,0,0.0,jordan-boyd
Jordon Butts,Adelaide,KPD,779,779,0,15,15,0,0.0,jordon-butts
Josh Gibcus,Richmond,KPD,577,579,-2,136,136,0,0.0,josh-gibcus
Josh Goater,North Melbourne,SD,634,634,0,93,93,0,0.0,josh-goater
Josh Sinn,Port Adelaide,SD,570,565,5,144,144,0,0.0,josh-sinn
Judson Clarke,Richmond,SF,688,687,1,64,64,0,0.0,judson-clarke
Kaleb Smith,Richmond,SD,679,679,0,67,67,0,0.0,kaleb-smith
Lachie Sullivan,Collingwood,SF,672,673,-1,70,70,0,0.0,lachie-sullivan
Lachlan Blakiston,Essendon,KPD,583,585,-2,128,128,0,0.0,lachlan-blakiston
Lachlan McNeil,Western Bulldogs,SF,772,768,4,21,21,0,0.0,lachlan-mcneil
Lachlan Weller,Gold Coast,MID,668,668,0,74,74,0,0.0,lachlan-weller
Laitham Vandermeer,Western Bulldogs,SF,774,773,1,20,20,0,0.0,laitham-vandermeer
Latrelle Pickett,Melbourne,SF,329,328,1,548,548,0,0.0,latrelle-pickett
Lewis Hayes,Essendon,SD,460,454,6,250,250,0,0.0,lewis-hayes
Liam Henry,St Kilda,SF,691,688,3,63,63,0,0.0,liam-henry
Liam Hetherton,Sydney,KPF,594,593,1,124,124,0,0.0,liam-hetherton
Liam Ryan,St Kilda,SF,766,764,2,24,24,0,0.0,liam-ryan
Liam Stocker,St Kilda,SD,735,735,0,41,41,0,0.0,liam-stocker
Lincoln McCarthy,Brisbane,SF,796,794,2,10,10,0,0.0,lincoln-mccarthy
Luke Lloyd,Brisbane,KPF,538,537,1,164,164,0,0.0,luke-lloyd
Luke McDonald,North Melbourne,SD,722,721,1,48,48,0,0.0,luke-mcdonald
Luke Nankervis,Adelaide,MID,399,404,-5,372,372,0,0.0,luke-nankervis
Luke Pedlar,Adelaide,SF,610,609,1,112,112,0,0.0,luke-pedlar
Luker Kentfield,Melbourne,KPF,411,416,-5,330,330,0,0.0,luker-kentfield
Malcolm Rosas,Sydney,SF,765,763,2,26,26,0,0.0,malcolm-rosas
Mani Liddy,Port Adelaide,MID,584,586,-2,128,128,0,0.0,mani-liddy
Mark Blicavs,Geelong,RUCK,802,802,0,5,5,0,0.0,mark-blicavs
Mason Cox,Fremantle,KPF,803,803,0,5,5,0,0.0,mason-cox
Matt Guelfi,Essendon,SF,798,795,3,10,10,0,0.0,matt-guelfi
Matt Owies,Carlton,SF,804,804,0,5,5,0,0.0,matt-owies
Maurice Rioli,Richmond,SF,760,757,3,28,28,0,0.0,maurice-rioli-1
Max Michalanney,Adelaide,SD,346,347,-1,499,499,0,0.0,max-michalanney
Maxwell King,Sydney,KPF,551,551,0,155,155,0,0.0,max-king-syd
Miles Bergman,Port Adelaide,SD,241,245,-4,931,931,0,0.0,miles-bergman
Mitch Zadow,Port Adelaide,SF,605,605,0,113,113,0,0.0,mitch-zadow
Mitchell Knevitt,Geelong,MID,590,590,0,127,127,0,0.0,mitchell-knevitt
Mykelti Lefau,Richmond,KPF,675,674,1,70,70,0,0.0,mykelti-lefau
Nathan Broad,Richmond,SD,799,796,3,10,10,0,0.0,nathan-broad
Nathan Wardius,GWS,SF,680,680,0,67,67,0,0.0,nathan-wardius
Nicholas Coffield,Western Bulldogs,SD,723,722,1,48,48,0,0.0,nicholas-coffield
Nicholas Holman,Gold Coast,SF,783,782,1,14,14,0,0.0,nicholas-holman
Nick Murray,Adelaide,KPD,412,417,-5,329,329,0,0.0,nick-murray
Noah Answerth,Brisbane,SD,787,787,0,12,12,0,0.0,noah-answerth
Noah Balta,Richmond,KPF,378,378,0,425,425,0,0.0,noah-balta
Noah Chamberlain,Sydney,KPF,617,614,3,106,106,0,0.0,noah-chamberlain
Oisin Mullin,Geelong,SD,777,776,1,17,17,0,0.0,oisin-mullin
Oliver Wiltshire,Geelong,SF,716,717,-1,49,49,0,0.0,oliver-wiltshire
Oskar Baker,Western Bulldogs,SF,784,783,1,14,14,0,0.0,oskar-baker
Paddy Cross,Melbourne,SF,606,606,0,113,113,0,0.0,paddy-cross
Paddy Dow,St Kilda,MID,546,546,0,158,158,0,0.0,paddy-dow
Patrick Dangerfield,Geelong,SF,692,689,3,63,63,0,0.0,patrick-dangerfield
Reef McInnes,Collingwood,KPD,705,703,2,54,54,0,0.0,reef-mcinnes
Rhylee West,Western Bulldogs,SF,625,623,2,101,101,0,0.0,rhylee-west
Rhys Stanley,Geelong,RUCK,761,758,3,28,28,0,0.0,rhys-stanley
Roan Steele,Collingwood,MID,586,587,-1,128,128,0,0.0,roan-steele
Rob Monahan,Carlton,SD,728,726,2,47,47,0,0.0,rob-monahan
Ryan Gardner,Western Bulldogs,KPD,785,784,1,13,13,0,0.0,ryan-gardner
Saad El-Hawli,Essendon,SD,628,627,1,100,100,0,0.0,saad-el-hawli
Sam Butler,Hawthorn,SF,654,650,4,81,81,0,0.0,sam-butler-1
Sam Davidson,Western Bulldogs,SF,657,656,1,80,80,0,0.0,sam-davidson
Sam Sturt,Fremantle,SF,738,739,-1,40,40,0,0.0,sam-sturt
Scott Pendlebury,Collingwood,MID,401,406,-5,359,359,0,0.0,scott-pendlebury
Shadeau Brain,Brisbane,SD,641,642,-1,86,86,0,0.0,shadeau-brain
Steele Sidebottom,Collingwood,MID,631,630,1,96,96,0,0.0,steele-sidebottom
Toby Bedford,GWS,SF,443,439,4,276,276,0,0.0,toby-bedford
Toby Conway,Geelong,RUCK,344,345,-1,503,503,0,0.0,toby-conway
Toby Pink,North Melbourne,KPD,781,780,1,15,15,0,0.0,toby-pink
Tom Blamires,North Melbourne,SD,607,607,0,113,113,0,0.0,tom-blamires
Tom Cole,West Coast,SF,725,723,2,48,48,0,0.0,tom-cole
Tom Edwards,Essendon,KPF,638,639,-1,88,88,0,0.0,tom-edwards
Tom Lynch,Richmond,KPF,713,713,0,50,50,0,0.0,tom-lynch-1
Wil Parker,Collingwood,SD,756,754,2,29,29,0,0.0,wil-parker
Will Edwards,Sydney,KPD,495,495,0,208,208,0,0.0,will-edwards
Will Lewis,Western Bulldogs,KPF,609,608,1,113,113,0,0.0,will-lewis
Xavier Duursma,Essendon,MID,569,563,6,145,145,0,0.0,xavier-duursma
Zac Banch,North Melbourne,SF,588,588,0,128,128,0,0.0,zac-banch
Zac Walker,Western Bulldogs,KPD,589,589,0,128,128,0,0.0,zac-walker
