stable_player_id,player,pos,num_off,num_on,delta_scar,delta_pct,rank_off,rank_on,delta_rank,rho_num,rho_ratio,w
afl-player-v1-d6d2fe7a40a3a6ef7cf0,Brayden Maynard,GEN_DEF,901,236,-665,-73.81,240,533,293,6.9045,0.5457,1.2499
afl-player-v1-fb186725cde9cc707a20,Christian Petracca,MID,2640,1982,-658,-24.92,65,44,-21,26.452,1.4638,1.2499
afl-player-v1-58bbb663005700d953dd,Luke Parker,GEN_DEF,1373,729,-644,-46.9,178,202,24,18.5023,1.4623,1.25
afl-player-v1-d26e334058cc256353fa,Toby Greene,GEN_FWD,809,187,-622,-76.89,261,579,318,10.5415,1.3845,1.25
afl-player-v1-1d780d19cc3efbbf3552,Bradley Hill,GEN_FWD,774,152,-622,-80.36,271,608,337,8.8494,1.1623,1.25
afl-player-v1-f6c1419e3347c583c2bb,Wil Powell,GEN_DEF,939,338,-601,-64.0,230,421,191,2.1542,0.1703,0.4482
afl-player-v1-ac26f9acafae5ca8384a,Ryan Lester,KEY_DEF,878,288,-590,-67.2,244,471,227,7.2202,1.0,1.25
afl-player-v1-2ba9319113f47277fa21,Daniel Rioli,GEN_DEF,777,209,-568,-73.1,270,560,290,5.2758,0.417,1.0991
afl-player-v1-c6bb2d8cdbc03d55b932,Lloyd Meek,RUC,1269,705,-564,-44.44,189,213,24,1.5824,0.1439,0.321
afl-player-v1-bae70ee809d6cfc18464,Peter Wright,KEY_FWD,1937,1390,-547,-28.24,114,91,-23,16.5411,2.496,1.2487
afl-player-v1-677d6d582c6d7170a62f,Oliver Florent,GEN_DEF,869,334,-535,-61.57,249,424,175,2.041,0.1613,0.4251
afl-player-v1-331b344b0d63646c51eb,Aliir Aliir,KEY_DEF,998,472,-526,-52.71,221,315,94,11.0082,1.5246,1.2498
afl-player-v1-246485594049e2517cdf,Reilly O'Brien,RUC,1230,727,-503,-40.89,197,203,6,6.2253,0.566,1.2478
afl-player-v1-d67bc7b09cde11708fcd,Samuel Collins,KEY_DEF,932,436,-496,-53.22,232,346,114,10.1885,1.4111,1.2489
afl-player-v1-c746361adb86ff960c48,Thomas Stewart,GEN_DEF,1038,566,-472,-45.47,219,269,50,14.3017,1.1303,1.2498
afl-player-v1-5283bc8e85b412262bbf,Jarman Impey,GEN_DEF,675,216,-459,-68.0,298,556,258,6.0691,0.4797,1.25
afl-player-v1-c0e33467ecaecc45a77a,Willem Drew,MID,827,376,-451,-54.53,256,390,134,4.9872,0.276,1.0351
afl-player-v1-e00ed08737cf8ea26baa,Nic Newman,GEN_DEF,888,461,-427,-48.09,242,324,82,11.7334,0.9273,1.2472
afl-player-v1-e0ceb17af75166c18ba6,Darcy Parish,MID,1386,965,-421,-30.38,177,145,-32,13.378,0.7403,1.2497
afl-player-v1-2bb1c4575ccd8c7ba202,Bailey Williams,GEN_DEF,625,231,-394,-63.04,311,535,224,3.3064,0.2613,0.6884
afl-player-v1-e85a86a8692f0a831933,Alex Neal-Bullen,GEN_FWD,502,117,-385,-76.69,363,644,281,4.571,0.6004,0.9521
afl-player-v1-601df8b42b8a60750b20,Patrick Lipinski,GEN_FWD,556,181,-375,-67.45,343,585,242,2.325,0.3054,0.484
afl-player-v1-3187acc6533265eee936,Karl Amon,GEN_DEF,769,394,-375,-48.76,272,377,105,10.0836,0.797,1.2498
afl-player-v1-bf0163a49d8fcea78d79,Jack Silvagni,KEY_DEF,644,272,-372,-57.76,303,492,189,2.5625,0.3549,0.5334
afl-player-v1-0f7806fb9aa246ac2b53,Christian Salem,GEN_DEF,578,219,-359,-62.11,331,554,223,5.6101,0.4434,1.1686
afl-player-v1-fd3e3de35948b76d59d1,Adam Saad,GEN_DEF,639,289,-350,-54.77,307,468,161,1.8403,0.1454,0.3834
afl-player-v1-97a49cb582ddb5aeaaa1,Shaun Mannagh,GEN_FWD,474,128,-346,-73.0,381,630,249,4.9695,0.6527,0.9424
afl-player-v1-6d1a84a432c2cd83dd4a,Timothy English,RUC,3655,3326,-329,-9.0,34,10,-24,25.9817,2.3621,1.2481
afl-player-v1-4a82f8ccfdbd058d9358,Zachary Merrett,MID,2711,2383,-328,-12.1,64,25,-39,30.6301,1.695,1.25
afl-player-v1-daa646e163644de88154,Nick Larkey,KEY_FWD,714,397,-317,-44.4,289,376,87,2.1492,0.3243,0.4471
afl-player-v1-716f1eabdf51d799d667,Milan Murdock,GEN_FWD,796,491,-305,-38.32,265,299,34,6.3,0.8274,0.2872
afl-player-v1-8ee6489f823d1c7fc978,Jake Lever,KEY_DEF,545,250,-295,-54.13,351,517,166,2.6296,0.3642,0.5477
afl-player-v1-f7adb7c2cf1d0b3af926,Tim Kelly,MID,878,595,-283,-32.23,245,250,5,8.2932,0.4589,1.2496
afl-player-v1-aa4d5b1969d471186a49,Ed Langdon,GEN_DEF,548,265,-283,-51.64,348,503,155,1.8379,0.1453,0.3828
afl-player-v1-895ed18bb574e12877aa,Tom Papley,GEN_FWD,459,181,-278,-60.57,389,587,198,1.9449,0.2554,0.4051
afl-player-v1-572eab5dc72e3289b808,Jy Simpkin,MID,607,339,-268,-44.15,320,418,98,2.2318,0.1235,0.4649
afl-player-v1-32a991d4c02188914ecf,Kyle Langford,KEY_FWD,641,375,-266,-41.5,305,391,86,2.1593,0.3258,0.4496
afl-player-v1-b1dc7c77c2ab6e66207d,Sam De Koning,KEY_DEF,1120,862,-258,-23.04,205,167,-38,0.3007,0.0416,0.0619
afl-player-v1-8a3c5b55484488853e0b,Will Setterfield,MID,1530,1272,-258,-16.86,157,107,-50,16.9353,0.9372,1.2188
afl-player-v1-f24a5a22059c4d196165,Mitchell Lewis,KEY_FWD,658,414,-244,-37.08,299,359,60,1.3008,0.1963,0.2668
afl-player-v1-e3e6c7a99658440d99ac,Rory Laird,GEN_DEF,939,697,-242,-25.77,229,217,-12,16.5519,1.3082,1.25
afl-player-v1-d151854cdb94fdf87f61,Jayden Laverde,KEY_DEF,492,266,-226,-45.93,367,502,135,1.661,0.23,0.345
afl-player-v1-4c39c245f4e41e17565b,Jarrod Berry,MID,538,319,-219,-40.71,353,443,90,2.0034,0.1109,0.4172
afl-player-v1-ea006b568d7e6484b32a,Jordon Sweet,RUC,2464,2258,-206,-8.36,72,31,-41,17.8643,1.6241,1.1448
afl-player-v1-ab1876e3a4f81af563e6,Ben Keays,GEN_FWD,365,167,-198,-54.25,450,598,148,1.7168,0.2255,0.3574
afl-player-v1-57dca48502d181a8ae5e,Jack Steele,MID,1579,1384,-195,-12.35,151,92,-59,18.3212,1.0139,1.2499
afl-player-v1-fdbc309b0faa58c33480,Matthew Kennedy,MID,652,464,-188,-28.83,302,319,17,6.3975,0.354,1.249
afl-player-v1-7c293250cf8dbc3b45e4,Liam Duggan,GEN_DEF,410,228,-182,-44.39,423,543,120,1.6314,0.1289,0.3399
afl-player-v1-df9f00b1d0c9ef2defb9,Lachlan McAndrew,RUC,1288,1116,-172,-13.35,185,123,-62,8.4823,0.7712,0.6782
afl-player-v1-e354e8f4a32723da0375,Rory Lobb,KEY_DEF,357,245,-112,-31.37,455,523,68,0.8387,0.1162,0.1747
afl-player-v1-8614727698f7e9af562e,Marc Pittonet,RUC,506,399,-107,-21.15,362,374,12,2.4405,0.2219,0.4996
afl-player-v1-7fe8fd54753702fa0287,Dion Prestia,MID,324,238,-86,-26.54,477,530,53,2.0324,0.1125,0.4234
afl-player-v1-f5e39356680d53f4d27a,Jeremy Howe,GEN_DEF,283,205,-78,-27.56,508,563,55,0.6918,0.0547,0.1441
afl-player-v1-b0f136f33ad07b15d6d8,Ned Moyle,RUC,1667,1593,-74,-4.44,139,72,-67,1.5202,0.1382,0.0203
afl-player-v1-da2d4125164141ff0084,Jackson Macrae,MID,242,198,-44,-18.18,554,569,15,1.8983,0.105,0.3955
afl-player-v1-f000210c809f7128d817,Patrick Dangerfield,GEN_FWD,109,87,-22,-20.18,655,680,25,0.4655,0.0611,0.097
afl-player-v1-c61603f67b0ce6706e05,Touk Miller,MID,1489,1473,-16,-1.07,159,82,-77,19.0338,1.0533,1.25
afl-player-v1-3748d2d5901b55897f63,Nick Vlastuin,GEN_DEF,105,90,-15,-14.29,661,674,13,0.4652,0.0368,0.0969
afl-player-v1-3c4dfebabc0d54a341af,Patrick Cripps,MID,1349,1336,-13,-0.96,181,98,-83,17.2534,0.9548,1.25
afl-player-v1-1abf46c80f3799c0d483,Nick Madden,RUC,1468,1466,-2,-0.14,164,83,-81,5.9,0.5364,0.0015
afl-player-v1-6864d3b68960de314967,Zeke Uwland,GEN_DEF,2463,2463,0,0.0,73,22,-51,-33.6,,0.0
afl-player-v1-da27734b8bd79dd7b863,Harry Dean,KEY_DEF,2052,2052,0,0.0,103,40,-63,-11.8,,0.0
afl-player-v1-966ce678436f2d41e439,Cooper Duff-Tytler,KEY_FWD,1649,1649,0,0.0,142,65,-77,-17.3,,0.0
